verb,overall_acc,avg_LL_delta
bakes,0.0,-3.725468885952381
carves,0.0,-3.5899372048125007
cleans,0.0,-2.7129573059259258
cooks,0.0,-3.6216904947111113
cuts,0.0,-3.2910978498
drives,0.0,-3.364644961777777
embroiders,0.0,-3.6852181519285714
flies,0.0,-3.342110757375
knits,0.0,-3.982388487657143
packs,0.0,-3.2446683549250004
paints,0.0,-3.6091333040833344
performs,0.0,-2.944164947923077
photographs,0.0,-4.186600914055556
plays,0.0,-5.038485361692309
reads,0.0,-4.028470313558824
sculpts,0.0,-3.588912640933333
sells,0.0,-2.8691372585694435
sews,0.0,-3.6704455391499997
shaves,0.0,-3.2313934644
stitches,0.0,-3.623987883895833
turns,0.0,-2.955799119931818
washes,0.0,-2.6042951170384616
writes,0.0,-3.5634362726764706
