id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,Something sells this toy easily.,-18.199745,-0.0015777412,patient,patient,-18.1981672588
1,sells,book,easily,Something sells this book easily.,-17.634893,-0.0011974123,patient,patient,-17.6336955877
2,sells,novel,easily,Something sells this novel easily.,-17.89321,-0.0013487611,patient,patient,-17.8918612389
3,sells,magazine,easily,Something sells this magazine easily.,-17.623081,-0.0011903713,patient,patient,-17.621890628699997
4,sells,hat,easily,Something sells this hat easily.,-17.849892,-0.0016982226,patient,patient,-17.8481937774
5,sells,lotion,easily,Something sells this lotion easily.,-17.966902,-0.001565502,patient,patient,-17.965336498000003
6,sells,album,easily,Something sells this album easily.,-18.4131,-0.0014585898,patient,patient,-18.4116414102
7,sells,car,easily,Something sells this car easily.,-18.043959,-0.0010202485,patient,patient,-18.0429387515
8,sells,suv,easily,Something sells this SUV easily.,-16.983128,-0.0014808546,patient,patient,-16.9816471454
9,sells,product,easily,Something sells this product easily.,-18.723967,-0.0012863334,patient,patient,-18.7226806666
10,sells,make,easily,Something sells this make easily.,-17.008055,-0.0018861956,patient,patient,-17.006168804399998
11,sells,item,easily,Something sells this item easily.,-18.275457,-0.001443607,patient,patient,-18.274013393
12,sells,cd,easily,Something sells this CD easily.,-18.125443,-0.0016566666,patient,patient,-18.123786333400002
13,sells,drug,easily,Something sells this drug easily.,-18.551638,-0.0012408558,patient,patient,-18.5503971442
14,sells,snack,easily,Something sells this snack easily.,-17.992208,-0.0014850306,patient,patient,-17.9907229694
15,sells,salesman,easily,Something sells this salesman easily.,-10.972334,-0.0009481761,patient,patient,-10.9713858239
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-12.443656,-0.00047785952,patient,patient,-12.44317814048
17,sells,businessman,easily,Something sells this businessman easily.,-7.602423,-0.0010959667,patient,patient,-7.6013270333
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-11.014635,-0.0004634878,patient,patient,-11.0141715122
19,sells,trader,easily,Something sells this trader easily.,-4.8653245,-0.0044380752,patient,patient,-4.860886424799999
20,sells,peddler,easily,Something sells this peddler easily.,-14.34672,-0.0010189372,patient,patient,-14.3457010628
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-4.230252,-0.012080596,patient,patient,-4.2181714040000005
22,sells,dealer,easily,Something sells this dealer easily.,-6.861178,-0.0011808807,patient,patient,-6.8599971193
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-8.24472,-0.0007028194,patient,patient,-8.244017180599998
24,sells,toy,well,Something sells this toy well.,-18.449318,-0.0015034789,patient,patient,-18.447814521100003
25,sells,book,well,Something sells this book well.,-17.662994,-0.0012838254,patient,patient,-17.6617101746
26,sells,novel,well,Something sells this novel well.,-18.034788,-0.001424207,patient,patient,-18.033363793
27,sells,magazine,well,Something sells this magazine well.,-17.878914,-0.0012267113,patient,patient,-17.877687288700002
28,sells,hat,well,Something sells this hat well.,-18.074387,-0.001457516,patient,patient,-18.072929484000003
29,sells,lotion,well,Something sells this lotion well.,-18.224747,-0.0014493376,patient,patient,-18.2232976624
30,sells,album,well,Something sells this album well.,-18.72621,-0.0013496557,patient,patient,-18.724860344299998
31,sells,car,well,Something sells this car well.,-18.461409,-0.001038325,patient,patient,-18.460370675
32,sells,suv,well,Something sells this SUV well.,-17.077036,-0.0011586235,patient,patient,-17.0758773765
33,sells,product,well,Something sells this product well.,-19.03199,-0.0011214463,patient,patient,-19.0308685537
34,sells,make,well,Something sells this make well.,-17.7911,-0.0015342206,patient,patient,-17.7895657794
35,sells,item,well,Something sells this item well.,-18.448889,-0.001288481,patient,patient,-18.447600519
36,sells,cd,well,Something sells this CD well.,-18.06804,-0.0016309345,patient,patient,-18.0664090655
37,sells,drug,well,Something sells this drug well.,-18.58806,-0.001169065,patient,patient,-18.586890935
38,sells,snack,well,Something sells this snack well.,-18.382595,-0.001553384,patient,patient,-18.381041615999997
39,sells,salesman,well,Something sells this salesman well.,-10.507838,-0.00078919117,patient,patient,-10.50704880883
40,sells,saleswoman,well,Something sells this saleswoman well.,-11.263725,-0.00044488095,patient,patient,-11.26328011905
41,sells,businessman,well,Something sells this businessman well.,-6.1418233,-0.0024295924,patient,patient,-6.1393937076
42,sells,businesswoman,well,Something sells this businesswoman well.,-8.973095,-0.0005124441,patient,patient,-8.9725825559
43,sells,trader,well,Something sells this trader well.,-4.6527095,-0.009933369,patient,patient,-4.642776131000001
44,sells,peddler,well,Something sells this peddler well.,-15.633326,-0.0010770509,patient,patient,-15.632248949100001
45,sells,telemarketer,well,Something sells this telemarketer well.,-4.628099,-0.008691623,patient,patient,-4.619407377
46,sells,dealer,well,Something sells this dealer well.,-9.274082,-0.0006554006,patient,patient,-9.2734265994
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-8.228505,-0.0006486029,patient,patient,-8.2278563971
