id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.876953125,-0.626953125,patient,patient,-0.25,patient
1,sells,book,easily,Something sells this book easily.,-1.1787109375,-0.42919921875,patient,patient,-0.74951171875,patient
2,sells,novel,easily,Something sells this novel easily.,-0.6083984375,-0.8583984375,patient,agent,0.25,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.74169921875,-0.74169921875,patient,agent,0.0,patient
4,sells,hat,easily,Something sells this hat easily.,-0.72705078125,-0.72705078125,patient,agent,0.0,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.72607421875,-0.72607421875,patient,agent,0.0,patient
6,sells,album,easily,Something sells this album easily.,-0.896484375,-0.646484375,patient,patient,-0.25,patient
7,sells,car,easily,Something sells this car easily.,-0.71923828125,-0.96923828125,patient,agent,0.25,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.4580078125,-1.2080078125,patient,agent,0.75,patient
9,sells,product,easily,Something sells this product easily.,-0.931640625,-0.681640625,patient,patient,-0.25,patient
10,sells,make,easily,Something sells this make easily.,-0.5263671875,-1.0263671875,patient,agent,0.5,patient
11,sells,item,easily,Something sells this item easily.,-0.87451171875,-0.62451171875,patient,patient,-0.25,patient
12,sells,cd,easily,Something sells this CD easily.,-1.2138671875,-0.46435546875,patient,patient,-0.74951171875,patient
13,sells,drug,easily,Something sells this drug easily.,-1.2275390625,-0.4775390625,patient,patient,-0.75,patient
14,sells,snack,easily,Something sells this snack easily.,-1.171875,-0.42138671875,patient,patient,-0.75048828125,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.61767578125,-0.86767578125,patient,agent,0.25,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.6181640625,-0.8681640625,patient,agent,0.25,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.517578125,-1.017578125,patient,agent,0.5,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.009765625,-0.509765625,patient,patient,-0.5,patient
19,sells,trader,easily,Something sells this trader easily.,-1.01953125,-0.51953125,patient,patient,-0.5,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.87060546875,-0.62060546875,patient,patient,-0.25,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-1.16796875,-0.418212890625,patient,patient,-0.749755859375,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.556640625,-1.056640625,patient,agent,0.5,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-1.3759765625,-0.37548828125,patient,patient,-1.00048828125,patient
24,sells,toy,well,Something sells this toy well.,-0.88232421875,-0.63232421875,patient,patient,-0.25,patient
25,sells,book,well,Something sells this book well.,-1.3525390625,-0.3525390625,patient,patient,-1.0,patient
26,sells,novel,well,Something sells this novel well.,-0.50439453125,-1.0048828125,patient,agent,0.50048828125,patient
