id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-2.790233,-0.11008215,patient,patient,-2.68015085,patient
1,sells,book,easily,Something sells this book easily.,-2.2392907,-0.16682774,patient,patient,-2.07246296,patient
2,sells,novel,easily,Something sells this novel easily.,-2.1051953,-0.17170261,patient,patient,-1.93349269,patient
3,sells,magazine,easily,Something sells this magazine easily.,-2.3593552,-0.13632411,patient,patient,-2.22303109,patient
4,sells,hat,easily,Something sells this hat easily.,-2.403502,-0.14410575,patient,patient,-2.25939625,patient
5,sells,lotion,easily,Something sells this lotion easily.,-1.7255473,-0.25916332,patient,patient,-1.4663839799999998,patient
6,sells,album,easily,Something sells this album easily.,-2.0832913,-0.17223069,patient,patient,-1.91106061,patient
7,sells,car,easily,Something sells this car easily.,-1.7750849,-0.22566739,patient,patient,-1.54941751,patient
8,sells,suv,easily,Something sells this SUV easily.,-2.2378304,-0.1763468,patient,patient,-2.0614836,patient
9,sells,product,easily,Something sells this product easily.,-2.163456,-0.20116791,patient,patient,-1.96228809,patient
10,sells,make,easily,Something sells this make easily.,-1.2410784,-0.35430926,patient,patient,-0.88676914,patient
11,sells,item,easily,Something sells this item easily.,-2.35533,-0.13899353,patient,patient,-2.21633647,patient
12,sells,cd,easily,Something sells this CD easily.,-2.4003599,-0.14248061,patient,patient,-2.25787929,patient
13,sells,drug,easily,Something sells this drug easily.,-2.0180895,-0.22124805,patient,patient,-1.7968414499999998,patient
14,sells,snack,easily,Something sells this snack easily.,-2.0681424,-0.1760663,patient,patient,-1.8920761000000001,patient
15,sells,salesman,easily,Something sells this salesman easily.,-1.7577626,-0.22137207,patient,patient,-1.53639053,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-1.4821316,-0.32832587,patient,patient,-1.15380573,patient
17,sells,businessman,easily,Something sells this businessman easily.,-1.9511644,-0.22283265,patient,patient,-1.72833175,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.7162818,-0.24175997,patient,patient,-1.47452183,patient
19,sells,trader,easily,Something sells this trader easily.,-1.7751204,-0.24976957,patient,patient,-1.52535083,patient
