id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.96320254,-0.5659773,patient,patient,-0.39722524000000003,patient
1,sells,book,easily,This book sells easily.,-1.0014647,-0.60186356,patient,patient,-0.39960114000000013,patient
2,sells,novel,easily,This novel sells easily.,-0.7341565,-0.7459727,patient,agent,0.011816200000000054,patient
3,sells,magazine,easily,This magazine sells easily.,-1.3622038,-0.40707523,patient,patient,-0.9551285700000001,patient
4,sells,hat,easily,This hat sells easily.,-1.5792931,-0.27430412,patient,patient,-1.3049889799999999,patient
5,sells,lotion,easily,This lotion sells easily.,-1.5624677,-0.30103424,patient,patient,-1.2614334600000001,patient
6,sells,album,easily,This album sells easily.,-1.1930484,-0.4268096,patient,patient,-0.7662387999999999,patient
7,sells,car,easily,This car sells easily.,-0.8771441,-0.6909849,patient,patient,-0.18615919999999997,patient
8,sells,suv,easily,This SUV sells easily.,-0.86104804,-0.64338744,patient,patient,-0.21766059999999998,patient
9,sells,product,easily,This product sells easily.,-0.78372175,-0.7487237,patient,patient,-0.03499805,patient
10,sells,make,easily,This make sells easily.,-0.58170986,-0.91607195,patient,agent,0.33436208999999995,patient
11,sells,item,easily,This item sells easily.,-1.7246811,-0.2644322,patient,patient,-1.4602488999999998,patient
12,sells,cd,easily,This CD sells easily.,-1.0573744,-0.45613748,patient,patient,-0.6012369200000001,patient
13,sells,drug,easily,This drug sells easily.,-0.69931465,-0.6950508,patient,patient,-0.004263850000000069,patient
14,sells,snack,easily,This snack sells easily.,-1.1056918,-0.39559388,patient,patient,-0.7100979199999999,patient
15,sells,salesman,easily,This salesman sells easily.,-0.18506438,-1.9351056,agent,agent,1.75004122,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.2158362,-1.826389,agent,agent,1.6105528,agent
17,sells,businessman,easily,This businessman sells easily.,-0.44163483,-1.1447523,agent,agent,0.70311747,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.18051009,-1.9587284,agent,agent,1.77821831,agent
19,sells,trader,easily,This trader sells easily.,-0.29593503,-1.4542446,agent,agent,1.1583095700000001,agent
20,sells,peddler,easily,This peddler sells easily.,-0.5098354,-1.0639175,agent,agent,0.5540821,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.3776824,-1.2730436,agent,agent,0.8953612000000001,agent
22,sells,dealer,easily,This dealer sells easily.,-0.34925464,-1.3641893,agent,agent,1.01493466,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.35344857,-1.2462362,agent,agent,0.8927876299999999,agent
24,sells,toy,well,This toy sells well.,-0.55743843,-0.8828455,patient,agent,0.3254070699999999,patient
25,sells,book,well,This book sells well.,-0.44709748,-1.0912398,patient,agent,0.64414232,patient
26,sells,novel,well,This novel sells well.,-0.3851487,-1.1501132,patient,agent,0.7649645,agent
27,sells,magazine,well,This magazine sells well.,-0.58998173,-0.8862159,patient,agent,0.29623416999999996,patient
28,sells,hat,well,This hat sells well.,-1.0627073,-0.4422605,patient,patient,-0.6204468000000001,patient
29,sells,lotion,well,This lotion sells well.,-1.0702556,-0.5179213,patient,patient,-0.5523343000000001,patient
30,sells,album,well,This album sells well.,-0.6945685,-0.83907086,patient,agent,0.14450235999999994,patient
31,sells,car,well,This car sells well.,-0.52160823,-1.0672234,patient,agent,0.54561517,patient
32,sells,suv,well,This SUV sells well.,-0.5198738,-1.0454512,patient,agent,0.5255774,patient
33,sells,product,well,This product sells well.,-0.74027663,-0.80946386,patient,agent,0.06918723000000004,patient
34,sells,make,well,This make sells well.,-0.5087631,-1.0466151,patient,agent,0.5378519999999999,patient
35,sells,item,well,This item sells well.,-1.3555722,-0.37395537,patient,patient,-0.9816168299999999,patient
36,sells,cd,well,This CD sells well.,-0.54664344,-1.0299034,patient,agent,0.48325996000000004,patient
37,sells,drug,well,This drug sells well.,-0.62737155,-0.7862216,patient,agent,0.15885004999999996,patient
38,sells,snack,well,This snack sells well.,-0.8182262,-0.6734839,patient,patient,-0.1447423,patient
39,sells,salesman,well,This salesman sells well.,-0.11513143,-2.4785454,agent,agent,2.36341397,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.10385986,-2.3607035,agent,agent,2.25684364,agent
41,sells,businessman,well,This businessman sells well.,-0.37582552,-1.278489,agent,agent,0.90266348,agent
42,sells,businesswoman,well,This businesswoman sells well.,-0.12598215,-2.2927392,agent,agent,2.16675705,agent
43,sells,trader,well,This trader sells well.,-0.19126338,-1.8723763,agent,agent,1.68111292,agent
44,sells,peddler,well,This peddler sells well.,-0.27736685,-1.5515474,agent,agent,1.27418055,agent
45,sells,telemarketer,well,This telemarketer sells well.,-0.22416985,-1.7450485,agent,agent,1.52087865,agent
46,sells,dealer,well,This dealer sells well.,-0.16546494,-2.0609846,agent,agent,1.8955196599999997,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.19539824,-1.8411471,agent,agent,1.6457488599999999,agent
48,sells,toy,quickly,This toy sells quickly.,-0.63783437,-0.79830545,patient,agent,0.16047108,patient
49,sells,book,quickly,This book sells quickly.,-0.5642095,-0.9385191,patient,agent,0.3743096,patient
50,sells,novel,quickly,This novel sells quickly.,-0.4882241,-1.0478134,patient,agent,0.5595892999999998,patient
51,sells,magazine,quickly,This magazine sells quickly.,-0.7571772,-0.7003343,patient,patient,-0.05684290000000003,patient
52,sells,hat,quickly,This hat sells quickly.,-1.0754327,-0.46407145,patient,patient,-0.6113612499999999,patient
53,sells,lotion,quickly,This lotion sells quickly.,-1.1260319,-0.38414192,patient,patient,-0.7418899800000001,patient
54,sells,album,quickly,This album sells quickly.,-0.8115888,-0.6758317,patient,patient,-0.13575709999999996,patient
55,sells,car,quickly,This car sells quickly.,-0.5203314,-0.99210316,patient,agent,0.47177176,patient
56,sells,suv,quickly,This SUV sells quickly.,-0.51437914,-1.0008959,patient,agent,0.48651676,patient
57,sells,product,quickly,This product sells quickly.,-0.5281279,-1.0019413,patient,agent,0.47381339999999994,patient
58,sells,make,quickly,This make sells quickly.,-0.4250096,-1.1664308,patient,agent,0.7414212000000001,agent
59,sells,item,quickly,This item sells quickly.,-1.2662634,-0.3950552,patient,patient,-0.8712081999999999,patient
60,sells,cd,quickly,This CD sells quickly.,-0.68075454,-0.75264454,patient,agent,0.07189000000000001,patient
61,sells,drug,quickly,This drug sells quickly.,-0.51901114,-0.98577136,patient,agent,0.46676021999999995,patient
62,sells,snack,quickly,This snack sells quickly.,-0.8251082,-0.65403885,patient,patient,-0.17106935,patient
63,sells,salesman,quickly,This salesman sells quickly.,-0.11668569,-2.388206,agent,agent,2.2715203099999997,agent
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-0.17730634,-2.1586046,agent,agent,1.98129826,agent
65,sells,businessman,quickly,This businessman sells quickly.,-0.2677571,-1.610411,agent,agent,1.3426539,agent
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-0.13342828,-2.4519627,agent,agent,2.31853442,agent
67,sells,trader,quickly,This trader sells quickly.,-0.18968177,-1.9096447,agent,agent,1.7199629300000001,agent
68,sells,peddler,quickly,This peddler sells quickly.,-0.2982653,-1.461278,agent,agent,1.1630127000000001,agent
69,sells,telemarketer,quickly,This telemarketer sells quickly.,-0.32546884,-1.3793211,agent,agent,1.0538522600000002,agent
70,sells,dealer,quickly,This dealer sells quickly.,-0.18961331,-1.9390861,agent,agent,1.74947279,agent
71,sells,shopkeeper,quickly,This shopkeeper sells quickly.,-0.17902388,-1.9822146,agent,agent,1.8031907200000001,agent
72,drives,car,nicely,This car drives nicely.,-0.50890464,-1.0396048,patient,agent,0.53070016,patient
73,drives,suv,nicely,This SUV drives nicely.,-0.6081755,-0.992559,patient,agent,0.3843835,patient
74,drives,truck,nicely,This truck drives nicely.,-0.4479962,-1.092937,patient,agent,0.6449408000000001,patient
75,drives,convertible,nicely,This convertible drives nicely.,-0.8044845,-0.64285487,patient,patient,-0.16162963000000008,patient
76,drives,vehicle,nicely,This vehicle drives nicely.,-0.543185,-1.0550764,patient,agent,0.5118913999999999,patient
77,drives,tank,nicely,This tank drives nicely.,-0.56515944,-0.93530804,patient,agent,0.37014860000000005,patient
78,drives,bus,nicely,This bus drives nicely.,-0.7254538,-0.7432253,patient,agent,0.01777149999999994,patient
79,drives,tractor,nicely,This tractor drives nicely.,-0.3114919,-1.447646,patient,agent,1.1361541,agent
80,drives,van,nicely,This van drives nicely.,-0.71715295,-0.753217,patient,agent,0.036064050000000014,patient
81,drives,driver,nicely,This driver drives nicely.,-0.18284683,-1.8861374,agent,agent,1.70329057,agent
82,drives,person,nicely,This person drives nicely.,-0.5598747,-0.95860463,agent,agent,0.39872993,patient
83,drives,chauffeur,nicely,This chauffeur drives nicely.,-0.22353773,-1.7520374,agent,agent,1.52849967,agent
84,drives,car,smoothly,This car drives smoothly.,-0.40391994,-1.2289436,patient,agent,0.82502366,agent
85,drives,suv,smoothly,This SUV drives smoothly.,-0.51085126,-1.1004127,patient,agent,0.5895614399999999,patient
86,drives,truck,smoothly,This truck drives smoothly.,-0.36146328,-1.3666028,patient,agent,1.00513952,agent
87,drives,convertible,smoothly,This convertible drives smoothly.,-0.71686965,-0.71646005,patient,patient,-0.00040960000000000996,patient
88,drives,vehicle,smoothly,This vehicle drives smoothly.,-0.4573578,-1.306074,patient,agent,0.8487161999999999,agent
89,drives,tank,smoothly,This tank drives smoothly.,-0.48283416,-1.0722353,patient,agent,0.58940114,patient
90,drives,bus,smoothly,This bus drives smoothly.,-0.6185323,-0.8714428,patient,agent,0.2529104999999999,patient
