verb,overall_acc,avg_LL_delta
bakes,1.0,-1.3841072618961334
carves,1.0,-1.0474300999194384
cleans,1.0,-0.8937252594365014
cooks,1.0,-1.1006461017661624
cuts,1.0,-0.9180368170142174
drives,1.0,-1.038495180507501
embroiders,1.0,-1.0695253131645066
flies,1.0,-0.9236598797142506
knits,1.0,-1.0883412301540374
packs,1.0,-0.9969819035381079
paints,1.0,-1.0836308396731813
performs,1.0,-0.6409765390249399
photographs,1.0,-1.7211682059698634
plays,1.0,-1.0006275589649494
reads,1.0,-1.052122423754019
sculpts,1.0,-1.018919283648332
sells,1.0,-0.7156053909824954
sews,1.0,-1.144139964878559
shaves,1.0,-1.1528440545002618
stitches,1.0,-1.216447480643789
turns,1.0,-0.8897642872550271
washes,1.0,-0.7975685034806912
writes,1.0,-0.5005880857215208
