verb,overall_acc,avg_LL_delta
bakes,0.0,-2.3706203548326377
carves,0.0,-2.1921963027367988
cleans,0.0,-1.9941048754586115
cooks,0.0,-2.384442311856482
cuts,0.0,-2.3916797686368225
drives,0.0,-2.1511796466592283
embroiders,0.0,-2.2828884151365076
flies,0.0,-1.8550017774105072
knits,0.0,-1.9913027031081063
packs,0.0,-2.136239428818226
paints,0.0,-2.036063429278632
performs,0.0,-1.5050861743780284
photographs,0.0,-2.0111076691084437
plays,0.0,-2.415815064540276
reads,0.0,-1.54368755922598
sculpts,0.0,-2.1652397106091184
sells,0.0,-1.4722754791792896
sews,0.0,-1.9150913245975971
shaves,0.0,-2.052827442685763
stitches,0.0,-1.7235450663914282
turns,0.0,-2.147450169040398
washes,0.0,-1.964072896884038
writes,0.0,-1.262339809361626
