noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-2.471086412668228
actor,1,0.0,-1.7583923339843754
aircraft,3,0.0,-2.2988764892021814
album,3,0.0,-1.820770303408305
animal,2,0.0,-2.602260634303093
announcer,2,0.0,-1.9166260659694672
artisan,4,0.0,-1.9021138697862625
artist,4,0.0,-2.6240043491125107
author,2,0.0,-0.9831657707691194
aviator,3,0.0,-2.0549418181180954
backpack,2,0.0,-2.6168708130717278
backpacker,2,0.0,-2.199462927877903
bag,2,0.0,-2.965942397713661
baker,6,0.0,-1.9966176599264145
barber,7,0.0,-1.6559055745601654
basket,2,0.0,-2.6232300773262978
beard,3,0.0,-2.4263432870308557
bedding,5,0.0,-1.7979553163051605
bike,4,0.0,-2.646255485713482
blanket,2,0.0,-1.9217987060546875
blogger,2,0.0,-1.5532436072826385
board,4,0.0,-2.7751198187470436
book,3,0.0,-0.9777374267578125
bottle,2,0.0,-2.32950971275568
bowl,2,0.0,-2.446399673819542
bread,3,0.0,-2.758822108308474
broadcaster,2,0.0,-1.6583938598632815
building,2,0.0,-1.6081055849790573
bus,3,0.0,-2.730649317304293
busboy,5,0.0,-2.7520843893289566
businessman,3,0.0,-1.4873199462890623
businesswoman,3,0.0,-1.5527598361174266
butcher,4,0.0,-2.335393901914358
cake,3,0.0,-2.4714762419462204
cameraman,2,0.0,-2.6127529367804527
camper,2,0.0,-2.265384614467621
canvas,4,0.0,-2.8918322660028934
captain,3,0.0,-1.5583063960075378
car,12,0.0,-1.9165983299414318
cardboard,4,0.0,-3.139039997011423
carpet,3,0.0,-2.0496597290039062
carver,7,0.0,-1.732509080852781
caterer,3,0.0,-1.924126982688904
cd,3,0.0,-2.581919322411219
cellist,2,0.0,-1.4591217190027237
cello,2,0.0,-2.5891876444220543
chauffeur,3,0.0,-1.2047729790210724
chef,10,0.0,-2.073142594099045
choreography,1,0.0,-1.1989021301269531
clarinet,2,0.0,-2.8168182000517845
clarinetist,2,0.0,-1.697378188371658
clay,6,0.0,-2.252654992043972
cleaner,5,0.0,-1.906555193662643
clerk,2,0.0,-1.8148307502269745
cloth,8,0.0,-2.2636080011725426
coat,2,0.0,-2.0052948594093323
code,2,0.0,-2.3481025621294975
comedian,1,0.0,-1.8911553025245669
concerto,1,0.0,-2.0122910290956497
confectioner,3,0.0,-1.789227823416392
container,2,0.0,-1.7341880649328232
convertible,3,0.0,-2.84322610249122
cook,6,0.0,-1.6250927944978082
cotton,4,0.0,-3.0427245311439037
countertop,3,0.0,-2.0550002455711365
crate,2,0.0,-2.0628547817468648
cushion,4,0.0,-2.979734379798174
cut,4,0.0,-1.1887702643871307
dancer,1,0.0,-1.62493896484375
dealer,3,0.0,-1.5976092020670574
dish,2,0.0,-1.9911193400621416
doctor,2,0.0,-1.2682113200426102
dough,3,0.0,-3.045504316687584
dressmaker,4,0.0,-1.641872376203537
driver,7,0.0,-1.6592799723148346
drug,3,0.0,-1.5413207709789274
drummer,2,0.0,-2.4790534898638725
duffle,2,0.0,-2.143100641667843
essay,4,0.0,-1.1255407258868217
essayist,2,0.0,-0.4092349708080292
fabric,20,0.0,-2.396804443001747
fillet,3,0.0,-2.6968790541092553
fish,3,0.0,-2.504386862119039
floor,3,0.0,-1.443888356288274
flute,2,0.0,-3.199070002883673
flutist,2,0.0,-2.334754951298237
