noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,0.6508913040161133
actor,1,1.0,1.2645435631275177
aircraft,3,1.0,0.6551500856876373
album,3,1.0,0.9253870646158852
animal,2,1.0,0.5611739158630371
announcer,2,1.0,0.9852042496204376
artisan,4,1.0,0.6020769998431206
artist,4,1.0,0.9720139503479005
author,2,1.0,1.8569846749305725
aviator,3,1.0,1.0652068257331848
backpack,2,1.0,0.7210788428783417
backpacker,2,1.0,0.9547276347875595
bag,2,1.0,0.5891571044921874
baker,6,1.0,0.6643360505501429
barber,7,1.0,0.9264998010226658
basket,2,0.5,0.036244392395019503
beard,3,1.0,0.64241756995519
bedding,5,1.0,1.0046485900878908
bike,4,1.0,0.683399423956871
blanket,2,1.0,0.6481447368860245
blogger,2,1.0,1.3809433281421661
board,4,1.0,1.0331585481762886
book,3,1.0,1.4978272169828415
bottle,2,1.0,0.8436355441808701
bowl,2,1.0,0.7076382786035539
bread,3,1.0,0.4579578936100006
broadcaster,2,1.0,1.1200966984033585
building,2,1.0,0.4400543868541717
bus,3,1.0,0.4695285161336263
busboy,5,1.0,0.9058051943778992
businessman,3,1.0,1.1255852778752644
businesswoman,3,1.0,1.0843820373217266
butcher,4,1.0,0.9884004667401314
cake,3,1.0,0.27814579010009766
cameraman,2,0.0,-0.387728214263916
camper,2,1.0,1.025892287492752
canvas,4,1.0,0.2703249454498291
captain,3,1.0,1.047290821870168
car,12,1.0,0.6920769264300665
cardboard,4,1.0,1.0235104486346245
carpet,3,1.0,1.1077381769816081
carver,7,1.0,0.6016096600464412
caterer,3,1.0,0.7856779197851816
cd,3,1.0,1.131677637497584
cellist,2,1.0,1.2432532012462616
cello,2,1.0,1.0407600700855255
chauffeur,3,1.0,0.7610994974772135
chef,10,1.0,1.0058815032243729
choreography,1,1.0,1.4340047240257263
clarinet,2,1.0,0.5906085968017579
clarinetist,2,1.0,0.8057727813720703
clay,6,1.0,0.48289186259110767
cleaner,5,1.0,1.7236055344343186
clerk,2,1.0,1.0803799927234647
cloth,8,1.0,0.8876863773912191
coat,2,1.0,0.40550518035888683
code,2,1.0,1.3153963088989258
comedian,1,1.0,1.2840834259986875
concerto,1,1.0,1.0673437118530271
confectioner,3,1.0,0.4820400873819987
container,2,1.0,0.6213226318359375
convertible,3,1.0,0.4088312784830728
cook,6,1.0,0.6340144375960032
cotton,4,1.0,0.7558088079094887
countertop,3,1.0,0.6060126423835754
crate,2,1.0,0.6479883342981339
cushion,4,0.75,0.06493401527404782
cut,4,1.0,0.8711462318897247
dancer,1,1.0,1.7516279220581057
dealer,3,1.0,1.5396662006775539
dish,2,1.0,1.1673412173986435
doctor,2,1.0,1.0661983489990234
dough,3,1.0,0.4916909535725911
dressmaker,4,1.0,0.7537462636828423
driver,7,1.0,0.5619216774191175
drug,3,1.0,1.2899933159351349
drummer,2,1.0,0.6916427612304686
duffle,2,1.0,0.20664644241333005
essay,4,1.0,1.1269166469573975
essayist,2,1.0,1.0273528248071673
fabric,20,1.0,0.927608671784401
fillet,3,1.0,0.784669558207194
