verb,overall_acc,avg_LL_delta
bakes,0.8809523809523809,0.438624239393643
carves,0.9166666666666666,0.7592929064606627
cleans,1.0,0.9603350877209946
cooks,1.0,0.8295867913299136
cuts,1.0,0.9923261441290379
drives,1.0,0.5006066444847319
embroiders,0.9642857142857143,0.5395617453115327
flies,1.0,0.9067269153892994
knits,1.0,1.0849622207028524
packs,0.975,0.7182621013373136
paints,1.0,0.7071425281465054
performs,1.0,1.3588744608255534
photographs,0.6666666666666666,0.20763095219930014
plays,1.0,0.8336680015692344
reads,1.0,1.166528702220496
sculpts,1.0,0.5903984467188518
sells,1.0,1.1495859258704715
sews,1.0,0.9731064178049564
shaves,1.0,0.5553712745507559
stitches,1.0,0.8696524128317833
turns,0.9772727272727273,0.5947423706000502
washes,1.0,1.0335231939187417
writes,1.0,1.4432198365821558
