verb,overall_acc,avg_LL_delta
bakes,0.7619047619047619,-1.593484945190476
carves,0.08333333333333333,1.8301538854583335
cleans,0.3148148148148148,1.1370679031111113
cooks,0.8666666666666667,-2.2565944356888896
cuts,0.1,2.2743269650249998
drives,0.0,3.304313028569444
embroiders,0.6071428571428571,-0.39349558085714287
flies,0.125,2.7093299402916666
knits,0.9714285714285714,-2.43433335357143
packs,0.7,-0.9689749935499998
paints,0.6875,-0.2751175628541667
performs,0.0,3.2751750818461534
photographs,0.6666666666666666,-0.05553580477777772
plays,0.3076923076923077,0.46265864538461543
reads,0.6176470588235294,0.1533192317647059
sculpts,0.2,1.3165624786333334
sells,0.013888888888888888,3.4255328363611106
sews,0.65,-0.5081493715
shaves,0.3333333333333333,1.400184419733333
stitches,0.6875,-0.45377094288333336
turns,0.3409090909090909,1.818249722304546
washes,0.8076923076923077,-1.4641932285769232
writes,0.14705882352941177,3.3657368945352935
