verb,overall_acc,avg_LL_delta
bakes,1.0,-0.7765554871428572
carves,1.0,-0.5290879870833335
cleans,1.0,-0.6228827479629628
cooks,1.0,-0.5162276893333333
cuts,1.0,-0.47255743325
drives,1.0,-0.5692071305555557
embroiders,1.0,-0.5472583707142857
flies,1.0,-0.35920928541666663
knits,1.0,-0.5767773714285716
packs,1.0,-0.5879199822500001
paints,1.0,-0.5031471741666665
performs,1.0,-0.3395049469230769
photographs,0.9444444444444444,-0.3623814305555555
plays,1.0,-0.2968759811538461
reads,0.9705882352941176,-0.30076638323529414
sculpts,1.0,-0.505544164
sells,0.9583333333333334,-0.3802925393055555
sews,1.0,-0.5320943079999999
shaves,1.0,-0.604878492
stitches,1.0,-0.6487356064583335
turns,0.75,-0.18130829454545455
washes,1.0,-0.704767713076923
writes,0.9117647058823529,-0.27397309147058807
