verb,overall_acc,avg_LL_delta
bakes,0.9523809523809523,1.7023981893571427
carves,1.0,2.8750283394166662
cleans,1.0,3.9248216328148153
cooks,1.0,2.9999759390666676
cuts,1.0,3.3868840556000004
drives,1.0,5.4497284375
embroiders,0.9642857142857143,2.1313701394285713
flies,1.0,5.0153135236875
knits,0.9142857142857143,1.7875569778857139
packs,1.0,3.26798784325
paints,0.9791666666666666,2.7942165362708327
performs,1.0,5.449826920461539
photographs,1.0,3.115848691
plays,1.0,3.675496070423077
reads,1.0,3.138505154500001
sculpts,1.0,2.4423660372666673
sells,1.0,4.072532297166667
sews,0.9,2.9275151920499995
shaves,0.9333333333333333,1.9808462492666667
stitches,0.9791666666666666,2.7633159476666673
turns,1.0,4.573198707522725
washes,1.0,4.239511808269231
writes,1.0,3.3568298516617645
