id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-0.010034873,-7.1673946,agent,agent,7.157359726999999
1,sells,book,easily,This book sells something easily.,-0.0060923365,-7.219491,agent,agent,7.2133986635
2,sells,novel,easily,This novel sells something easily.,-0.005350315,-7.6474843,agent,agent,7.642133985
3,sells,magazine,easily,This magazine sells something easily.,-0.0076403683,-7.0832715,agent,agent,7.075631131700001
4,sells,hat,easily,This hat sells something easily.,-0.009543234,-6.926747,agent,agent,6.917203766
5,sells,lotion,easily,This lotion sells something easily.,-0.008660177,-6.914731,agent,agent,6.906070822999999
6,sells,album,easily,This album sells something easily.,-0.012819843,-5.002897,agent,agent,4.990077157
7,sells,car,easily,This car sells something easily.,-0.008421216,-6.2901335,agent,agent,6.281712283999999
8,sells,suv,easily,This SUV sells something easily.,-0.00788087,-7.169833,agent,agent,7.1619521299999995
9,sells,product,easily,This product sells something easily.,-0.008277569,-8.162061,agent,agent,8.153783430999999
10,sells,make,easily,This make sells something easily.,-0.0040045297,-9.501533,agent,agent,9.4975284703
11,sells,item,easily,This item sells something easily.,-0.009508389,-7.76831,agent,agent,7.758801611
12,sells,cd,easily,This CD sells something easily.,-0.0090990495,-6.451035,agent,agent,6.4419359505000005
13,sells,drug,easily,This drug sells something easily.,-0.0072302907,-7.4442596,agent,agent,7.4370293093
14,sells,snack,easily,This snack sells something easily.,-0.014070966,-5.710927,agent,agent,5.696856034
15,sells,salesman,easily,This salesman sells something easily.,-0.006139831,-14.081314,agent,agent,14.075174169
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.005439965,-13.037825,agent,agent,13.032385034999999
17,sells,businessman,easily,This businessman sells something easily.,-0.0111100655,-11.88093,agent,agent,11.869819934499999
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.010734411,-11.923314,agent,agent,11.912579589
19,sells,trader,easily,This trader sells something easily.,-0.0065222853,-10.194047,agent,agent,10.187524714699999
20,sells,peddler,easily,This peddler sells something easily.,-0.0060882582,-8.978095,agent,agent,8.9720067418
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.0039397203,-11.459041,agent,agent,11.4551012797
22,sells,dealer,easily,This dealer sells something easily.,-0.008459625,-11.520838,agent,agent,11.512378374999999
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.006819544,-9.258654,agent,agent,9.251834456
24,sells,toy,well,This toy sells something well.,-0.0132828355,-6.565577,agent,agent,6.5522941645
25,sells,book,well,This book sells something well.,-0.006632802,-6.5307956,agent,agent,6.524162798
26,sells,novel,well,This novel sells something well.,-0.007657066,-7.214467,agent,agent,7.206809934
27,sells,magazine,well,This magazine sells something well.,-0.010655969,-6.2196317,agent,agent,6.208975731
28,sells,hat,well,This hat sells something well.,-0.012127232,-6.740008,agent,agent,6.727880768
29,sells,lotion,well,This lotion sells something well.,-0.01046616,-6.641974,agent,agent,6.63150784
30,sells,album,well,This album sells something well.,-0.020177536,-4.4065843,agent,agent,4.386406763999999
31,sells,car,well,This car sells something well.,-0.009982737,-5.929289,agent,agent,5.919306263
32,sells,suv,well,This SUV sells something well.,-0.009002635,-6.705845,agent,agent,6.696842365
33,sells,product,well,This product sells something well.,-0.010161372,-7.8588843,agent,agent,7.848722928
34,sells,make,well,This make sells something well.,-0.0041844365,-8.69685,agent,agent,8.6926655635
35,sells,item,well,This item sells something well.,-0.010569943,-6.8674684,agent,agent,6.856898457
36,sells,cd,well,This CD sells something well.,-0.008170838,-5.6674414,agent,agent,5.659270562000001
37,sells,drug,well,This drug sells something well.,-0.007477253,-6.82104,agent,agent,6.813562747
38,sells,snack,well,This snack sells something well.,-0.024230085,-4.685682,agent,agent,4.661451915
39,sells,salesman,well,This salesman sells something well.,-0.0046796817,-13.586729,agent,agent,13.5820493183
40,sells,saleswoman,well,This saleswoman sells something well.,-0.004871272,-12.537583,agent,agent,12.532711727999999
41,sells,businessman,well,This businessman sells something well.,-0.012287122,-10.975436,agent,agent,10.963148878
42,sells,businesswoman,well,This businesswoman sells something well.,-0.012831735,-11.218862,agent,agent,11.206030264999999
43,sells,trader,well,This trader sells something well.,-0.0065937433,-9.048856,agent,agent,9.0422622567
44,sells,peddler,well,This peddler sells something well.,-0.0071401205,-8.050985,agent,agent,8.0438448795
45,sells,telemarketer,well,This telemarketer sells something well.,-0.0039984835,-10.464232,agent,agent,10.4602335165
46,sells,dealer,well,This dealer sells something well.,-0.008371449,-11.093155,agent,agent,11.084783551
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.006432417,-9.460813,agent,agent,9.454380583
48,sells,toy,quickly,This toy sells something quickly.,-0.011327787,-6.638084,agent,agent,6.626756213
49,sells,book,quickly,This book sells something quickly.,-0.005912564,-6.913009,agent,agent,6.907096436
50,sells,novel,quickly,This novel sells something quickly.,-0.0050778147,-7.323921,agent,agent,7.3188431853
51,sells,magazine,quickly,This magazine sells something quickly.,-0.0073385458,-6.718928,agent,agent,6.7115894542
52,sells,hat,quickly,This hat sells something quickly.,-0.007004459,-6.99939,agent,agent,6.992385541
53,sells,lotion,quickly,This lotion sells something quickly.,-0.008054024,-6.614799,agent,agent,6.606744976
54,sells,album,quickly,This album sells something quickly.,-0.016117942,-4.651604,agent,agent,4.635486058
55,sells,car,quickly,This car sells something quickly.,-0.009008652,-6.1258,agent,agent,6.116791348
56,sells,suv,quickly,This SUV sells something quickly.,-0.00864755,-6.6364255,agent,agent,6.62777795
57,sells,product,quickly,This product sells something quickly.,-0.009094178,-7.5024805,agent,agent,7.493386322
58,sells,make,quickly,This make sells something quickly.,-0.005094167,-8.448903,agent,agent,8.443808833
59,sells,item,quickly,This item sells something quickly.,-0.010321072,-6.8983088,agent,agent,6.887987728
60,sells,cd,quickly,This CD sells something quickly.,-0.011848536,-5.5879903,agent,agent,5.576141764000001
61,sells,drug,quickly,This drug sells something quickly.,-0.007498753,-6.9058757,agent,agent,6.898376947
62,sells,snack,quickly,This snack sells something quickly.,-0.018176263,-5.0772347,agent,agent,5.059058437
63,sells,salesman,quickly,This salesman sells something quickly.,-0.00537069,-13.810173,agent,agent,13.804802310000001
64,sells,saleswoman,quickly,This saleswoman sells something quickly.,-0.0055974144,-12.397236,agent,agent,12.391638585599999
65,sells,businessman,quickly,This businessman sells something quickly.,-0.011379513,-11.0766735,agent,agent,11.065293987
66,sells,businesswoman,quickly,This businesswoman sells something quickly.,-0.00939882,-11.311497,agent,agent,11.30209818
67,sells,trader,quickly,This trader sells something quickly.,-0.0052140537,-9.480256,agent,agent,9.475041946300001
68,sells,peddler,quickly,This peddler sells something quickly.,-0.0053783003,-8.583861,agent,agent,8.5784826997
69,sells,telemarketer,quickly,This telemarketer sells something quickly.,-0.0035698554,-10.573148,agent,agent,10.5695781446
70,sells,dealer,quickly,This dealer sells something quickly.,-0.0073124263,-11.092011,agent,agent,11.084698573699999
71,sells,shopkeeper,quickly,This shopkeeper sells something quickly.,-0.005397056,-9.683835,agent,agent,9.678437944
72,drives,car,nicely,This car drives something nicely.,-0.036120545,-3.5061476,agent,agent,3.4700270549999996
73,drives,suv,nicely,This SUV drives something nicely.,-0.00695356,-5.698389,agent,agent,5.691435439999999
74,drives,truck,nicely,This truck drives something nicely.,-0.005482757,-6.077504,agent,agent,6.072021243
75,drives,convertible,nicely,This convertible drives something nicely.,-0.012250076,-4.9396453,agent,agent,4.927395224
76,drives,vehicle,nicely,This vehicle drives something nicely.,-0.013433188,-5.4621167,agent,agent,5.448683512000001
77,drives,tank,nicely,This tank drives something nicely.,-0.009212918,-6.687949,agent,agent,6.6787360819999995
78,drives,bus,nicely,This bus drives something nicely.,-0.014997232,-4.855357,agent,agent,4.840359768
79,drives,tractor,nicely,This tractor drives something nicely.,-0.0077310037,-6.0668426,agent,agent,6.0591115963
80,drives,van,nicely,This van drives something nicely.,-0.007410059,-5.6071515,agent,agent,5.599741441
81,drives,driver,nicely,This driver drives something nicely.,-0.017713249,-8.618708,agent,agent,8.600994751
82,drives,person,nicely,This person drives something nicely.,-0.008275824,-7.0624166,agent,agent,7.054140776
83,drives,chauffeur,nicely,This chauffeur drives something nicely.,-0.0037998233,-8.261181,agent,agent,8.257381176700001
84,drives,car,smoothly,This car drives something smoothly.,-0.0552264,-3.1361976,agent,agent,3.0809712
85,drives,suv,smoothly,This SUV drives something smoothly.,-0.012343184,-4.958984,agent,agent,4.946640816
86,drives,truck,smoothly,This truck drives something smoothly.,-0.010345223,-5.189741,agent,agent,5.179395777
87,drives,convertible,smoothly,This convertible drives something smoothly.,-0.023000551,-4.123319,agent,agent,4.100318449
88,drives,vehicle,smoothly,This vehicle drives something smoothly.,-0.021652706,-4.8982716,agent,agent,4.876618894
89,drives,tank,smoothly,This tank drives something smoothly.,-0.010801585,-6.4227414,agent,agent,6.411939814999999
90,drives,bus,smoothly,This bus drives something smoothly.,-0.031574648,-4.1450424,agent,agent,4.113467752
91,drives,tractor,smoothly,This tractor drives something smoothly.,-0.011029188,-5.56127,agent,agent,5.550240812
92,drives,van,smoothly,This van drives something smoothly.,-0.013025677,-4.7924614,agent,agent,4.779435723
93,drives,driver,smoothly,This driver drives something smoothly.,-0.018091597,-7.7285824,agent,agent,7.710490803
94,drives,person,smoothly,This person drives something smoothly.,-0.0095781945,-6.297483,agent,agent,6.287904805499999
95,drives,chauffeur,smoothly,This chauffeur drives something smoothly.,-0.0040409733,-8.454651,agent,agent,8.4506100267
96,drives,car,well,This car drives something well.,-0.03554451,-3.5049655,agent,agent,3.46942099
97,drives,suv,well,This SUV drives something well.,-0.012343184,-5.09067,agent,agent,5.078326816000001
98,drives,truck,well,This truck drives something well.,-0.0065062055,-6.1462693,agent,agent,6.1397630945
99,drives,convertible,well,This convertible drives something well.,-0.023076976,-4.1118155,agent,agent,4.088738524
100,drives,vehicle,well,This vehicle drives something well.,-0.01405942,-5.2018275,agent,agent,5.187768080000001
101,drives,tank,well,This tank drives something well.,-0.009146147,-6.548851,agent,agent,6.539704853
102,drives,bus,well,This bus drives something well.,-0.017822092,-5.192669,agent,agent,5.174846908
103,drives,tractor,well,This tractor drives something well.,-0.010379309,-5.290368,agent,agent,5.279988691
104,drives,van,well,This van drives something well.,-0.0091833845,-5.13902,agent,agent,5.1298366155
