id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-1.009765625,-0.509765625,agent,patient,-0.5,agent
1,sells,book,easily,This book sells something easily.,-1.5361328125,-0.2861328125,agent,patient,-1.25,agent
2,sells,novel,easily,This novel sells something easily.,-0.49658203125,-0.99658203125,agent,agent,0.5,agent
3,sells,magazine,easily,This magazine sells something easily.,-1.0107421875,-0.5107421875,agent,patient,-0.5,agent
4,sells,hat,easily,This hat sells something easily.,-0.85498046875,-0.60498046875,agent,patient,-0.25,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.998046875,-0.497802734375,agent,patient,-0.500244140625,agent
6,sells,album,easily,This album sells something easily.,-1.3720703125,-0.3720703125,agent,patient,-1.0,agent
7,sells,car,easily,This car sells something easily.,-0.66064453125,-0.91064453125,agent,agent,0.25,agent
8,sells,suv,easily,This SUV sells something easily.,-0.74560546875,-0.74560546875,agent,agent,0.0,agent
9,sells,product,easily,This product sells something easily.,-0.84228515625,-0.84228515625,agent,agent,0.0,agent
10,sells,make,easily,This make sells something easily.,-0.85546875,-0.60546875,agent,patient,-0.25,agent
11,sells,item,easily,This item sells something easily.,-0.86376953125,-0.61376953125,agent,patient,-0.25,agent
12,sells,cd,easily,This CD sells something easily.,-1.3740234375,-0.37353515625,agent,patient,-1.00048828125,agent
13,sells,drug,easily,This drug sells something easily.,-1.22265625,-0.47314453125,agent,patient,-0.74951171875,agent
14,sells,snack,easily,This snack sells something easily.,-1.33984375,-0.340087890625,agent,patient,-0.999755859375,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.85205078125,-0.60205078125,agent,patient,-0.25,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.7294921875,-0.7294921875,agent,agent,0.0,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.86083984375,-0.61083984375,agent,patient,-0.25,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-1.3427734375,-0.34326171875,agent,patient,-0.99951171875,agent
19,sells,trader,easily,This trader sells something easily.,-1.3349609375,-0.33544921875,agent,patient,-0.99951171875,agent
20,sells,peddler,easily,This peddler sells something easily.,-1.162109375,-0.412353515625,agent,patient,-0.749755859375,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-1.3388671875,-0.3388671875,agent,patient,-1.0,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.8603515625,-0.6103515625,agent,patient,-0.25,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-1.5478515625,-0.29833984375,agent,patient,-1.24951171875,agent
24,sells,toy,well,This toy sells something well.,-1.1708984375,-0.421142578125,agent,patient,-0.749755859375,agent
25,sells,book,well,This book sells something well.,-1.3486328125,-0.348876953125,agent,patient,-0.999755859375,agent
26,sells,novel,well,This novel sells something well.,-0.414306640625,-1.1640625,agent,agent,0.749755859375,agent
27,sells,magazine,well,This magazine sells something well.,-1.017578125,-0.517578125,agent,patient,-0.5,agent
28,sells,hat,well,This hat sells something well.,-0.86083984375,-0.61083984375,agent,patient,-0.25,agent
29,sells,lotion,well,This lotion sells something well.,-0.8544921875,-0.6044921875,agent,patient,-0.25,agent
30,sells,album,well,This album sells something well.,-1.376953125,-0.376953125,agent,patient,-1.0,agent
31,sells,car,well,This car sells something well.,-0.77587890625,-0.77587890625,agent,agent,0.0,agent
32,sells,suv,well,This SUV sells something well.,-0.87744140625,-0.62744140625,agent,patient,-0.25,agent
33,sells,product,well,This product sells something well.,-0.84423828125,-0.84423828125,agent,agent,0.0,agent
34,sells,make,well,This make sells something well.,-0.8583984375,-0.6083984375,agent,patient,-0.25,agent
35,sells,item,well,This item sells something well.,-0.86572265625,-0.61572265625,agent,patient,-0.25,agent
36,sells,cd,well,This CD sells something well.,-1.375,-0.375244140625,agent,patient,-0.999755859375,agent
37,sells,drug,well,This drug sells something well.,-1.388671875,-0.388427734375,agent,patient,-1.000244140625,agent
38,sells,snack,well,This snack sells something well.,-1.3447265625,-0.344970703125,agent,patient,-0.999755859375,agent
39,sells,salesman,well,This salesman sells something well.,-0.72705078125,-0.72705078125,agent,agent,0.0,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.73193359375,-0.73193359375,agent,agent,0.0,agent
41,sells,businessman,well,This businessman sells something well.,-0.86279296875,-0.61279296875,agent,patient,-0.25,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-1.3447265625,-0.34521484375,agent,patient,-0.99951171875,agent
43,sells,trader,well,This trader sells something well.,-1.1669921875,-0.416748046875,agent,patient,-0.750244140625,agent
44,sells,peddler,well,This peddler sells something well.,-1.166015625,-0.415771484375,agent,patient,-0.750244140625,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-1.3408203125,-0.341064453125,agent,patient,-0.999755859375,agent
46,sells,dealer,well,This dealer sells something well.,-0.73388671875,-0.73388671875,agent,agent,0.0,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-1.3603515625,-0.36083984375,agent,patient,-0.99951171875,agent
48,sells,toy,quickly,This toy sells something quickly.,-1.0107421875,-0.5107421875,agent,patient,-0.5,agent
49,sells,book,quickly,This book sells something quickly.,-1.3505859375,-0.350341796875,agent,patient,-1.000244140625,agent
50,sells,novel,quickly,This novel sells something quickly.,-0.5048828125,-1.0048828125,agent,agent,0.5,agent
51,sells,magazine,quickly,This magazine sells something quickly.,-1.017578125,-0.51806640625,agent,patient,-0.49951171875,agent
52,sells,hat,quickly,This hat sells something quickly.,-0.8583984375,-0.6083984375,agent,patient,-0.25,agent
53,sells,lotion,quickly,This lotion sells something quickly.,-1.0009765625,-0.5009765625,agent,patient,-0.5,agent
54,sells,album,quickly,This album sells something quickly.,-1.21484375,-0.46435546875,agent,patient,-0.75048828125,agent
55,sells,car,quickly,This car sells something quickly.,-0.771484375,-0.771484375,agent,agent,0.0,agent
56,sells,suv,quickly,This SUV sells something quickly.,-0.87451171875,-0.62451171875,agent,patient,-0.25,agent
57,sells,product,quickly,This product sells something quickly.,-0.962890625,-0.712890625,agent,patient,-0.25,agent
58,sells,make,quickly,This make sells something quickly.,-1.00390625,-0.50390625,agent,patient,-0.5,agent
59,sells,item,quickly,This item sells something quickly.,-0.86865234375,-0.61865234375,agent,patient,-0.25,agent
60,sells,cd,quickly,This CD sells something quickly.,-1.0341796875,-0.53466796875,agent,patient,-0.49951171875,agent
61,sells,drug,quickly,This drug sells something quickly.,-1.388671875,-0.388671875,agent,patient,-1.0,agent
62,sells,snack,quickly,This snack sells something quickly.,-1.34375,-0.34375,agent,patient,-1.0,agent
63,sells,salesman,quickly,This salesman sells something quickly.,-0.85986328125,-0.60986328125,agent,patient,-0.25,agent
64,sells,saleswoman,quickly,This saleswoman sells something quickly.,-0.609375,-0.859375,agent,agent,0.25,agent
