noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-0.813883825
actor,1,0.0,1.0,-0.6826362800000001
aircraft,3,1.0,1.0,-0.9292876133333333
album,3,1.0,1.0,-0.84035559
animal,2,1.0,1.0,-0.467501695
announcer,2,0.0,1.0,-0.724486295
artisan,4,0.0,1.0,-0.94023371
artist,4,0.0,1.0,-0.7979926700000002
author,2,0.0,1.0,-0.43148705
aviator,3,0.0,1.0,-0.6259937166666667
backpack,2,1.0,1.0,-1.1876658999999998
backpacker,2,0.0,1.0,-0.99347395
bag,2,1.0,1.0,-1.08812996
baker,6,0.0,1.0,-0.80658847
barber,7,0.0,1.0,-0.8720488114285715
basket,2,1.0,1.0,-1.1214771250000002
beard,3,1.0,1.0,-1.0141073033333334
bedding,5,1.0,1.0,-1.3372462539999999
bike,4,1.0,1.0,-0.8310341750000001
blanket,2,1.0,1.0,-1.4168802299999999
blogger,2,0.0,1.0,-0.8093871850000001
board,4,1.0,1.0,-1.2042222625
book,3,1.0,1.0,-0.55077741
bottle,2,1.0,1.0,-0.9957580949999999
bowl,2,1.0,1.0,-1.1900138649999998
bread,3,1.0,1.0,-1.3028430666666668
broadcaster,2,0.0,1.0,-0.685165515
building,2,1.0,1.0,-1.0254458899999999
bus,3,1.0,1.0,-1.1267630066666667
busboy,5,0.0,1.0,-0.9283653600000001
businessman,3,0.0,1.0,-1.0826047433333335
businesswoman,3,0.0,1.0,-0.7549559833333334
butcher,4,0.0,1.0,-0.8171314925
cake,3,1.0,1.0,-1.6163120399999997
cameraman,2,0.0,1.0,-0.58083145
camper,2,0.0,1.0,-1.054006505
canvas,4,1.0,1.0,-1.1978606575000001
captain,3,0.0,1.0,-0.7950777166666666
car,12,1.0,1.0,-0.9707006008333333
cardboard,4,1.0,1.0,-1.2717962049999998
carpet,3,1.0,1.0,-1.1450138033333332
carver,7,0.0,1.0,-0.78272769
caterer,3,0.0,1.0,-0.9851484899999999
cd,3,1.0,0.0,-1.0809498166666667
cellist,2,0.0,1.0,-0.44079592
cello,2,1.0,1.0,-0.6134071350000001
chauffeur,3,0.0,1.0,-0.9859516700000001
chef,10,0.0,1.0,-0.5525004899999999
choreography,1,1.0,1.0,-0.8290729000000001
clarinet,2,1.0,1.0,-0.5795841399999999
clarinetist,2,0.0,1.0,-0.4467677849999999
clay,6,1.0,1.0,-1.2917670333333333
cleaner,5,0.0,1.0,-0.9810059079999999
clerk,2,0.0,0.0,-0.8185918999999999
cloth,8,1.0,1.0,-0.9810792662500001
coat,2,1.0,1.0,-1.14846992
code,2,1.0,0.0,-0.64401818
comedian,1,0.0,1.0,-0.96084402
concerto,1,1.0,1.0,-0.6663455200000001
confectioner,3,0.0,1.0,-1.0179500666666665
container,2,1.0,1.0,-1.105453465
convertible,3,1.0,1.0,-0.9135888966666666
cook,6,0.0,1.0,-0.9482224850000001
cotton,4,1.0,1.0,-1.0458388724999998
countertop,3,1.0,1.0,-1.1583792133333333
crate,2,1.0,1.0,-1.54279315
cushion,4,1.0,1.0,-1.53754517
cut,4,1.0,1.0,-1.59628919
dancer,1,0.0,1.0,-0.8088342000000001
dealer,3,0.0,1.0,-1.11365249
dish,2,1.0,1.0,-1.399854635
doctor,2,0.0,1.0,-0.8211167300000001
dough,3,1.0,1.0,-1.5828875133333333
dressmaker,4,0.0,1.0,-0.9942855275
driver,7,0.0,1.0,-0.9265994914285715
drug,3,1.0,1.0,-0.9460194766666667
drummer,2,0.0,1.0,-0.68592737
duffle,2,1.0,1.0,-1.3567046349999998
essay,4,1.0,1.0,-0.6597366250000001
essayist,2,0.0,1.0,-0.6438398799999999
fabric,20,1.0,1.0,-0.8347004895
fillet,3,1.0,1.0,-1.06506037
fish,3,1.0,1.0,-1.3113242166666668
floor,3,1.0,1.0,-1.16781998
flute,2,1.0,1.0,-0.8254765550000001
flutist,2,0.0,1.0,-0.66602995
food,2,1.0,1.0,-1.0117579
gem,4,1.0,1.0,-0.6656756875
glass,4,1.0,1.0,-0.7579636574999999
hairdresser,7,0.0,1.0,-0.7545908614285715
handle,4,1.0,1.0,-0.8216414575000001
hat,3,1.0,1.0,-0.65036387
herb,3,1.0,1.0,-0.7976182233333332
hiker,2,0.0,1.0,-0.95420448
housekeeper,3,0.0,1.0,-1.0504156533333333
ice,7,1.0,1.0,-0.8245569328571429
illustrator,4,0.0,1.0,-0.5704255025
ingredient,3,1.0,1.0,-1.0133812466666667
instrument,2,1.0,1.0,-0.59940527
item,3,1.0,1.0,-0.7479630033333334
jacket,2,1.0,1.0,-1.08940402
janitor,3,0.0,1.0,-1.05944118
jet,3,1.0,1.0,-0.7985470166666667
jeweler,4,0.0,1.0,-0.5626930825
jewelry,3,1.0,1.0,-0.8766911199999999
journalist,2,0.0,1.0,-0.88732049
kite,3,1.0,1.0,-1.08242277
knob,4,1.0,1.0,-0.7699293899999999
lady,5,0.0,1.0,-1.046041094
lake,2,1.0,1.0,-0.934249055
landscape,2,1.0,1.0,-0.84750276
letter,2,1.0,0.0,-0.7497291850000001
line,2,1.0,1.0,-0.7670879399999999
lotion,3,1.0,1.0,-0.6707198133333333
lunchbox,2,1.0,1.0,-1.090583755
machine,8,0.0,1.0,-1.13769933125
magazine,3,1.0,1.0,-0.91267882
maid,5,0.0,1.0,-1.1646038099999998
make,3,1.0,0.0,-0.7131589900000002
man,5,0.0,1.0,-1.177991454
marble,3,1.0,1.0,-0.8997840966666666
mason,3,0.0,1.0,-1.1602948266666666
material,4,1.0,1.0,-1.030067425
meat,7,1.0,1.0,-1.047968162857143
mirror,3,1.0,1.0,-1.2012429466666665
model,2,1.0,1.0,-0.6007913600000001
motorcycle,4,1.0,1.0,-0.8836731775
motorist,4,0.0,1.0,-0.83582979
mountain,2,1.0,1.0,-0.65927594
mover,2,0.0,1.0,-1.09025006
mushroom,3,1.0,1.0,-1.0851331966666666
musician,3,0.0,1.0,-0.6436271600000001
narrator,2,0.0,1.0,-0.84578321
notetaker,2,0.0,1.0,-0.80569179
novel,3,1.0,1.0,-0.8224980299999999
novelist,2,0.0,1.0,-0.85974693
orator,2,0.0,1.0,-0.9876251899999999
packaging,4,1.0,0.0,-1.054956795
painter,4,0.0,1.0,-0.9076552524999999
panel,4,1.0,1.0,-1.0798124875
paper,4,1.0,1.0,-0.712873495
passage,6,1.0,1.0,-1.059344946666667
pastry,3,1.0,1.0,-1.5118605066666666
patissier,3,0.0,1.0,-1.09837215
pattern,5,1.0,1.0,-1.035092924
peddler,3,0.0,1.0,-1.4776318533333335
pepper,3,1.0,1.0,-1.2073942166666667
person,30,0.0,1.0,-0.797660598
photographer,2,0.0,1.0,-0.52701105
pianist,2,0.0,1.0,-0.669566565
piano,2,1.0,1.0,-0.9668673600000001
pie,3,1.0,1.0,-1.50238226
pilot,7,0.0,1.0,-0.7888406928571429
pizza,3,1.0,1.0,-1.6826641966666667
plane,3,1.0,1.0,-0.9457359233333333
poem,2,1.0,1.0,-0.80240435
poet,2,0.0,1.0,-0.8795528699999999
portraitist,4,0.0,1.0,-0.8743671799999999
pot,3,1.0,1.0,-1.1190611233333334
potato,3,1.0,1.0,-1.5663687099999999
potter,3,0.0,1.0,-0.7527733200000001
product,3,1.0,1.0,-0.9667180466666667
professor,2,0.0,1.0,-0.5930909500000001
proposal,2,1.0,1.0,-1.1545181100000002
pumpkin,4,1.0,1.0,-1.2246227125
quilt,4,1.0,1.0,-1.5696425374999998
racer,4,0.0,1.0,-0.8294007124999999
report,2,1.0,1.0,-1.185118615
roadtripper,2,0.0,1.0,-1.043551435
routine,1,1.0,1.0,-1.36921496
salesman,3,0.0,1.0,-0.6379795133333334
saleswoman,3,0.0,1.0,-0.7324206433333332
salmon,3,1.0,1.0,-1.3669483766666666
scene,1,1.0,1.0,-0.893425
screw,4,1.0,1.0,-0.789835475
scribe,2,0.0,1.0,-0.8676738799999999
script,2,1.0,1.0,-0.56982709
sculptor,7,0.0,1.0,-0.8137928871428571
seamster,8,0.0,1.0,-0.9581863287500001
seamstress,4,0.0,1.0,-0.8070598099999999
section,2,1.0,1.0,-0.819253955
shirt,2,1.0,1.0,-1.181027415
shopkeeper,3,0.0,1.0,-0.9458865300000001
sideburn,3,1.0,1.0,-0.8837305400000001
silk,4,1.0,1.0,-1.1429633049999999
silverware,3,1.0,1.0,-0.9130439266666667
singer,1,0.0,1.0,-0.8163986999999999
snack,3,1.0,1.0,-1.3576590533333333
soloist,1,0.0,1.0,-0.63898853
sonata,1,1.0,1.0,-0.8991887299999999
song,1,1.0,1.0,-0.8666953800000001
steak,7,1.0,1.0,-1.0967674071428573
stone,7,1.0,1.0,-1.0890933200000001
stubble,3,1.0,1.0,-1.1583373533333334
student,4,0.0,1.0,-0.8036666299999999
suitcase,2,1.0,1.0,-1.195158835
surface,7,1.0,1.0,-1.4299440371428571
surgeon,4,0.0,1.0,-0.87247944
suv,6,1.0,1.0,-1.0603225683333333
tailor,12,0.0,1.0,-0.9997180633333335
tank,3,1.0,1.0,-1.1221052900000001
teacher,2,0.0,1.0,-0.50739476
telemarketer,3,0.0,1.0,-0.64955841
tent,2,1.0,1.0,-1.22434239
thread,4,1.0,1.0,-1.0599913749999998
toy,3,1.0,1.0,-1.0511429833333332
tractor,3,1.0,1.0,-0.9445200633333332
trader,3,0.0,1.0,-1.1023406999999998
traveller,2,0.0,1.0,-1.087080855
truck,3,1.0,1.0,-1.4522532933333334
tub,2,1.0,1.0,-1.631345635
tuna,3,1.0,1.0,-1.47687018
