id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.4990554451942444,-1.6475272178649902,agent,agent,1.1484717726707458,agent
1,sells,book,easily,This book sells something easily.,-0.4897015690803528,-1.4913227558135986,agent,agent,1.0016211867332458,agent
2,sells,novel,easily,This novel sells something easily.,-0.735554039478302,-1.1630957126617432,agent,agent,0.42754167318344116,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.6647408604621887,-1.6620056629180908,agent,agent,0.9972648024559021,agent
4,sells,hat,easily,This hat sells something easily.,-0.2924004793167114,-2.068279266357422,agent,agent,1.7758787870407104,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.1324005126953125,-2.7589683532714844,agent,agent,2.626567840576172,agent
6,sells,album,easily,This album sells something easily.,-0.5992535948753357,-1.6277074813842771,agent,agent,1.0284538865089414,agent
7,sells,car,easily,This car sells something easily.,-0.6863155364990234,-1.6278743743896484,agent,agent,0.941558837890625,agent
8,sells,suv,easily,This SUV sells something easily.,-0.6233373284339905,-1.1793065071105957,agent,agent,0.5559691786766052,agent
9,sells,product,easily,This product sells something easily.,-0.8980169892311096,-1.9888887405395508,agent,agent,1.0908717513084412,agent
10,sells,make,easily,This make sells something easily.,-0.3460800647735595,-1.879756212234497,agent,agent,1.5336761474609375,agent
11,sells,item,easily,This item sells something easily.,-0.5904392004013062,-2.188151359558105,agent,agent,1.5977121591567989,agent
12,sells,cd,easily,This CD sells something easily.,-0.6874678134918213,-1.15181565284729,agent,agent,0.46434783935546875,agent
13,sells,drug,easily,This drug sells something easily.,-0.819833517074585,-1.5856988430023191,agent,agent,0.7658653259277342,agent
14,sells,snack,easily,This snack sells something easily.,-0.420582115650177,-2.0964395999908447,agent,agent,1.6758574843406677,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.7003359198570251,-1.0750994682312012,agent,agent,0.374763548374176,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.6283777356147766,-1.2044579982757568,agent,agent,0.5760802626609802,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.751608669757843,-1.0649020671844482,agent,agent,0.3132933974266052,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.5474937558174133,-1.3896262645721436,agent,agent,0.8421325087547302,agent
19,sells,trader,easily,This trader sells something easily.,-0.5969244837760925,-1.1752517223358154,agent,agent,0.5783272385597229,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.4722974300384521,-1.565185308456421,agent,agent,1.0928878784179688,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.5462831258773804,-1.2207368612289429,agent,agent,0.6744537353515625,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.938691258430481,-0.9652644395828248,agent,agent,0.02657318115234386,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.6174725890159607,-1.0731306076049805,agent,agent,0.4556580185890198,agent
24,sells,toy,well,This toy sells something well.,-0.4805377125740051,-1.5484774112701416,agent,agent,1.0679396986961365,agent
25,sells,book,well,This book sells something well.,-0.4560742378234863,-1.475636005401611,agent,agent,1.0195617675781248,agent
26,sells,novel,well,This novel sells something well.,-0.7359089851379395,-1.065178394317627,agent,agent,0.3292694091796875,agent
27,sells,magazine,well,This magazine sells something well.,-0.6639736890792847,-1.5053738355636597,agent,agent,0.841400146484375,agent
28,sells,hat,well,This hat sells something well.,-0.3121934235095978,-1.9740662574768064,agent,agent,1.6618728339672086,agent
29,sells,lotion,well,This lotion sells something well.,-0.1393130719661712,-2.695152521133423,agent,agent,2.5558394491672516,agent
30,sells,album,well,This album sells something well.,-0.6202651262283325,-1.50702965259552,agent,agent,0.8867645263671875,agent
31,sells,car,well,This car sells something well.,-0.6888343691825867,-1.6170799732208252,agent,agent,0.9282456040382385,agent
32,sells,suv,well,This SUV sells something well.,-0.6344172954559326,-1.1361796855926514,agent,agent,0.5017623901367188,agent
33,sells,product,well,This product sells something well.,-0.7112733721733093,-1.7884981632232666,agent,agent,1.0772247910499573,agent
34,sells,make,well,This make sells something well.,-0.3429109752178192,-1.867767572402954,agent,agent,1.5248565971851349,agent
35,sells,item,well,This item sells something well.,-0.4525872468948364,-2.1034936904907227,agent,agent,1.6509064435958862,agent
36,sells,cd,well,This CD sells something well.,-0.7539841532707214,-1.0562341213226318,agent,agent,0.3022499680519104,agent
37,sells,drug,well,This drug sells something well.,-0.7444941997528076,-1.5476844310760498,agent,agent,0.8031902313232422,agent
38,sells,snack,well,This snack sells something well.,-0.4153867959976196,-2.0426716804504395,agent,agent,1.6272848844528198,agent
39,sells,salesman,well,This salesman sells something well.,-0.7059907913208008,-1.052506446838379,agent,agent,0.3465156555175781,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.6544455885887146,-1.129169464111328,agent,agent,0.4747238755226133,agent
41,sells,businessman,well,This businessman sells something well.,-0.7674111723899841,-1.021897315979004,agent,agent,0.2544861435890198,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-0.5491167306900024,-1.3387819528579712,agent,agent,0.7896652221679688,agent
43,sells,trader,well,This trader sells something well.,-0.6086390614509583,-1.1524240970611572,agent,agent,0.543785035610199,agent
44,sells,peddler,well,This peddler sells something well.,-0.4782515168190002,-1.5087614059448242,agent,agent,1.030509889125824,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-0.5788737535476685,-1.144776463508606,agent,agent,0.5659027099609375,agent
46,sells,dealer,well,This dealer sells something well.,-0.91731858253479,-0.9583723545074464,agent,agent,0.04105377197265636,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.6277735829353333,-1.0440256595611572,agent,agent,0.416252076625824,agent
48,sells,toy,quickly,This toy sells something quickly.,-0.5457369089126587,-1.4700113534927368,agent,agent,0.9242744445800781,agent
49,sells,book,quickly,This book sells something quickly.,-0.55271315574646,-1.3313977718353271,agent,agent,0.7786846160888672,agent
50,sells,novel,quickly,This novel sells something quickly.,-0.8222178220748901,-1.0134447813034058,agent,agent,0.19122695922851562,agent
51,sells,magazine,quickly,This magazine sells something quickly.,-0.7490139007568359,-1.446401596069336,agent,agent,0.6973876953125,agent
52,sells,hat,quickly,This hat sells something quickly.,-0.335122287273407,-1.8769009113311768,agent,agent,1.5417786240577698,agent
53,sells,lotion,quickly,This lotion sells something quickly.,-0.1535704135894775,-2.556467294692993,agent,agent,2.4028968811035156,agent
54,sells,album,quickly,This album sells something quickly.,-0.6735078692436218,-1.4294817447662354,agent,agent,0.7559738755226135,agent
55,sells,car,quickly,This car sells something quickly.,-0.7807161808013916,-1.431896448135376,agent,agent,0.6511802673339844,agent
56,sells,suv,quickly,This SUV sells something quickly.,-0.7544804215431213,-0.9988117814064026,agent,agent,0.24433135986328125,agent
57,sells,product,quickly,This product sells something quickly.,-0.9407579898834229,-1.696148157119751,agent,agent,0.7553901672363281,agent
58,sells,make,quickly,This make sells something quickly.,-0.3934246301651001,-1.7148700952529907,agent,agent,1.3214454650878906,agent
59,sells,item,quickly,This item sells something quickly.,-0.6162731647491455,-1.968339204788208,agent,agent,1.3520660400390625,agent
60,sells,cd,quickly,This CD sells something quickly.,-0.8434333801269531,-0.94683837890625,agent,agent,0.10340499877929688,agent
61,sells,drug,quickly,This drug sells something quickly.,-0.8251103758811951,-1.3793001174926758,agent,agent,0.5541897416114807,agent
62,sells,snack,quickly,This snack sells something quickly.,-0.4661107659339905,-1.934875965118408,agent,agent,1.4687651991844175,agent
63,sells,salesman,quickly,This salesman sells something quickly.,-0.8249561786651611,-0.9392178058624268,agent,agent,0.11426162719726562,agent
64,sells,saleswoman,quickly,This saleswoman sells something quickly.,-0.7477588653564453,-1.031450271606445,agent,agent,0.2836914062499998,agent
65,sells,businessman,quickly,This businessman sells something quickly.,-0.8410677909851074,-0.9520983695983888,agent,agent,0.11103057861328136,agent
66,sells,businesswoman,quickly,This businesswoman sells something quickly.,-0.6296051144599915,-1.220616102218628,agent,agent,0.5910109877586365,agent
67,sells,trader,quickly,This trader sells something quickly.,-0.7099950909614563,-1.0285489559173584,agent,agent,0.3185538649559021,agent
68,sells,peddler,quickly,This peddler sells something quickly.,-0.5434649586677551,-1.4062960147857666,agent,agent,0.8628310561180115,agent
69,sells,telemarketer,quickly,This telemarketer sells something quickly.,-0.6423714756965637,-1.0619957447052002,agent,agent,0.4196242690086365,agent
70,sells,dealer,quickly,This dealer sells something quickly.,-1.0403800010681152,-0.878293514251709,agent,patient,-0.16208648681640625,agent
71,sells,shopkeeper,quickly,This shopkeeper sells something quickly.,-0.7124078273773193,-0.9549157619476318,agent,agent,0.2425079345703125,agent
72,drives,car,nicely,This car drives something nicely.,-1.2874928712844849,-0.9961682558059692,agent,patient,-0.2913246154785156,agent
73,drives,suv,nicely,This SUV drives something nicely.,-1.1521707773208618,-0.6519037485122681,agent,patient,-0.5002670288085938,agent
74,drives,truck,nicely,This truck drives something nicely.,-0.9896551370620728,-0.9288374185562134,agent,patient,-0.060817718505859375,agent
75,drives,convertible,nicely,This convertible drives something nicely.,-0.9416354894638062,-0.9161285161972046,agent,patient,-0.025506973266601562,agent
76,drives,vehicle,nicely,This vehicle drives something nicely.,-1.313731670379639,-1.0336718559265137,agent,patient,-0.2800598144531252,agent
77,drives,tank,nicely,This tank drives something nicely.,-0.8465490937232971,-0.9945822358131408,agent,agent,0.14803314208984364,agent
78,drives,bus,nicely,This bus drives something nicely.,-0.748879075050354,-1.3955579996109009,agent,agent,0.6466789245605469,agent
79,drives,tractor,nicely,This tractor drives something nicely.,-0.7956674098968506,-0.8698480129241943,agent,agent,0.07418060302734375,agent
80,drives,van,nicely,This van drives something nicely.,-1.1792354583740234,-0.7844448685646057,agent,patient,-0.3947905898094177,agent
81,drives,driver,nicely,This driver drives something nicely.,-1.5680737495422363,-0.5423588752746582,agent,patient,-1.0257148742675781,agent
82,drives,person,nicely,This person drives something nicely.,-0.8010706901550293,-1.4166197776794434,agent,agent,0.6155490875244141,agent
83,drives,chauffeur,nicely,This chauffeur drives something nicely.,-0.635039746761322,-1.3450312614440918,agent,agent,0.7099915146827698,agent
84,drives,car,smoothly,This car drives something smoothly.,-1.2584044933319092,-0.9061477184295654,agent,patient,-0.35225677490234375,agent
85,drives,suv,smoothly,This SUV drives something smoothly.,-1.115257978439331,-0.62937992811203,agent,patient,-0.485878050327301,agent
86,drives,truck,smoothly,This truck drives something smoothly.,-0.9541873335838318,-0.8617457747459412,agent,patient,-0.09244155883789062,agent
87,drives,convertible,smoothly,This convertible drives something smoothly.,-0.8827093243598938,-0.9078148007392884,agent,agent,0.025105476379394642,agent
88,drives,vehicle,smoothly,This vehicle drives something smoothly.,-1.2339519262313845,-0.912411093711853,agent,patient,-0.32154083251953147,agent
