id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.00893564,-5.7595267,patient,agent,5.7505910600000005,patient
1,sells,book,easily,This book sells easily.,-0.009853729,-5.2867546,patient,agent,5.2769008710000005,patient
2,sells,novel,easily,This novel sells easily.,-0.0074006915,-5.555316,patient,agent,5.5479153085,patient
3,sells,magazine,easily,This magazine sells easily.,-0.01471054,-4.7277603,patient,agent,4.71304976,patient
4,sells,hat,easily,This hat sells easily.,-0.0071402406,-5.894123,patient,agent,5.8869827593999995,patient
5,sells,lotion,easily,This lotion sells easily.,-0.023213618,-3.9929547,patient,agent,3.9697410819999996,patient
6,sells,album,easily,This album sells easily.,-0.014310251,-4.586012,patient,agent,4.571701749,patient
7,sells,car,easily,This car sells easily.,-0.006312325,-5.773137,patient,agent,5.7668246750000005,patient
8,sells,suv,easily,This SUV sells easily.,-0.00823526,-5.91167,patient,agent,5.90343474,patient
9,sells,product,easily,This product sells easily.,-0.006409683,-6.7439723,patient,agent,6.737562617,patient
10,sells,make,easily,This make sells easily.,-0.003306749,-8.218961,patient,agent,8.215654251,agent
11,sells,item,easily,This item sells easily.,-0.010484712,-5.1658583,patient,agent,5.155373588,patient
12,sells,cd,easily,This CD sells easily.,-0.017535258,-4.322387,patient,agent,4.304851742,patient
13,sells,drug,easily,This drug sells easily.,-0.005063674,-7.369622,patient,agent,7.364558326,patient
14,sells,snack,easily,This snack sells easily.,-0.048909448,-3.3489873,patient,agent,3.3000778520000003,patient
15,sells,salesman,easily,This salesman sells easily.,-0.0037045756,-12.385187,agent,agent,12.3814824244,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.002880926,-12.4137745,agent,agent,12.410893574000001,agent
17,sells,businessman,easily,This businessman sells easily.,-0.0042089773,-10.629077,agent,agent,10.624868022700001,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.0053070495,-10.417075,agent,agent,10.4117679505,agent
19,sells,trader,easily,This trader sells easily.,-0.004754181,-8.860645,agent,agent,8.855890819,agent
20,sells,peddler,easily,This peddler sells easily.,-0.0063879057,-6.2987514,agent,agent,6.2923634943,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.002962704,-9.441192,agent,agent,9.438229296,agent
22,sells,dealer,easily,This dealer sells easily.,-0.004418019,-10.086679,agent,agent,10.082260981000001,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.0031872103,-8.785204,agent,agent,8.7820167897,agent
24,sells,toy,well,This toy sells well.,-0.00679632,-6.291032,patient,agent,6.28423568,patient
25,sells,book,well,This book sells well.,-0.008912844,-5.2719073,patient,agent,5.2629944559999995,patient
26,sells,novel,well,This novel sells well.,-0.008806408,-5.360366,patient,agent,5.351559592,patient
27,sells,magazine,well,This magazine sells well.,-0.0142691955,-4.974614,patient,agent,4.9603448045,patient
28,sells,hat,well,This hat sells well.,-0.007759717,-6.117252,patient,agent,6.109492283,patient
29,sells,lotion,well,This lotion sells well.,-0.023133337,-4.129305,patient,agent,4.106171663,patient
30,sells,album,well,This album sells well.,-0.022262286,-4.0215893,patient,agent,3.9993270139999995,patient
31,sells,car,well,This car sells well.,-0.0056764786,-6.128693,patient,agent,6.1230165214,patient
32,sells,suv,well,This SUV sells well.,-0.0078004445,-5.8038664,patient,agent,5.7960659555000005,patient
33,sells,product,well,This product sells well.,-0.0058785663,-7.1706038,patient,agent,7.1647252337000005,patient
34,sells,make,well,This make sells well.,-0.0030646967,-8.626473,patient,agent,8.623408303300002,agent
35,sells,item,well,This item sells well.,-0.009541428,-5.4947467,patient,agent,5.485205272,patient
36,sells,cd,well,This CD sells well.,-0.019841501,-4.1644373,patient,agent,4.144595799,patient
37,sells,drug,well,This drug sells well.,-0.00592156,-7.269641,patient,agent,7.26371944,patient
38,sells,snack,well,This snack sells well.,-0.065310374,-2.9839275,patient,agent,2.918617126,patient
39,sells,salesman,well,This salesman sells well.,-0.0036092163,-13.390364,agent,agent,13.3867547837,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.00346201,-13.149585,agent,agent,13.14612299,agent
41,sells,businessman,well,This businessman sells well.,-0.004565787,-11.7507925,agent,agent,11.746226712999999,agent
42,sells,businesswoman,well,This businesswoman sells well.,-0.0050514545,-11.446392,agent,agent,11.4413405455,agent
43,sells,trader,well,This trader sells well.,-0.004856476,-10.493576,agent,agent,10.488719523999999,agent
44,sells,peddler,well,This peddler sells well.,-0.0051813414,-7.585157,agent,agent,7.5799756585999996,agent
45,sells,telemarketer,well,This telemarketer sells well.,-0.0038598967,-10.565573,agent,agent,10.5617131033,agent
46,sells,dealer,well,This dealer sells well.,-0.0053350334,-11.1884775,agent,agent,11.1831424666,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.0031403932,-10.983454,agent,agent,10.9803136068,agent
48,sells,toy,quickly,This toy sells quickly.,-0.0069824276,-6.7240624,patient,agent,6.7170799724000005,patient
49,sells,book,quickly,This book sells quickly.,-0.0056164754,-6.2934437,patient,agent,6.2878272246,patient
50,sells,novel,quickly,This novel sells quickly.,-0.0046255467,-6.922916,patient,agent,6.9182904533,patient
51,sells,magazine,quickly,This magazine sells quickly.,-0.00917803,-5.858974,patient,agent,5.84979597,patient
52,sells,hat,quickly,This hat sells quickly.,-0.006784737,-6.740355,patient,agent,6.733570263,patient
53,sells,lotion,quickly,This lotion sells quickly.,-0.011335203,-5.2381606,patient,agent,5.226825397,patient
54,sells,album,quickly,This album sells quickly.,-0.0068582543,-5.5842023,patient,agent,5.5773440457,patient
55,sells,car,quickly,This car sells quickly.,-0.0056863083,-6.1995893,patient,agent,6.193902991700001,patient
56,sells,suv,quickly,This SUV sells quickly.,-0.0064705727,-6.49265,patient,agent,6.486179427300001,patient
57,sells,product,quickly,This product sells quickly.,-0.005356846,-7.818737,patient,agent,7.813380154,agent
58,sells,make,quickly,This make sells quickly.,-0.004502139,-8.600733,patient,agent,8.596230861,agent
59,sells,item,quickly,This item sells quickly.,-0.008526412,-5.7759366,patient,agent,5.7674101879999995,patient
60,sells,cd,quickly,This CD sells quickly.,-0.009356762,-5.365846,patient,agent,5.356489238,patient
61,sells,drug,quickly,This drug sells quickly.,-0.005340367,-7.3997965,patient,agent,7.394456133,patient
62,sells,snack,quickly,This snack sells quickly.,-0.022361267,-4.4676814,patient,agent,4.445320133,patient
63,sells,salesman,quickly,This salesman sells quickly.,-0.004013208,-13.856236,agent,agent,13.852222792000001,agent
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-0.0034481322,-13.708368,agent,agent,13.7049198678,agent
65,sells,businessman,quickly,This businessman sells quickly.,-0.0044210707,-12.267398,agent,agent,12.2629769293,agent
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-0.004479267,-12.360168,agent,agent,12.355688733,agent
67,sells,trader,quickly,This trader sells quickly.,-0.0052081225,-10.664966,agent,agent,10.6597578775,agent
68,sells,peddler,quickly,This peddler sells quickly.,-0.003228172,-9.114866,agent,agent,9.111637828,agent
69,sells,telemarketer,quickly,This telemarketer sells quickly.,-0.0029165552,-12.034018,agent,agent,12.031101444799999,agent
70,sells,dealer,quickly,This dealer sells quickly.,-0.0048104194,-11.642235,agent,agent,11.6374245806,agent
71,sells,shopkeeper,quickly,This shopkeeper sells quickly.,-0.0029142238,-11.401277,agent,agent,11.3983627762,agent
72,drives,car,nicely,This car drives nicely.,-0.0039619193,-5.9990582,patient,agent,5.9950962807,patient
73,drives,suv,nicely,This SUV drives nicely.,-0.0051986566,-6.077321,patient,agent,6.0721223434,patient
74,drives,truck,nicely,This truck drives nicely.,-0.0036098144,-7.186364,patient,agent,7.1827541856,patient
75,drives,convertible,nicely,This convertible drives nicely.,-0.008528216,-5.141636,patient,agent,5.133107784,patient
76,drives,vehicle,nicely,This vehicle drives nicely.,-0.004297509,-6.044412,patient,agent,6.040114491000001,patient
77,drives,tank,nicely,This tank drives nicely.,-0.0038530156,-6.901216,patient,agent,6.8973629844,patient
78,drives,bus,nicely,This bus drives nicely.,-0.0050980616,-7.2081714,patient,agent,7.2030733384,patient
79,drives,tractor,nicely,This tractor drives nicely.,-0.004641237,-6.3858223,patient,agent,6.381181063,patient
80,drives,van,nicely,This van drives nicely.,-0.0037359246,-6.4437757,patient,agent,6.4400397754,patient
