id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.403076171875,-1.1376953125,patient,agent,0.734619140625,patient
1,sells,book,easily,This book sells easily.,-0.442626953125,-1.0673828125,patient,agent,0.624755859375,patient
2,sells,novel,easily,This novel sells easily.,-0.294677734375,-1.435546875,patient,agent,1.140869140625,agent
3,sells,magazine,easily,This magazine sells easily.,-0.3759765625,-1.2509765625,patient,agent,0.875,patient
4,sells,hat,easily,This hat sells easily.,-0.52294921875,-0.92919921875,patient,agent,0.40625,patient
5,sells,lotion,easily,This lotion sells easily.,-0.37451171875,-1.203125,patient,agent,0.82861328125,patient
6,sells,album,easily,This album sells easily.,-0.6044921875,-0.8232421875,patient,agent,0.21875,patient
7,sells,car,easily,This car sells easily.,-0.328369140625,-1.34375,patient,agent,1.015380859375,patient
8,sells,suv,easily,This SUV sells easily.,-0.360595703125,-1.2666015625,patient,agent,0.906005859375,patient
9,sells,product,easily,This product sells easily.,-0.28857421875,-1.4912109375,patient,agent,1.20263671875,agent
10,sells,make,easily,This make sells easily.,-0.47998046875,-1.0107421875,patient,agent,0.53076171875,patient
11,sells,item,easily,This item sells easily.,-0.27783203125,-1.4970703125,patient,agent,1.21923828125,agent
12,sells,cd,easily,This CD sells easily.,-0.67041015625,-0.76416015625,patient,agent,0.09375,patient
13,sells,drug,easily,This drug sells easily.,-0.338623046875,-1.2919921875,patient,agent,0.953369140625,patient
14,sells,snack,easily,This snack sells easily.,-0.49462890625,-0.97900390625,patient,agent,0.484375,patient
15,sells,salesman,easily,This salesman sells easily.,-0.269775390625,-1.50390625,agent,agent,1.234130859375,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.28466796875,-1.4560546875,agent,agent,1.17138671875,agent
17,sells,businessman,easily,This businessman sells easily.,-0.4970703125,-0.9814453125,agent,agent,0.484375,patient
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.487548828125,-1.0029296875,agent,agent,0.515380859375,patient
19,sells,trader,easily,This trader sells easily.,-0.31494140625,-1.361328125,agent,agent,1.04638671875,agent
20,sells,peddler,easily,This peddler sells easily.,-0.5517578125,-0.8955078125,agent,agent,0.34375,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.326171875,-1.326171875,agent,agent,1.0,patient
22,sells,dealer,easily,This dealer sells easily.,-0.368408203125,-1.2275390625,agent,agent,0.859130859375,patient
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.52392578125,-0.94580078125,agent,agent,0.421875,patient
24,sells,toy,well,This toy sells well.,-0.398681640625,-1.1484375,patient,agent,0.749755859375,patient
25,sells,book,well,This book sells well.,-0.417236328125,-1.1201171875,patient,agent,0.702880859375,patient
26,sells,novel,well,This novel sells well.,-0.275390625,-1.509765625,patient,agent,1.234375,agent
27,sells,magazine,well,This magazine sells well.,-0.385986328125,-1.2607421875,patient,agent,0.874755859375,patient
28,sells,hat,well,This hat sells well.,-0.517578125,-0.939453125,patient,agent,0.421875,patient
29,sells,lotion,well,This lotion sells well.,-0.384765625,-1.181640625,patient,agent,0.796875,patient
30,sells,album,well,This album sells well.,-0.61279296875,-0.81591796875,patient,agent,0.203125,patient
31,sells,car,well,This car sells well.,-0.31494140625,-1.392578125,patient,agent,1.07763671875,agent
32,sells,suv,well,This SUV sells well.,-0.35986328125,-1.28125,patient,agent,0.92138671875,patient
33,sells,product,well,This product sells well.,-0.27734375,-1.54296875,patient,agent,1.265625,agent
34,sells,make,well,This make sells well.,-0.4755859375,-1.0224609375,patient,agent,0.546875,patient
35,sells,item,well,This item sells well.,-0.26708984375,-1.5478515625,patient,agent,1.28076171875,agent
36,sells,cd,well,This CD sells well.,-0.66552734375,-0.77490234375,patient,agent,0.109375,patient
37,sells,drug,well,This drug sells well.,-0.33056640625,-1.3154296875,patient,agent,0.98486328125,patient
38,sells,snack,well,This snack sells well.,-0.4833984375,-0.9990234375,patient,agent,0.515625,patient
39,sells,salesman,well,This salesman sells well.,-0.26416015625,-1.5302734375,agent,agent,1.26611328125,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.285888671875,-1.4580078125,agent,agent,1.172119140625,agent
41,sells,businessman,well,This businessman sells well.,-0.5166015625,-0.9541015625,agent,agent,0.4375,patient
42,sells,businesswoman,well,This businesswoman sells well.,-0.5068359375,-0.9755859375,agent,agent,0.46875,patient
43,sells,trader,well,This trader sells well.,-0.304931640625,-1.3984375,agent,agent,1.093505859375,agent
44,sells,peddler,well,This peddler sells well.,-0.54638671875,-0.90576171875,agent,agent,0.359375,patient
45,sells,telemarketer,well,This telemarketer sells well.,-0.3271484375,-1.3271484375,agent,agent,1.0,patient
46,sells,dealer,well,This dealer sells well.,-0.34423828125,-1.2978515625,agent,agent,0.95361328125,patient
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.52734375,-0.94921875,agent,agent,0.421875,patient
