id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-4.6286798,-0.022757411,agent,patient,-4.605922389,agent
1,sells,book,easily,This book sells something easily.,-3.6439598,-0.06378538,agent,patient,-3.58017442,agent
2,sells,novel,easily,This novel sells something easily.,-3.10425,-0.097499035,agent,patient,-3.006750965,agent
3,sells,magazine,easily,This magazine sells something easily.,-3.8042436,-0.047449574,agent,patient,-3.756794026,agent
4,sells,hat,easily,This hat sells something easily.,-6.136981,-0.016337058,agent,patient,-6.120643941999999,agent
5,sells,lotion,easily,This lotion sells something easily.,-4.9365997,-0.027508842,agent,patient,-4.909090858000001,agent
6,sells,album,easily,This album sells something easily.,-5.14787,-0.029384993,agent,patient,-5.118485007,agent
7,sells,car,easily,This car sells something easily.,-4.0034075,-0.06789802,agent,patient,-3.93550948,agent
8,sells,suv,easily,This SUV sells something easily.,-3.7200701,-0.09031735,agent,patient,-3.62975275,agent
9,sells,product,easily,This product sells something easily.,-2.4249072,-0.23435362,agent,patient,-2.19055358,agent
10,sells,make,easily,This make sells something easily.,-3.0789454,-0.11664067,agent,patient,-2.9623047299999996,agent
11,sells,item,easily,This item sells something easily.,-3.3017364,-0.08962202,agent,patient,-3.2121143799999996,agent
12,sells,cd,easily,This CD sells something easily.,-5.2045875,-0.0337837,agent,patient,-5.1708038,agent
13,sells,drug,easily,This drug sells something easily.,-3.7929695,-0.08186046,agent,patient,-3.7111090399999997,agent
14,sells,snack,easily,This snack sells something easily.,-4.922199,-0.025028659,agent,patient,-4.897170341,agent
15,sells,salesman,easily,This salesman sells something easily.,-1.8539437,-1.6798466,agent,patient,-0.1740971,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-2.680683,-0.17255193,agent,patient,-2.50813107,agent
17,sells,businessman,easily,This businessman sells something easily.,-2.1870778,-1.7078135,agent,patient,-0.47926429999999987,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-3.3652477,-0.23241735,agent,patient,-3.13283035,agent
19,sells,trader,easily,This trader sells something easily.,-2.6075552,-0.32015207,agent,patient,-2.2874031300000004,agent
20,sells,peddler,easily,This peddler sells something easily.,-3.5594187,-0.32427618,agent,patient,-3.23514252,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-2.5270324,-0.20111056,agent,patient,-2.32592184,agent
22,sells,dealer,easily,This dealer sells something easily.,-2.6899579,-0.21142307,agent,patient,-2.47853483,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-3.4374719,-0.26410553,agent,patient,-3.1733663699999997,agent
24,sells,toy,well,This toy sells something well.,-4.695739,-0.023326112,agent,patient,-4.672412887999999,agent
25,sells,book,well,This book sells something well.,-3.3925579,-0.08341608,agent,patient,-3.30914182,agent
26,sells,novel,well,This novel sells something well.,-2.9923034,-0.12142841,agent,patient,-2.87087499,agent
27,sells,magazine,well,This magazine sells something well.,-3.8281176,-0.050339982,agent,patient,-3.777777618,agent
28,sells,hat,well,This hat sells something well.,-6.2305937,-0.017490854,agent,patient,-6.213102846,agent
29,sells,lotion,well,This lotion sells something well.,-5.0219254,-0.028696833,agent,patient,-4.993228567,agent
30,sells,album,well,This album sells something well.,-4.9597044,-0.036697343,agent,patient,-4.9230070569999995,agent
31,sells,car,well,This car sells something well.,-4.103177,-0.07345603,agent,patient,-4.02972097,agent
32,sells,suv,well,This SUV sells something well.,-3.802316,-0.08126954,agent,patient,-3.7210464599999997,agent
33,sells,product,well,This product sells something well.,-2.4251072,-0.25984976,agent,patient,-2.16525744,agent
34,sells,make,well,This make sells something well.,-2.9075966,-0.14075267,agent,patient,-2.7668439300000003,agent
35,sells,item,well,This item sells something well.,-3.384053,-0.09056444,agent,patient,-3.29348856,agent
36,sells,cd,well,This CD sells something well.,-5.1004596,-0.039353807,agent,patient,-5.061105792999999,agent
37,sells,drug,well,This drug sells something well.,-3.7377474,-0.09004156,agent,patient,-3.64770584,agent
38,sells,snack,well,This snack sells something well.,-4.881813,-0.02770804,agent,patient,-4.85410496,agent
