model,corr_human,corr_subj
bloom-560m,0.5664567433021657,0.5165503972658103
bloom-1b1,0.3838296938601362,0.35932824131884333
bloom-1b7,0.3084203495285733,0.2549678713783072
bloom-3b,0.4761633487912697,0.4254180733146781
bloom-7b1,-0.11828902330132565,-0.2490797154564906
gpt2-small,0.647724926242794,0.5824629062553531
gpt2-medium,0.4203862849721788,0.46415564793261443
gpt2-large,0.5014878222548069,0.5231732633352065
gpt2-xl,0.48597794810857003,0.4216386970567922
gpt3-ada,0.4073373537176238,0.4724533925235538
gpt3-babbage,0.5473413831900659,0.45286518841812906
gpt3-curie,0.1149922117101782,0.09489605292927294
gpt3-davinci,0.8346536094299003,0.7000923754524381
text-ada-001,0.5888732583702616,0.5727614865005779
text-babbage-001,0.394305535480534,0.3899116649868992
text-curie-001,0.41835670572025757,0.44209007126828015
text-davinci-001,0.5787022781876087,0.5111856402216532
text-davinci-003,0.933548006076043,0.7203658107312954
