id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.4619140625,-1.1181640625,patient,agent,0.65625,patient
1,sells,book,easily,Something sells this book easily.,-0.5634765625,-0.9853515625,patient,agent,0.421875,patient
2,sells,novel,easily,Something sells this novel easily.,-0.467529296875,-1.1240234375,patient,agent,0.656494140625,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.53955078125,-1.0078125,patient,agent,0.46826171875,patient
4,sells,hat,easily,Something sells this hat easily.,-0.440185546875,-1.1748046875,patient,agent,0.734619140625,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.490234375,-1.052734375,patient,agent,0.5625,patient
6,sells,album,easily,Something sells this album easily.,-0.53173828125,-1.0166015625,patient,agent,0.48486328125,patient
7,sells,car,easily,Something sells this car easily.,-0.53369140625,-1.0029296875,patient,agent,0.46923828125,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.414306640625,-1.2265625,patient,agent,0.812255859375,patient
9,sells,product,easily,Something sells this product easily.,-0.53466796875,-1.00390625,patient,agent,0.46923828125,patient
10,sells,make,easily,Something sells this make easily.,-0.442138671875,-1.1767578125,patient,agent,0.734619140625,patient
11,sells,item,easily,Something sells this item easily.,-0.5341796875,-1.0185546875,patient,agent,0.484375,patient
12,sells,cd,easily,Something sells this CD easily.,-0.5048828125,-1.0673828125,patient,agent,0.5625,patient
13,sells,drug,easily,Something sells this drug easily.,-0.477294921875,-1.0712890625,patient,agent,0.593994140625,patient
14,sells,snack,easily,Something sells this snack easily.,-0.5078125,-1.0390625,patient,agent,0.53125,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.41015625,-1.19140625,patient,agent,0.78125,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.4365234375,-1.1240234375,patient,agent,0.6875,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.3984375,-1.2109375,patient,agent,0.8125,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.474609375,-1.052734375,patient,agent,0.578125,patient
19,sells,trader,easily,Something sells this trader easily.,-0.386474609375,-1.23046875,patient,agent,0.843994140625,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.439208984375,-1.126953125,patient,agent,0.687744140625,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.49462890625,-1.0419921875,patient,agent,0.54736328125,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.426025390625,-1.14453125,patient,agent,0.718505859375,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.50244140625,-1.0185546875,patient,agent,0.51611328125,patient
24,sells,toy,well,Something sells this toy well.,-0.578125,-0.921875,patient,agent,0.34375,patient
25,sells,book,well,Something sells this book well.,-0.65478515625,-0.85791015625,patient,agent,0.203125,patient
26,sells,novel,well,Something sells this novel well.,-0.5634765625,-0.9697265625,patient,agent,0.40625,patient
27,sells,magazine,well,Something sells this magazine well.,-0.6572265625,-0.8447265625,patient,agent,0.1875,patient
28,sells,hat,well,Something sells this hat well.,-0.55029296875,-0.97216796875,patient,agent,0.421875,patient
29,sells,lotion,well,Something sells this lotion well.,-0.61572265625,-0.86572265625,patient,agent,0.25,patient
30,sells,album,well,Something sells this album well.,-0.662109375,-0.833984375,patient,agent,0.171875,patient
31,sells,car,well,Something sells this car well.,-0.64404296875,-0.84716796875,patient,agent,0.203125,patient
32,sells,suv,well,Something sells this SUV well.,-0.53369140625,-1.001953125,patient,agent,0.46826171875,patient
33,sells,product,well,Something sells this product well.,-0.6328125,-0.8671875,patient,agent,0.234375,patient
34,sells,make,well,Something sells this make well.,-0.65673828125,-0.84423828125,patient,agent,0.1875,patient
35,sells,item,well,Something sells this item well.,-0.65771484375,-0.84521484375,patient,agent,0.1875,patient
36,sells,cd,well,Something sells this CD well.,-0.6572265625,-0.8447265625,patient,agent,0.1875,patient
37,sells,drug,well,Something sells this drug well.,-0.60791015625,-0.87353515625,patient,agent,0.265625,patient
38,sells,snack,well,Something sells this snack well.,-0.62890625,-0.86328125,patient,agent,0.234375,patient
39,sells,salesman,well,Something sells this salesman well.,-0.48388671875,-1.046875,patient,agent,0.56298828125,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.50439453125,-1.00390625,patient,agent,0.49951171875,patient
41,sells,businessman,well,Something sells this businessman well.,-0.47021484375,-1.064453125,patient,agent,0.59423828125,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-0.55908203125,-0.91845703125,patient,agent,0.359375,patient
43,sells,trader,well,Something sells this trader well.,-0.4794921875,-1.0419921875,patient,agent,0.5625,patient
44,sells,peddler,well,Something sells this peddler well.,-0.5361328125,-0.9580078125,patient,agent,0.421875,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.6201171875,-0.8544921875,patient,agent,0.234375,patient
46,sells,dealer,well,Something sells this dealer well.,-0.52587890625,-0.96337890625,patient,agent,0.4375,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-0.595703125,-0.876953125,patient,agent,0.28125,patient
48,sells,toy,quickly,Something sells this toy quickly.,-0.54443359375,-0.96630859375,patient,agent,0.421875,patient
49,sells,book,quickly,Something sells this book quickly.,-0.63671875,-0.87109375,patient,agent,0.234375,patient
50,sells,novel,quickly,Something sells this novel quickly.,-0.5341796875,-1.0029296875,patient,agent,0.46875,patient
51,sells,magazine,quickly,Something sells this magazine quickly.,-0.58447265625,-0.92822265625,patient,agent,0.34375,patient
52,sells,hat,quickly,Something sells this hat quickly.,-0.51123046875,-1.02734375,patient,agent,0.51611328125,patient
53,sells,lotion,quickly,Something sells this lotion quickly.,-0.5546875,-0.9453125,patient,agent,0.390625,patient
54,sells,album,quickly,Something sells this album quickly.,-0.60302734375,-0.89990234375,patient,agent,0.296875,patient
55,sells,car,quickly,Something sells this car quickly.,-0.6142578125,-0.8798828125,patient,agent,0.265625,patient
56,sells,suv,quickly,Something sells this SUV quickly.,-0.493896484375,-1.056640625,patient,agent,0.562744140625,patient
57,sells,product,quickly,Something sells this product quickly.,-0.58935546875,-0.91748046875,patient,agent,0.328125,patient
58,sells,make,quickly,Something sells this make quickly.,-0.54931640625,-0.98681640625,patient,agent,0.4375,patient
59,sells,item,quickly,Something sells this item quickly.,-0.607421875,-0.904296875,patient,agent,0.296875,patient
60,sells,cd,quickly,Something sells this CD quickly.,-0.60595703125,-0.90283203125,patient,agent,0.296875,patient
61,sells,drug,quickly,Something sells this drug quickly.,-0.55908203125,-0.93408203125,patient,agent,0.375,patient
62,sells,snack,quickly,Something sells this snack quickly.,-0.57177734375,-0.93115234375,patient,agent,0.359375,patient
63,sells,salesman,quickly,Something sells this salesman quickly.,-0.43798828125,-1.1259765625,patient,agent,0.68798828125,patient
64,sells,saleswoman,quickly,Something sells this saleswoman quickly.,-0.450927734375,-1.091796875,patient,agent,0.640869140625,patient
65,sells,businessman,quickly,Something sells this businessman quickly.,-0.447021484375,-1.103515625,patient,agent,0.656494140625,patient
66,sells,businesswoman,quickly,Something sells this businesswoman quickly.,-0.50830078125,-0.99267578125,patient,agent,0.484375,patient
67,sells,trader,quickly,Something sells this trader quickly.,-0.444580078125,-1.1005859375,patient,agent,0.656005859375,patient
68,sells,peddler,quickly,Something sells this peddler quickly.,-0.486572265625,-1.033203125,patient,agent,0.546630859375,patient
69,sells,telemarketer,quickly,Something sells this telemarketer quickly.,-0.55859375,-0.93359375,patient,agent,0.375,patient
70,sells,dealer,quickly,Something sells this dealer quickly.,-0.483154296875,-1.0302734375,patient,agent,0.547119140625,patient
71,sells,shopkeeper,quickly,Something sells this shopkeeper quickly.,-0.5361328125,-0.9580078125,patient,agent,0.421875,patient
72,drives,car,nicely,Something drives this car nicely.,-0.65576171875,-0.89013671875,patient,agent,0.234375,patient
73,drives,suv,nicely,Something drives this SUV nicely.,-0.5380859375,-1.0693359375,patient,agent,0.53125,patient
74,drives,truck,nicely,Something drives this truck nicely.,-0.65283203125,-0.88720703125,patient,agent,0.234375,patient
75,drives,convertible,nicely,Something drives this convertible nicely.,-0.669921875,-0.841796875,patient,agent,0.171875,patient
76,drives,vehicle,nicely,Something drives this vehicle nicely.,-0.6455078125,-0.8798828125,patient,agent,0.234375,patient
77,drives,tank,nicely,Something drives this tank nicely.,-0.72705078125,-0.78955078125,patient,agent,0.0625,patient
78,drives,bus,nicely,Something drives this bus nicely.,-0.6708984375,-0.8740234375,patient,agent,0.203125,patient
79,drives,tractor,nicely,Something drives this tractor nicely.,-0.509765625,-1.056640625,patient,agent,0.546875,patient
80,drives,van,nicely,Something drives this van nicely.,-0.689453125,-0.845703125,patient,agent,0.15625,patient
81,drives,driver,nicely,Something drives this driver nicely.,-0.5146484375,-1.0302734375,patient,agent,0.515625,patient
82,drives,person,nicely,Something drives this person nicely.,-0.64990234375,-0.88427734375,patient,agent,0.234375,patient
83,drives,chauffeur,nicely,Something drives this chauffeur nicely.,-0.54296875,-0.98046875,patient,agent,0.4375,patient
84,drives,car,smoothly,Something drives this car smoothly.,-0.6279296875,-0.9091796875,patient,agent,0.28125,patient
85,drives,suv,smoothly,Something drives this SUV smoothly.,-0.5234375,-1.0703125,patient,agent,0.546875,patient
86,drives,truck,smoothly,Something drives this truck smoothly.,-0.62451171875,-0.90576171875,patient,agent,0.28125,patient
87,drives,convertible,smoothly,Something drives this convertible smoothly.,-0.64306640625,-0.86181640625,patient,agent,0.21875,patient
88,drives,vehicle,smoothly,Something drives this vehicle smoothly.,-0.61181640625,-0.90869140625,patient,agent,0.296875,patient
