id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.58447265625,-0.85009765625,patient,agent,0.265625,patient
1,sells,book,easily,Something sells this book easily.,-0.76220703125,-0.66845703125,patient,patient,-0.09375,patient
2,sells,novel,easily,Something sells this novel easily.,-0.5458984375,-0.9052734375,patient,agent,0.359375,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.61572265625,-0.81884765625,patient,agent,0.203125,patient
4,sells,hat,easily,Something sells this hat easily.,-0.833984375,-0.599609375,patient,patient,-0.234375,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.65625,-0.765625,patient,agent,0.109375,patient
6,sells,album,easily,Something sells this album easily.,-1.0029296875,-0.48779296875,patient,patient,-0.51513671875,patient
7,sells,car,easily,Something sells this car easily.,-0.62939453125,-0.80126953125,patient,agent,0.171875,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.67919921875,-0.75732421875,patient,agent,0.078125,patient
9,sells,product,easily,Something sells this product easily.,-0.69677734375,-0.77490234375,patient,agent,0.078125,patient
10,sells,make,easily,Something sells this make easily.,-0.92431640625,-0.53369140625,patient,patient,-0.390625,patient
11,sells,item,easily,Something sells this item easily.,-0.900390625,-0.603515625,patient,patient,-0.296875,patient
12,sells,cd,easily,Something sells this CD easily.,-0.99267578125,-0.50830078125,patient,patient,-0.484375,patient
13,sells,drug,easily,Something sells this drug easily.,-0.923828125,-0.533203125,patient,patient,-0.390625,patient
14,sells,snack,easily,Something sells this snack easily.,-0.556640625,-0.884765625,patient,agent,0.328125,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.62255859375,-0.79443359375,patient,agent,0.171875,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.830078125,-0.595703125,patient,patient,-0.234375,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.798828125,-0.626953125,patient,patient,-0.171875,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.93994140625,-0.51806640625,patient,patient,-0.421875,patient
19,sells,trader,easily,Something sells this trader easily.,-0.814453125,-0.611328125,patient,patient,-0.203125,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.89404296875,-0.55029296875,patient,patient,-0.34375,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.68017578125,-0.74267578125,patient,agent,0.0625,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.8486328125,-0.5830078125,patient,patient,-0.265625,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.92236328125,-0.53173828125,patient,patient,-0.390625,patient
24,sells,toy,well,Something sells this toy well.,-0.7646484375,-0.6552734375,patient,patient,-0.109375,patient
25,sells,book,well,Something sells this book well.,-0.90869140625,-0.54931640625,patient,patient,-0.359375,patient
26,sells,novel,well,Something sells this novel well.,-0.685546875,-0.732421875,patient,agent,0.046875,patient
27,sells,magazine,well,Something sells this magazine well.,-0.80078125,-0.62890625,patient,patient,-0.171875,patient
28,sells,hat,well,Something sells this hat well.,-1.0595703125,-0.4501953125,patient,patient,-0.609375,patient
29,sells,lotion,well,Something sells this lotion well.,-0.7890625,-0.6328125,patient,patient,-0.15625,patient
30,sells,album,well,Something sells this album well.,-1.208984375,-0.38037109375,patient,patient,-0.82861328125,patient
31,sells,car,well,Something sells this car well.,-0.80859375,-0.62109375,patient,patient,-0.1875,patient
32,sells,suv,well,Something sells this SUV well.,-0.8232421875,-0.6201171875,patient,patient,-0.203125,patient
33,sells,product,well,Something sells this product well.,-0.87548828125,-0.60986328125,patient,patient,-0.265625,patient
34,sells,make,well,Something sells this make well.,-1.08984375,-0.433349609375,patient,patient,-0.656494140625,patient
35,sells,item,well,Something sells this item well.,-1.044921875,-0.498291015625,patient,patient,-0.546630859375,patient
36,sells,cd,well,Something sells this CD well.,-1.072265625,-0.462646484375,patient,patient,-0.609619140625,patient
37,sells,drug,well,Something sells this drug well.,-1.048828125,-0.454833984375,patient,patient,-0.593994140625,patient
38,sells,snack,well,Something sells this snack well.,-0.7470703125,-0.6689453125,patient,patient,-0.078125,patient
39,sells,salesman,well,Something sells this salesman well.,-0.8818359375,-0.5537109375,patient,patient,-0.328125,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-1.1181640625,-0.41455078125,patient,patient,-0.70361328125,patient
41,sells,businessman,well,Something sells this businessman well.,-1.0400390625,-0.4619140625,patient,patient,-0.578125,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-1.1396484375,-0.40478515625,patient,patient,-0.73486328125,patient
43,sells,trader,well,Something sells this trader well.,-1.0673828125,-0.4423828125,patient,patient,-0.625,patient
44,sells,peddler,well,Something sells this peddler well.,-1.2587890625,-0.35302734375,patient,patient,-0.90576171875,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.85205078125,-0.58642578125,patient,patient,-0.265625,patient
46,sells,dealer,well,Something sells this dealer well.,-1.0869140625,-0.4306640625,patient,patient,-0.65625,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-1.1728515625,-0.3916015625,patient,patient,-0.78125,patient
48,sells,toy,quickly,Something sells this toy quickly.,-0.76513671875,-0.65576171875,patient,patient,-0.109375,patient
49,sells,book,quickly,Something sells this book quickly.,-0.98486328125,-0.50048828125,patient,patient,-0.484375,patient
50,sells,novel,quickly,Something sells this novel quickly.,-0.72509765625,-0.69384765625,patient,patient,-0.03125,patient
51,sells,magazine,quickly,Something sells this magazine quickly.,-0.78466796875,-0.64404296875,patient,patient,-0.140625,patient
