verb,overall_acc,avg_LL_delta
bakes,0.9761904761904762,-0.852492386386508
carves,1.0,-0.7362435609102249
cleans,0.8888888888888888,-0.48347705768214333
cooks,1.0,-0.7336781760056813
cuts,1.0,-0.7041919760406017
drives,0.9444444444444444,-0.9039505811201202
embroiders,1.0,-0.6119235594357763
flies,0.875,-0.5292121507227421
knits,0.7142857142857143,-0.23488256761005946
packs,0.95,-0.7090203285217285
paints,0.8958333333333334,-0.5831402118007342
performs,0.5384615384615384,0.1487729090910692
photographs,0.7222222222222222,-0.3867290284898546
plays,1.0,-0.7709099799394608
reads,0.7647058823529411,-0.2547350517090629
sculpts,1.0,-0.685592265923818
sells,0.7916666666666666,-0.34121796612938243
sews,1.0,-0.43391742259263993
shaves,1.0,-0.6863077600797017
stitches,0.7083333333333334,-0.11532640395065147
turns,1.0,-0.4849244979294864
washes,0.8461538461538461,-0.322129026055336
writes,0.4117647058823529,0.07754852403612696
