verb,overall_acc,avg_LL_delta
bakes,1.0,-3.6463080145952373
carves,1.0,-3.5423966978958332
cleans,1.0,-2.6701945274074066
cooks,1.0,-3.079470976755556
cuts,1.0,-3.3670712642999994
drives,1.0,-3.22392247811111
embroiders,1.0,-3.5521182545000003
flies,1.0,-2.914988762208333
knits,1.0,-4.029618169657143
packs,1.0,-3.2428875663999994
paints,1.0,-3.4322575700208335
performs,1.0,-3.2250338016923084
photographs,1.0,-4.232165999833333
plays,1.0,-5.1003481898076934
reads,1.0,-3.7694718919117642
sculpts,1.0,-3.4296825855000006
sells,0.9444444444444444,-2.3892157539305554
sews,1.0,-3.45892299305
shaves,1.0,-3.323022004266667
stitches,1.0,-3.841808573187501
turns,1.0,-2.7918572250454545
washes,1.0,-2.477540193769231
writes,1.0,-3.473557840441176
