noun,avg_LL_delta
abstract,-0.6879472732543945
actor,0.1960334777832033
aircraft,-1.2371234595775604
album,-0.9789294600486756
animal,-0.9430389404296876
announcer,0.0183248519897458
artisan,0.3848419189453125
artist,-0.3466777801513669
author,0.9092779755592346
aviator,-0.6342811584472658
backpack,-0.910987913608551
backpacker,-0.4043655395507814
bag,-1.226582556962967
baker,-0.6088666319847107
barber,-0.9317770600318908
basket,-0.7500333786010742
beard,-0.6883049011230467
bedding,-1.0565318763256073
bike,-1.0114755928516388
blanket,-1.025874137878418
blogger,0.4336776733398437
board,-0.7719563841819763
book,-0.2588872909545899
bottle,-1.3915119767189026
bowl,-0.9444923400878904
bread,-0.8384295105934143
broadcaster,-0.1229743361473083
building,-1.2737341523170471
bus,-0.44751638174057
busboy,-0.3972520232200622
businessman,0.2499914169311522
businesswoman,0.0179224014282227
butcher,-1.0755881667137146
cake,-0.991102248430252
cameraman,-0.2807569503784179
camper,-0.0819873809814453
canvas,-1.2863091826438904
captain,0.2831935286521909
car,-1.126130998134613
cardboard,-1.3450508415699003
carpet,-0.7970466017723081
carver,-0.8248881995677948
caterer,-0.5888605117797852
cd,-1.2305192947387695
cellist,-0.7048320770263672
cello,-1.3135738670825958
chauffeur,-0.2900256514549255
chef,-0.5419425964355469
choreography,0.1048517227172851
clarinet,-1.0828237235546112
clarinetist,-0.8565863966941833
clay,-0.9302492141723632
cleaner,-0.3707590699195862
clerk,0.5257158279418943
cloth,-0.6859627366065977
coat,-0.5205564498901367
code,-0.2285537719726562
comedian,-0.1780614852905272
concerto,-0.9811821281909944
confectioner,-0.8188571929931641
container,-1.4718541502952576
convertible,-0.7710866928100584
cook,-0.2757654190063476
cotton,-0.6851244568824768
countertop,-0.7556447982788084
crate,-1.6976985931396482
cushion,-0.9201145470142365
cut,-1.0030450522899628
dancer,-0.0257987976074219
dealer,-0.0705490112304687
dish,-0.9436111450195312
doctor,-0.4118337035179138
dough,-0.5532894730567932
dressmaker,-0.583440840244293
driver,-0.5263729095458984
drug,-0.7644538879394531
drummer,-1.026600807905197
duffle,-0.9903049170970916
essay,0.3597583770751953
essayist,0.5270729064941406
fabric,-0.4181299209594726
fillet,-1.1533021330833435
fish,-1.2326096892356873
floor,-0.7731609344482422
flute,-0.7911739945411682
flutist,-0.7600088119506836
food,-0.9704017937183378
gem,-0.757412910461426
glass,-1.4128293991088867
hairdresser,-0.6828298568725586
handle,-0.979156494140625
hat,-0.7853984236717224
herb,-0.2741661071777344
hiker,-0.7131872177124023
housekeeper,-0.4518328309059141
