id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,Something sells this toy easily.,-0.010024519,-6.4872804,patient,agent,6.4772558810000005
1,sells,book,easily,Something sells this book easily.,-0.05272716,-3.198878,patient,agent,3.1461508400000002
2,sells,novel,easily,Something sells this novel easily.,-0.02209756,-4.292694,patient,agent,4.27059644
3,sells,magazine,easily,Something sells this magazine easily.,-0.03793495,-3.6318169,patient,agent,3.59388195
4,sells,hat,easily,Something sells this hat easily.,-0.0096985,-5.9409204,patient,agent,5.931221900000001
5,sells,lotion,easily,Something sells this lotion easily.,-0.014155355,-5.202821,patient,agent,5.188665645
6,sells,album,easily,Something sells this album easily.,-0.04154022,-3.3881795,patient,agent,3.34663928
7,sells,car,easily,Something sells this car easily.,-0.027496895,-3.536923,patient,agent,3.5094261049999997
8,sells,suv,easily,Something sells this SUV easily.,-0.025662618,-4.3392944,patient,agent,4.313631782
9,sells,product,easily,Something sells this product easily.,-0.021205612,-6.3505025,patient,agent,6.329296888
10,sells,make,easily,Something sells this make easily.,-0.011292886,-5.903695,patient,agent,5.892402114
11,sells,item,easily,Something sells this item easily.,-0.01697117,-4.858444,patient,agent,4.841472830000001
12,sells,cd,easily,Something sells this CD easily.,-0.03982771,-3.51114,patient,agent,3.47131229
13,sells,drug,easily,Something sells this drug easily.,-0.0071149063,-7.5041466,patient,agent,7.4970316937
14,sells,snack,easily,Something sells this snack easily.,-0.056669094,-3.3549547,patient,agent,3.298285606
15,sells,salesman,easily,Something sells this salesman easily.,-0.025917722,-5.024864,patient,agent,4.998946278
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.09293193,-2.6275532,patient,agent,2.5346212699999997
17,sells,businessman,easily,Something sells this businessman easily.,-0.062494308,-4.0058503,patient,agent,3.943355992
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.030275604,-4.44037,patient,agent,4.410094396
19,sells,trader,easily,Something sells this trader easily.,-0.06251252,-3.3025901,patient,agent,3.2400775800000003
20,sells,peddler,easily,Something sells this peddler easily.,-0.081593715,-2.8227396,patient,agent,2.741145885
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.16073883,-2.0292614,patient,agent,1.86852257
22,sells,dealer,easily,Something sells this dealer easily.,-0.049590383,-4.766421,patient,agent,4.716830617
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.12344789,-2.536416,patient,agent,2.41296811
24,sells,toy,well,Something sells this toy well.,-0.01693158,-4.9417787,patient,agent,4.924847120000001
25,sells,book,well,Something sells this book well.,-0.09139221,-2.5578537,patient,agent,2.46646149
26,sells,novel,well,Something sells this novel well.,-0.040116582,-3.3621626,patient,agent,3.322046018
27,sells,magazine,well,Something sells this magazine well.,-0.10816904,-2.597641,patient,agent,2.48947196
28,sells,hat,well,Something sells this hat well.,-0.024643587,-3.9789083,patient,agent,3.954264713
29,sells,lotion,well,Something sells this lotion well.,-0.03379696,-3.7817652,patient,agent,3.74796824
30,sells,album,well,Something sells this album well.,-0.1797172,-1.8596781,patient,agent,1.6799609
31,sells,car,well,Something sells this car well.,-0.1059716,-2.36441,patient,agent,2.2584383999999997
32,sells,suv,well,Something sells this SUV well.,-0.059144367,-3.1065795,patient,agent,3.047435133
33,sells,product,well,Something sells this product well.,-0.03696734,-4.556172,patient,agent,4.51920466
34,sells,make,well,Something sells this make well.,-0.02894216,-4.0091476,patient,agent,3.98020544
35,sells,item,well,Something sells this item well.,-0.0562008,-3.1257129,patient,agent,3.0695121
36,sells,cd,well,Something sells this CD well.,-0.122117795,-2.2680013,patient,agent,2.145883505
37,sells,drug,well,Something sells this drug well.,-0.0102576,-5.9049063,patient,agent,5.8946487
38,sells,snack,well,Something sells this snack well.,-0.22670744,-1.7216082,patient,agent,1.49490076
39,sells,salesman,well,Something sells this salesman well.,-0.020625146,-5.1264954,patient,agent,5.105870253999999
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.05564316,-3.2854629,patient,agent,3.2298197400000004
41,sells,businessman,well,Something sells this businessman well.,-0.0555959,-3.7846742,patient,agent,3.7290783
42,sells,businesswoman,well,Something sells this businesswoman well.,-0.030262517,-4.594053,patient,agent,4.563790483
43,sells,trader,well,Something sells this trader well.,-0.0484916,-3.5434155,patient,agent,3.4949239
44,sells,peddler,well,Something sells this peddler well.,-0.06765475,-3.0788722,patient,agent,3.01121745
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.07676912,-2.8678827,patient,agent,2.79111358
46,sells,dealer,well,Something sells this dealer well.,-0.034244478,-4.6064854,patient,agent,4.572240922000001
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-0.089688845,-2.4559584,patient,agent,2.366269555
48,sells,toy,quickly,Something sells this toy quickly.,-0.021161227,-4.6497974,patient,agent,4.628636172999999
49,sells,book,quickly,Something sells this book quickly.,-0.15336077,-2.0115855,patient,agent,1.8582247299999999
50,sells,novel,quickly,Something sells this novel quickly.,-0.041838754,-3.3785865,patient,agent,3.336747746
51,sells,magazine,quickly,Something sells this magazine quickly.,-0.15210283,-2.0804193,patient,agent,1.92831647
52,sells,hat,quickly,Something sells this hat quickly.,-0.04223219,-3.5135846,patient,agent,3.47135241
53,sells,lotion,quickly,Something sells this lotion quickly.,-0.05230841,-3.2174788,patient,agent,3.1651703899999997
54,sells,album,quickly,Something sells this album quickly.,-0.21565448,-1.7437419,patient,agent,1.52808742
55,sells,car,quickly,Something sells this car quickly.,-0.12965825,-2.155501,patient,agent,2.0258427500000002
56,sells,suv,quickly,Something sells this SUV quickly.,-0.06753944,-2.932571,patient,agent,2.86503156
57,sells,product,quickly,Something sells this product quickly.,-0.030578652,-4.7099543,patient,agent,4.679375648
58,sells,make,quickly,Something sells this make quickly.,-0.023938235,-4.7503476,patient,agent,4.726409364999999
59,sells,item,quickly,Something sells this item quickly.,-0.060389128,-3.0741613,patient,agent,3.013772172
60,sells,cd,quickly,Something sells this CD quickly.,-0.1321699,-2.009507,patient,agent,1.8773371
61,sells,drug,quickly,Something sells this drug quickly.,-0.009405078,-6.2938676,patient,agent,6.284462521999999
62,sells,snack,quickly,Something sells this snack quickly.,-0.22051433,-1.7147278,patient,agent,1.4942134699999998
63,sells,salesman,quickly,Something sells this salesman quickly.,-0.03149683,-4.1190276,patient,agent,4.08753077
64,sells,saleswoman,quickly,Something sells this saleswoman quickly.,-0.20692426,-1.6938385,patient,agent,1.48691424
65,sells,businessman,quickly,Something sells this businessman quickly.,-0.08759508,-3.0458355,patient,agent,2.95824042
