verb,overall_acc,avg_LL_delta
bakes,0.9761904761904762,-4.300564798934762
carves,0.875,-2.696149973795833
cleans,0.48148148148148145,0.47770162689629636
cooks,0.7111111111111111,-1.3817593664977774
cuts,0.325,2.1594954641624997
drives,0.19444444444444445,2.329973159583334
embroiders,0.9285714285714286,-2.0071547850357137
flies,0.25,1.886614543458334
knits,0.9142857142857143,-3.526915296401428
packs,0.725,-1.262219119175
paints,0.4583333333333333,-0.17260498545833333
performs,0.23076923076923078,1.6596493050769232
photographs,0.6666666666666666,-0.7247313766666666
plays,0.8846153846153846,-2.3478234758461536
reads,0.6764705882352942,-0.785295867088235
sculpts,0.8333333333333334,-1.9591524414433334
sells,0.5277777777777778,0.3147102942583334
sews,0.7,-0.8507911330500001
shaves,0.6666666666666666,-1.9989604418400002
stitches,0.5208333333333334,-0.25621829518750006
turns,0.4090909090909091,0.5907042869090909
washes,0.8461538461538461,-1.2057593386923076
writes,0.38235294117647056,0.5933970875882354
