id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-0.5300371,-0.89852893,agent,agent,0.36849182999999996
1,sells,book,easily,This book sells something easily.,-0.34579155,-1.255738,agent,agent,0.9099464500000001
2,sells,novel,easily,This novel sells something easily.,-0.6381818,-0.7673971,agent,agent,0.12921530000000003
3,sells,magazine,easily,This magazine sells something easily.,-0.59274995,-0.8283533,agent,agent,0.23560335
4,sells,hat,easily,This hat sells something easily.,-0.2850553,-1.4295808,agent,agent,1.1445255
5,sells,lotion,easily,This lotion sells something easily.,-0.3542039,-1.2448725,agent,agent,0.8906686
6,sells,album,easily,This album sells something easily.,-0.5107974,-0.9310092,agent,agent,0.4202118
7,sells,car,easily,This car sells something easily.,-0.785019,-0.61927366,agent,patient,-0.16574534000000007
8,sells,suv,easily,This SUV sells something easily.,-0.80814195,-0.61163354,agent,patient,-0.19650840999999997
9,sells,product,easily,This product sells something easily.,-0.34261945,-1.2643915,agent,agent,0.92177205
10,sells,make,easily,This make sells something easily.,-0.19537273,-1.767045,agent,agent,1.57167227
11,sells,item,easily,This item sells something easily.,-0.27258623,-1.4548396,agent,agent,1.18225337
12,sells,cd,easily,This CD sells something easily.,-0.6311322,-0.78047574,agent,agent,0.14934353999999994
13,sells,drug,easily,This drug sells something easily.,-0.43197003,-1.086804,agent,agent,0.6548339700000001
14,sells,snack,easily,This snack sells something easily.,-0.8745672,-0.55623454,agent,patient,-0.31833265999999993
15,sells,salesman,easily,This salesman sells something easily.,-0.42988744,-1.0854042,agent,agent,0.6555167599999999
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.31212854,-1.3604493,agent,agent,1.04832076
17,sells,businessman,easily,This businessman sells something easily.,-0.5385652,-0.9008166,agent,agent,0.3622514
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.27483955,-1.4774495,agent,agent,1.20260995
19,sells,trader,easily,This trader sells something easily.,-0.77424276,-0.63729125,agent,patient,-0.13695151000000005
20,sells,peddler,easily,This peddler sells something easily.,-1.0215622,-0.46149406,agent,patient,-0.56006814
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.4810959,-0.98711556,agent,agent,0.50601966
