id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.05291748046875,-3.099609375,agent,agent,3.04669189453125,agent
1,sells,book,easily,This book sells something easily.,-0.0697021484375,-2.8359375,agent,agent,2.7662353515625,agent
2,sells,novel,easily,This novel sells something easily.,-0.0648193359375,-2.892578125,agent,agent,2.8277587890625,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.058868408203125,-3.01171875,agent,agent,2.952850341796875,agent
4,sells,hat,easily,This hat sells something easily.,-0.049072265625,-3.173828125,agent,agent,3.124755859375,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.056182861328125,-3.025390625,agent,agent,2.969207763671875,agent
6,sells,album,easily,This album sells something easily.,-0.059661865234375,-2.998046875,agent,agent,2.938385009765625,agent
7,sells,car,easily,This car sells something easily.,-0.0758056640625,-2.732421875,agent,agent,2.6566162109375,agent
8,sells,suv,easily,This SUV sells something easily.,-0.0687255859375,-2.880859375,agent,agent,2.8121337890625,agent
9,sells,product,easily,This product sells something easily.,-0.0797119140625,-2.689453125,agent,agent,2.6097412109375,agent
10,sells,make,easily,This make sells something easily.,-0.08978271484375,-2.54296875,agent,agent,2.45318603515625,agent
11,sells,item,easily,This item sells something easily.,-0.06109619140625,-3.013671875,agent,agent,2.95257568359375,agent
12,sells,cd,easily,This CD sells something easily.,-0.09356689453125,-2.59375,agent,agent,2.50018310546875,agent
13,sells,drug,easily,This drug sells something easily.,-0.09600830078125,-2.486328125,agent,agent,2.39031982421875,agent
14,sells,snack,easily,This snack sells something easily.,-0.06298828125,-2.890625,agent,agent,2.82763671875,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.08319091796875,-2.599609375,agent,agent,2.51641845703125,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.08355712890625,-2.599609375,agent,agent,2.51605224609375,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.10650634765625,-2.373046875,agent,agent,2.26654052734375,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.09912109375,-2.443359375,agent,agent,2.34423828125,agent
19,sells,trader,easily,This trader sells something easily.,-0.09735107421875,-2.44140625,agent,agent,2.34405517578125,agent
