id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-2.5280463695526123,-0.2288290858268737,agent,patient,-2.2992172837257385,agent
1,sells,book,easily,This book sells something easily.,-1.458782196044922,-0.4765586853027344,agent,patient,-0.9822235107421877,agent
2,sells,novel,easily,This novel sells something easily.,-0.9340939521789552,-0.7293553352355957,agent,patient,-0.20473861694335949,agent
3,sells,magazine,easily,This magazine sells something easily.,-2.0390450954437256,-0.2841088473796844,agent,patient,-1.7549362480640411,agent
4,sells,hat,easily,This hat sells something easily.,-2.044048547744751,-0.2889520227909088,agent,patient,-1.7550965249538422,agent
5,sells,lotion,easily,This lotion sells something easily.,-1.3175530433654783,-0.4743751883506775,agent,patient,-0.8431778550148008,agent
6,sells,album,easily,This album sells something easily.,-2.066456794738769,-0.3184594511985779,agent,patient,-1.7479973435401912,agent
7,sells,car,easily,This car sells something easily.,-2.0428109169006348,-0.3674339652061462,agent,patient,-1.6753769516944885,agent
8,sells,suv,easily,This SUV sells something easily.,-2.7480947971343994,-0.1832907050848007,agent,patient,-2.5648040920495987,agent
9,sells,product,easily,This product sells something easily.,-1.6201674938201904,-0.3944518864154815,agent,patient,-1.2257156074047089,agent
10,sells,make,easily,This make sells something easily.,-2.168621301651001,-0.252491146326065,agent,patient,-1.916130155324936,agent
11,sells,item,easily,This item sells something easily.,-1.5693092346191406,-0.4667357802391052,agent,patient,-1.1025734543800354,agent
12,sells,cd,easily,This CD sells something easily.,-2.773258924484253,-0.2796370983123779,agent,patient,-2.493621826171875,agent
13,sells,drug,easily,This drug sells something easily.,-1.880835771560669,-0.3566658794879913,agent,patient,-1.5241698920726776,agent
14,sells,snack,easily,This snack sells something easily.,-2.4957306385040283,-0.220851257443428,agent,patient,-2.2748793810606003,agent
15,sells,salesman,easily,This salesman sells something easily.,-1.4472966194152832,-0.403908222913742,agent,patient,-1.0433883965015411,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.9475824236869812,-0.7380182147026062,agent,patient,-0.209564208984375,agent
17,sells,businessman,easily,This businessman sells something easily.,-1.7659698724746704,-0.3412262201309204,agent,patient,-1.42474365234375,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-1.896073579788208,-0.3963482081890106,agent,patient,-1.4997253715991974,agent
19,sells,trader,easily,This trader sells something easily.,-1.6420204639434814,-0.3675796687602997,agent,patient,-1.2744407951831818,agent
20,sells,peddler,easily,This peddler sells something easily.,-1.5572824478149414,-0.4224214255809784,agent,patient,-1.134861022233963,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-1.3818340301513672,-0.593568742275238,agent,patient,-0.7882652878761292,agent
22,sells,dealer,easily,This dealer sells something easily.,-1.850521445274353,-0.324493795633316,agent,patient,-1.526027649641037,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-1.4505620002746582,-0.5012288093566895,agent,patient,-0.9493331909179688,agent
24,sells,toy,well,This toy sells something well.,-2.607908248901367,-0.2232647538185119,agent,patient,-2.3846434950828552,agent
25,sells,book,well,This book sells something well.,-1.4741876125335691,-0.4677101969718933,agent,patient,-1.0064774155616758,agent
26,sells,novel,well,This novel sells something well.,-0.9910149574279784,-0.679201602935791,agent,patient,-0.3118133544921874,agent
27,sells,magazine,well,This magazine sells something well.,-2.1824121475219727,-0.2482232302427292,agent,patient,-1.9341889172792435,agent
28,sells,hat,well,This hat sells something well.,-2.111143112182617,-0.2819575667381286,agent,patient,-1.8291855454444885,agent
29,sells,lotion,well,This lotion sells something well.,-1.4284770488739014,-0.4357172846794128,agent,patient,-0.9927597641944885,agent
30,sells,album,well,This album sells something well.,-2.2189409732818604,-0.2827989459037781,agent,patient,-1.9361420273780823,agent
31,sells,car,well,This car sells something well.,-2.179317235946656,-0.3485029637813568,agent,patient,-1.8308142721652994,agent
