verb,overall_acc,avg_LL_delta
bakes,1.0,15.587249418611194
carves,1.0,16.438299116390834
cleans,1.0,16.983716653501105
cooks,1.0,14.520210689167328
cuts,1.0,16.662659752152003
drives,1.0,20.23138309722667
embroiders,1.0,14.876751097529999
flies,1.0,19.15585137264625
knits,1.0,15.236651786797712
packs,1.0,17.203322182388252
paints,1.0,16.434110414439377
performs,1.0,17.314194472827694
photographs,1.0,15.891554562520001
plays,1.0,18.035928396953842
reads,1.0,14.920979157083528
sculpts,1.0,17.08864363066567
sells,1.0,16.8977371305118
sews,1.0,15.630755938371
shaves,1.0,15.246516759004665
stitches,0.9375,11.602445184360837
turns,1.0,19.117724306060907
washes,1.0,16.640271863549614
writes,1.0,17.43716422027
