id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-1.0400390625,-0.44580078125,agent,patient,-0.59423828125,agent
1,sells,book,easily,This book sells something easily.,-0.92333984375,-0.51708984375,agent,patient,-0.40625,agent
2,sells,novel,easily,This novel sells something easily.,-0.81494140625,-0.59619140625,agent,patient,-0.21875,agent
3,sells,magazine,easily,This magazine sells something easily.,-1.2734375,-0.336181640625,agent,patient,-0.937255859375,agent
4,sells,hat,easily,This hat sells something easily.,-1.0595703125,-0.4345703125,agent,patient,-0.625,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.88525390625,-0.54150390625,agent,patient,-0.34375,agent
6,sells,album,easily,This album sells something easily.,-1.412109375,-0.28662109375,agent,patient,-1.12548828125,agent
7,sells,car,easily,This car sells something easily.,-1.041015625,-0.447021484375,agent,patient,-0.593994140625,agent
8,sells,suv,easily,This SUV sells something easily.,-1.123046875,-0.40380859375,agent,patient,-0.71923828125,agent
9,sells,product,easily,This product sells something easily.,-0.8818359375,-0.5693359375,agent,patient,-0.3125,agent
10,sells,make,easily,This make sells something easily.,-0.67041015625,-0.73291015625,agent,agent,0.0625,agent
11,sells,item,easily,This item sells something easily.,-1.025390625,-0.462646484375,agent,patient,-0.562744140625,agent
12,sells,cd,easily,This CD sells something easily.,-1.2529296875,-0.346923828125,agent,patient,-0.906005859375,agent
13,sells,drug,easily,This drug sells something easily.,-0.923828125,-0.517578125,agent,patient,-0.40625,agent
14,sells,snack,easily,This snack sells something easily.,-1.251953125,-0.345703125,agent,patient,-0.90625,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.86865234375,-0.55615234375,agent,patient,-0.3125,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.9619140625,-0.492919921875,agent,patient,-0.468994140625,agent
17,sells,businessman,easily,This businessman sells something easily.,-1.392578125,-0.29833984375,agent,patient,-1.09423828125,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-1.1669921875,-0.385498046875,agent,patient,-0.781494140625,agent
19,sells,trader,easily,This trader sells something easily.,-1.185546875,-0.373291015625,agent,patient,-0.812255859375,agent
20,sells,peddler,easily,This peddler sells something easily.,-1.412109375,-0.28759765625,agent,patient,-1.12451171875,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.98046875,-0.48046875,agent,patient,-0.5,agent
22,sells,dealer,easily,This dealer sells something easily.,-1.251953125,-0.345947265625,agent,patient,-0.906005859375,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-1.232421875,-0.357666015625,agent,patient,-0.874755859375,agent
24,sells,toy,well,This toy sells something well.,-1.060546875,-0.43505859375,agent,patient,-0.62548828125,agent
25,sells,book,well,This book sells something well.,-0.96142578125,-0.492431640625,agent,patient,-0.468994140625,agent
26,sells,novel,well,This novel sells something well.,-0.85009765625,-0.56884765625,agent,patient,-0.28125,agent
27,sells,magazine,well,This magazine sells something well.,-1.3193359375,-0.319091796875,agent,patient,-1.000244140625,agent
28,sells,hat,well,This hat sells something well.,-1.1220703125,-0.4033203125,agent,patient,-0.71875,agent
29,sells,lotion,well,This lotion sells something well.,-0.94140625,-0.50390625,agent,patient,-0.4375,agent
30,sells,album,well,This album sells something well.,-1.4833984375,-0.264892578125,agent,patient,-1.218505859375,agent
31,sells,car,well,This car sells something well.,-1.08203125,-0.425537109375,agent,patient,-0.656494140625,agent
32,sells,suv,well,This SUV sells something well.,-1.1650390625,-0.38427734375,agent,patient,-0.78076171875,agent
33,sells,product,well,This product sells something well.,-0.93603515625,-0.52978515625,agent,patient,-0.40625,agent
34,sells,make,well,This make sells something well.,-0.701171875,-0.701171875,agent,agent,0.0,agent
35,sells,item,well,This item sells something well.,-1.0654296875,-0.4404296875,agent,patient,-0.625,agent
36,sells,cd,well,This CD sells something well.,-1.3671875,-0.3046875,agent,patient,-1.0625,agent
37,sells,drug,well,This drug sells something well.,-0.9619140625,-0.492919921875,agent,patient,-0.468994140625,agent
38,sells,snack,well,This snack sells something well.,-1.3203125,-0.31982421875,agent,patient,-1.00048828125,agent
39,sells,salesman,well,This salesman sells something well.,-0.923828125,-0.517578125,agent,patient,-0.40625,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-1.041015625,-0.447021484375,agent,patient,-0.593994140625,agent
41,sells,businessman,well,This businessman sells something well.,-1.392578125,-0.298828125,agent,patient,-1.09375,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-1.189453125,-0.376708984375,agent,patient,-0.812744140625,agent
43,sells,trader,well,This trader sells something well.,-1.2080078125,-0.364013671875,agent,patient,-0.843994140625,agent
44,sells,peddler,well,This peddler sells something well.,-1.4599609375,-0.272705078125,agent,patient,-1.187255859375,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-1.0205078125,-0.457763671875,agent,patient,-0.562744140625,agent
46,sells,dealer,well,This dealer sells something well.,-1.275390625,-0.33740234375,agent,patient,-0.93798828125,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-1.2998046875,-0.331298828125,agent,patient,-0.968505859375,agent
48,sells,toy,quickly,This toy sells something quickly.,-1.080078125,-0.42431640625,agent,patient,-0.65576171875,agent
49,sells,book,quickly,This book sells something quickly.,-0.94189453125,-0.50439453125,agent,patient,-0.4375,agent
50,sells,novel,quickly,This novel sells something quickly.,-0.88623046875,-0.54248046875,agent,patient,-0.34375,agent
51,sells,magazine,quickly,This magazine sells something quickly.,-1.341796875,-0.310791015625,agent,patient,-1.031005859375,agent
52,sells,hat,quickly,This hat sells something quickly.,-1.142578125,-0.392822265625,agent,patient,-0.749755859375,agent
53,sells,lotion,quickly,This lotion sells something quickly.,-0.94140625,-0.50390625,agent,patient,-0.4375,agent
54,sells,album,quickly,This album sells something quickly.,-1.4833984375,-0.2646484375,agent,patient,-1.21875,agent
55,sells,car,quickly,This car sells something quickly.,-1.1025390625,-0.4150390625,agent,patient,-0.6875,agent
56,sells,suv,quickly,This SUV sells something quickly.,-1.23046875,-0.355712890625,agent,patient,-0.874755859375,agent
