verb,overall_acc,avg_LL_delta
bakes,0.0,-0.6781192973809522
carves,0.0,-0.4262798504166669
cleans,0.0,-0.5218532024074074
cooks,0.044444444444444446,-0.5319862822222221
cuts,0.0,-0.4082461525
drives,0.0,-0.43774444749999997
embroiders,0.14285714285714285,-0.3304627414285714
flies,0.0,-0.32166312999999996
knits,0.05714285714285714,-0.40103532657142854
packs,0.0,-0.50399695725
paints,0.0,-0.372062779375
performs,0.3076923076923077,-0.1460745646153846
photographs,0.1111111111111111,-0.2758992516666667
plays,0.0,-0.3060825865384615
reads,0.11764705882352941,-0.26393201617647055
sculpts,0.0,-0.435301024
sells,0.1111111111111111,-0.2895800361111111
sews,0.0,-0.40261553249999993
shaves,0.0,-0.4435012846666667
stitches,0.0625,-0.46973982708333334
turns,0.38636363636363635,-0.08878860522727271
washes,0.0,-0.5907799592307694
writes,0.14705882352941177,-0.19679962058823525
