id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.7137941,-0.6886019,patient,patient,-0.025192199999999998,patient
1,sells,book,easily,This book sells easily.,-0.52213746,-0.91219807,patient,agent,0.3900606099999999,patient
2,sells,novel,easily,This novel sells easily.,-1.2768942,-0.33997598,patient,patient,-0.9369182200000001,patient
3,sells,magazine,easily,This magazine sells easily.,-0.7378806,-0.6790846,patient,patient,-0.05879599999999996,patient
4,sells,hat,easily,This hat sells easily.,-0.6834719,-0.71961814,patient,agent,0.036146239999999996,patient
5,sells,lotion,easily,This lotion sells easily.,-0.5275588,-0.89212453,patient,agent,0.36456573000000003,patient
6,sells,album,easily,This album sells easily.,-0.74173415,-0.62106085,patient,patient,-0.12067329999999998,patient
7,sells,car,easily,This car sells easily.,-0.96156055,-0.49478474,patient,patient,-0.46677580999999996,patient
8,sells,suv,easily,This SUV sells easily.,-1.1318141,-0.41438997,patient,patient,-0.7174241299999999,patient
9,sells,product,easily,This product sells easily.,-0.33429807,-1.2799329,patient,agent,0.9456348299999999,patient
10,sells,make,easily,This make sells easily.,-0.39643934,-1.1397294,patient,agent,0.7432900600000001,patient
11,sells,item,easily,This item sells easily.,-0.47846383,-0.9899098,patient,agent,0.51144597,patient
12,sells,cd,easily,This CD sells easily.,-0.6849715,-0.71990085,patient,agent,0.03492935000000008,patient
13,sells,drug,easily,This drug sells easily.,-0.6158281,-0.80229443,patient,agent,0.18646633,patient
14,sells,snack,easily,This snack sells easily.,-1.2287768,-0.35959235,patient,patient,-0.8691844499999999,patient
15,sells,salesman,easily,This salesman sells easily.,-0.7137985,-0.6899072,agent,patient,-0.02389129999999995,patient
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.4440855,-1.067777,agent,agent,0.6236915,patient
17,sells,businessman,easily,This businessman sells easily.,-0.6507601,-0.7508655,agent,agent,0.10010540000000001,patient
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.28807166,-1.4774191,agent,agent,1.1893474400000001,agent
19,sells,trader,easily,This trader sells easily.,-1.0902048,-0.42743754,agent,patient,-0.66276726,patient
20,sells,peddler,easily,This peddler sells easily.,-1.6578941,-0.2234497,agent,patient,-1.4344444,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.54390013,-0.862172,agent,agent,0.31827187,patient
22,sells,dealer,easily,This dealer sells easily.,-1.1602459,-0.39091656,agent,patient,-0.7693293400000001,patient
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.7807629,-0.64047354,agent,patient,-0.14028936000000003,patient
24,sells,toy,well,This toy sells well.,-0.69541997,-0.712796,patient,agent,0.017376029999999987,patient
25,sells,book,well,This book sells well.,-0.49068838,-0.97229207,patient,agent,0.48160369,patient
26,sells,novel,well,This novel sells well.,-1.083562,-0.42848897,patient,patient,-0.6550730299999998,patient
27,sells,magazine,well,This magazine sells well.,-0.68390566,-0.7401725,patient,agent,0.05626684000000004,patient
28,sells,hat,well,This hat sells well.,-0.5303203,-0.91209507,patient,agent,0.38177477000000004,patient
29,sells,lotion,well,This lotion sells well.,-0.50214934,-0.9772586,patient,agent,0.47510926,patient
30,sells,album,well,This album sells well.,-0.69448775,-0.73582834,patient,agent,0.04134059000000001,patient
31,sells,car,well,This car sells well.,-0.8013869,-0.61296946,patient,patient,-0.18841744000000005,patient
32,sells,suv,well,This SUV sells well.,-1.0116726,-0.4670645,patient,patient,-0.5446081,patient
33,sells,product,well,This product sells well.,-0.32221732,-1.3150266,patient,agent,0.9928092799999999,patient
34,sells,make,well,This make sells well.,-0.3058797,-1.3540443,patient,agent,1.0481646,agent
35,sells,item,well,This item sells well.,-0.41212755,-1.1141082,patient,agent,0.70198065,patient
36,sells,cd,well,This CD sells well.,-0.6306905,-0.7829771,patient,agent,0.15228659999999994,patient
37,sells,drug,well,This drug sells well.,-0.6121268,-0.7974449,patient,agent,0.18531810000000004,patient
38,sells,snack,well,This snack sells well.,-1.3291476,-0.32325384,patient,patient,-1.00589376,patient
39,sells,salesman,well,This salesman sells well.,-0.4929944,-0.98261875,agent,agent,0.48962435,patient
40,sells,saleswoman,well,This saleswoman sells well.,-0.30783716,-1.4168229,agent,agent,1.10898574,agent
41,sells,businessman,well,This businessman sells well.,-0.54545885,-0.89364713,agent,agent,0.3481882799999999,patient
42,sells,businesswoman,well,This businesswoman sells well.,-0.24427472,-1.6085534,agent,agent,1.36427868,agent
43,sells,trader,well,This trader sells well.,-0.8540823,-0.59198236,agent,patient,-0.2620999399999999,patient
44,sells,peddler,well,This peddler sells well.,-1.1364689,-0.404055,agent,patient,-0.7324138999999998,patient
45,sells,telemarketer,well,This telemarketer sells well.,-0.319796,-1.3461009,agent,agent,1.0263049,patient
46,sells,dealer,well,This dealer sells well.,-0.86998355,-0.56607616,agent,patient,-0.30390739,patient
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.5838937,-0.84364027,agent,agent,0.25974657,patient
48,sells,toy,quickly,This toy sells quickly.,-0.7226105,-0.6832466,patient,patient,-0.03936390000000001,patient
49,sells,book,quickly,This book sells quickly.,-0.5895868,-0.828547,patient,agent,0.23896020000000007,patient
50,sells,novel,quickly,This novel sells quickly.,-1.3069918,-0.32950237,patient,patient,-0.9774894300000001,patient
51,sells,magazine,quickly,This magazine sells quickly.,-0.8804244,-0.56409824,patient,patient,-0.31632616,patient
52,sells,hat,quickly,This hat sells quickly.,-0.63251704,-0.74540925,patient,agent,0.11289221000000005,patient
53,sells,lotion,quickly,This lotion sells quickly.,-0.50712234,-0.9473326,patient,agent,0.44021025999999996,patient
54,sells,album,quickly,This album sells quickly.,-0.82252455,-0.61609846,patient,patient,-0.20642609,patient
55,sells,car,quickly,This car sells quickly.,-0.98740906,-0.4801345,patient,patient,-0.5072745599999999,patient
56,sells,suv,quickly,This SUV sells quickly.,-1.1159844,-0.41357842,patient,patient,-0.7024059800000001,patient
57,sells,product,quickly,This product sells quickly.,-0.36369696,-1.2082024,patient,agent,0.84450544,patient
58,sells,make,quickly,This make sells quickly.,-0.36036375,-1.2194731,patient,agent,0.8591093500000001,patient
59,sells,item,quickly,This item sells quickly.,-0.42048597,-1.0932593,patient,agent,0.67277333,patient
60,sells,cd,quickly,This CD sells quickly.,-0.8544717,-0.5713791,patient,patient,-0.2830925999999999,patient
61,sells,drug,quickly,This drug sells quickly.,-0.6471161,-0.7552266,patient,agent,0.1081105,patient
62,sells,snack,quickly,This snack sells quickly.,-1.3220012,-0.32690936,patient,patient,-0.9950918400000002,patient
63,sells,salesman,quickly,This salesman sells quickly.,-0.5451143,-0.88899773,agent,agent,0.34388343,patient
64,sells,saleswoman,quickly,This saleswoman sells quickly.,-0.34618202,-1.2835599,agent,agent,0.93737788,patient
65,sells,businessman,quickly,This businessman sells quickly.,-0.59746695,-0.82240784,agent,agent,0.22494088999999995,patient
66,sells,businesswoman,quickly,This businesswoman sells quickly.,-0.25640452,-1.5577044,agent,agent,1.30129988,agent
67,sells,trader,quickly,This trader sells quickly.,-0.90681845,-0.5385533,agent,patient,-0.36826515000000004,patient
68,sells,peddler,quickly,This peddler sells quickly.,-1.4197018,-0.29134113,agent,patient,-1.12836067,patient
