id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-2.6291427612304688,-0.2438737004995346,patient,patient,-2.385269060730934,patient
1,sells,book,easily,Something sells this book easily.,-1.6424344778060913,-0.4240201413631439,patient,patient,-1.2184143364429474,patient
2,sells,novel,easily,Something sells this novel easily.,-0.978354275226593,-0.704062283039093,patient,patient,-0.2742919921875,agent
3,sells,magazine,easily,Something sells this magazine easily.,-2.3347644805908203,-0.2446002513170242,patient,patient,-2.090164229273796,patient
4,sells,hat,easily,Something sells this hat easily.,-2.350016832351685,-0.246379092335701,patient,patient,-2.103637740015984,patient
5,sells,lotion,easily,Something sells this lotion easily.,-1.5237047672271729,-0.4095689952373504,patient,patient,-1.1141357719898224,patient
6,sells,album,easily,Something sells this album easily.,-2.363198757171631,-0.2880644202232361,patient,patient,-2.0751343369483948,patient
7,sells,car,easily,Something sells this car easily.,-2.184902667999268,-0.3662840127944946,patient,patient,-1.8186186552047734,patient
8,sells,suv,easily,Something sells this SUV easily.,-2.85633397102356,-0.2063325196504593,patient,patient,-2.6500014513731007,patient
9,sells,product,easily,Something sells this product easily.,-1.6933201551437378,-0.3755100965499878,patient,patient,-1.31781005859375,patient
10,sells,make,easily,Something sells this make easily.,-1.8528083562850952,-0.3207725286483764,patient,patient,-1.5320358276367188,patient
11,sells,item,easily,Something sells this item easily.,-1.941570520401001,-0.3674814403057098,patient,patient,-1.5740890800952911,patient
12,sells,cd,easily,Something sells this CD easily.,-3.267007112503052,-0.2827236652374267,patient,patient,-2.9842834472656254,patient
13,sells,drug,easily,Something sells this drug easily.,-1.9986002445220947,-0.3280146718025207,patient,patient,-1.670585572719574,patient
14,sells,snack,easily,Something sells this snack easily.,-2.547123908996582,-0.2570620775222778,patient,patient,-2.290061831474304,patient
15,sells,salesman,easily,Something sells this salesman easily.,-1.6065884828567505,-0.3697186708450317,patient,patient,-1.2368698120117188,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-1.2390100955963137,-0.5642435550689697,patient,patient,-0.674766540527344,patient
17,sells,businessman,easily,Something sells this businessman easily.,-1.8127787113189693,-0.3456423580646515,patient,patient,-1.4671363532543178,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.9585553407669067,-0.387212872505188,patient,patient,-1.5713424682617188,patient
19,sells,trader,easily,Something sells this trader easily.,-1.808847069740296,-0.329663872718811,patient,patient,-1.479183197021485,patient
20,sells,peddler,easily,Something sells this peddler easily.,-1.728656768798828,-0.4301262497901916,patient,patient,-1.2985305190086363,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-1.5506067276000977,-0.5232552886009216,patient,patient,-1.027351438999176,patient
22,sells,dealer,easily,Something sells this dealer easily.,-1.9978253841400144,-0.298087865114212,patient,patient,-1.6997375190258024,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-1.370556354522705,-0.5418896675109863,patient,patient,-0.8286666870117188,patient
24,sells,toy,well,Something sells this toy well.,-2.80487060546875,-0.226711168885231,patient,patient,-2.578159436583519,patient
25,sells,book,well,Something sells this book well.,-1.7302323579788208,-0.3887177407741546,patient,patient,-1.3415146172046661,patient
26,sells,novel,well,Something sells this novel well.,-1.0626087188720703,-0.6351261734962463,patient,patient,-0.427482545375824,patient
27,sells,magazine,well,Something sells this magazine well.,-2.5240120887756348,-0.2100700885057449,patient,patient,-2.31394200026989,patient
28,sells,hat,well,Something sells this hat well.,-2.413121700286865,-0.2415977567434311,patient,patient,-2.1715239435434337,patient
29,sells,lotion,well,Something sells this lotion well.,-1.662461280822754,-0.3749933838844299,patient,patient,-1.287467896938324,patient
30,sells,album,well,Something sells this album well.,-2.545609712600708,-0.2552616894245147,patient,patient,-2.2903480231761932,patient
31,sells,car,well,Something sells this car well.,-2.2736759185791016,-0.3503246009349823,patient,patient,-1.9233513176441193,patient
32,sells,suv,well,Something sells this SUV well.,-3.071690320968628,-0.1890227943658828,patient,patient,-2.882667526602745,patient
33,sells,product,well,Something sells this product well.,-1.8118685483932493,-0.3479556143283844,patient,patient,-1.463912934064865,patient
34,sells,make,well,Something sells this make well.,-1.995938777923584,-0.3135733306407928,patient,patient,-1.6823654472827911,patient
35,sells,item,well,Something sells this item well.,-2.023772954940796,-0.3493269383907318,patient,patient,-1.674446016550064,patient
36,sells,cd,well,Something sells this CD well.,-3.386725187301636,-0.2569988369941711,patient,patient,-3.129726350307465,patient
37,sells,drug,well,Something sells this drug well.,-2.100805282592773,-0.3052043318748474,patient,patient,-1.7956009507179256,patient
38,sells,snack,well,Something sells this snack well.,-2.79534912109375,-0.2331618964672088,patient,patient,-2.562187224626541,patient
39,sells,salesman,well,Something sells this salesman well.,-1.6933252811431885,-0.3506205677986145,patient,patient,-1.342704713344574,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-1.354750156402588,-0.5223755836486816,patient,patient,-0.8323745727539062,patient
41,sells,businessman,well,Something sells this businessman well.,-1.9115753173828125,-0.3207740187644958,patient,patient,-1.5908012986183167,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-2.0898799896240234,-0.3618143796920776,patient,patient,-1.7280656099319458,patient
43,sells,trader,well,Something sells this trader well.,-1.9200565814971924,-0.3051502108573913,patient,patient,-1.614906370639801,patient
44,sells,peddler,well,Something sells this peddler well.,-1.862098693847656,-0.4113807082176208,patient,patient,-1.4507179856300352,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-1.6283245086669922,-0.5059719085693359,patient,patient,-1.1223526000976562,patient
46,sells,dealer,well,Something sells this dealer well.,-2.0861480236053467,-0.2901619374752044,patient,patient,-1.7959860861301422,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-1.455366611480713,-0.5168824791908264,patient,patient,-0.9384841322898865,patient
48,sells,toy,quickly,Something sells this toy quickly.,-2.694154977798462,-0.2359372973442077,patient,patient,-2.458217680454254,patient
49,sells,book,quickly,Something sells this book quickly.,-1.620323896408081,-0.4227759540081024,patient,patient,-1.1975479423999786,patient
