id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.56884765625,-0.95947265625,patient,agent,0.390625,patient
1,sells,book,easily,This book sells easily.,-0.67138671875,-0.84326171875,patient,agent,0.171875,patient
2,sells,novel,easily,This novel sells easily.,-0.57080078125,-0.96142578125,patient,agent,0.390625,patient
3,sells,magazine,easily,This magazine sells easily.,-0.7138671875,-0.7919921875,patient,agent,0.078125,patient
4,sells,hat,easily,This hat sells easily.,-0.57080078125,-0.96142578125,patient,agent,0.390625,patient
5,sells,lotion,easily,This lotion sells easily.,-0.5634765625,-0.9541015625,patient,agent,0.390625,patient
6,sells,album,easily,This album sells easily.,-0.67529296875,-0.83154296875,patient,agent,0.15625,patient
7,sells,car,easily,This car sells easily.,-0.64111328125,-0.85986328125,patient,agent,0.21875,patient
8,sells,suv,easily,This SUV sells easily.,-0.525390625,-1.025390625,patient,agent,0.5,patient
9,sells,product,easily,This product sells easily.,-0.60693359375,-0.91943359375,patient,agent,0.3125,patient
10,sells,make,easily,This make sells easily.,-0.6123046875,-0.9091796875,patient,agent,0.296875,patient
11,sells,item,easily,This item sells easily.,-0.68115234375,-0.83740234375,patient,agent,0.15625,patient
12,sells,cd,easily,This CD sells easily.,-0.63916015625,-0.87353515625,patient,agent,0.234375,patient
13,sells,drug,easily,This drug sells easily.,-0.625,-0.859375,patient,agent,0.234375,patient
14,sells,snack,easily,This snack sells easily.,-0.67724609375,-0.81787109375,patient,agent,0.140625,patient
15,sells,salesman,easily,This salesman sells easily.,-0.481689453125,-1.0439453125,agent,agent,0.562255859375,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.52685546875,-0.96435546875,agent,agent,0.4375,patient
17,sells,businessman,easily,This businessman sells easily.,-0.472412109375,-1.06640625,agent,agent,0.593994140625,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.52978515625,-0.96728515625,agent,agent,0.4375,patient
19,sells,trader,easily,This trader sells easily.,-0.51513671875,-0.98388671875,agent,agent,0.46875,patient
20,sells,peddler,easily,This peddler sells easily.,-0.58251953125,-0.89501953125,agent,agent,0.3125,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.58740234375,-0.89990234375,agent,agent,0.3125,patient
22,sells,dealer,easily,This dealer sells easily.,-0.546875,-0.9375,agent,agent,0.390625,patient
