verb,overall_acc,avg_LL_delta
bakes,0.0,2.1782342819940474
carves,0.0,2.1715380350748696
cleans,0.0,2.2662217881944446
cooks,0.0,2.2757771809895835
cuts,0.0,2.1050430297851563
drives,0.0,2.270194159613715
embroiders,0.0,2.022005353655134
flies,0.0,2.5951970418294272
knits,0.0,2.0852652413504464
packs,0.0,2.38980712890625
paints,0.0,1.7939809163411458
performs,0.0,2.274951641376202
photographs,0.0,1.8653835720486112
plays,0.0,2.4008648212139425
reads,0.0,1.5988284840303308
sculpts,0.0,2.345256551106771
sells,0.0,2.395679897732205
sews,0.0,2.0469329833984373
shaves,0.0,1.7313435872395833
stitches,0.0,1.5371348063151042
turns,0.0,2.4310413707386362
washes,0.0,2.44287109375
writes,0.0,2.0684356689453125
