id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-1.01901,-0.46926826,patient,patient,-0.54974174,patient
1,sells,book,easily,This book sells easily.,-0.76634693,-0.649022,patient,patient,-0.11732493,agent
2,sells,novel,easily,This novel sells easily.,-1.0070688,-0.47584534,patient,patient,-0.5312234600000001,patient
3,sells,magazine,easily,This magazine sells easily.,-1.1745234,-0.38989732,patient,patient,-0.78462608,patient
4,sells,hat,easily,This hat sells easily.,-0.85709673,-0.5735846,patient,patient,-0.28351213,agent
5,sells,lotion,easily,This lotion sells easily.,-1.0431361,-0.47685108,patient,patient,-0.5662850199999999,patient
6,sells,album,easily,This album sells easily.,-1.019743,-0.46776003,patient,patient,-0.5519829700000001,patient
7,sells,car,easily,This car sells easily.,-1.0316912,-0.45863774,patient,patient,-0.57305346,patient
8,sells,suv,easily,This SUV sells easily.,-1.1986254,-0.38506866,patient,patient,-0.8135567400000001,patient
9,sells,product,easily,This product sells easily.,-0.99034655,-0.4864174,patient,patient,-0.50392915,agent
10,sells,make,easily,This make sells easily.,-0.614699,-0.8123404,patient,agent,0.19764139999999997,agent
11,sells,item,easily,This item sells easily.,-0.78285664,-0.637881,patient,patient,-0.14497563999999996,agent
12,sells,cd,easily,This CD sells easily.,-1.0663409,-0.4421238,patient,patient,-0.6242170999999999,patient
13,sells,drug,easily,This drug sells easily.,-1.0827563,-0.43792167,patient,patient,-0.6448346300000001,patient
14,sells,snack,easily,This snack sells easily.,-1.369196,-0.31588942,patient,patient,-1.05330658,patient
15,sells,salesman,easily,This salesman sells easily.,-0.7944103,-0.6284901,agent,patient,-0.16592019999999996,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.8669609,-0.5762047,agent,patient,-0.2907562,agent
17,sells,businessman,easily,This businessman sells easily.,-0.96217215,-0.50383437,agent,patient,-0.45833778000000003,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.823,-0.6085128,agent,patient,-0.2144872,agent
19,sells,trader,easily,This trader sells easily.,-1.0108405,-0.47678855,agent,patient,-0.53405195,patient
20,sells,peddler,easily,This peddler sells easily.,-1.2302067,-0.3669979,agent,patient,-0.8632088000000001,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.8267321,-0.60735834,agent,patient,-0.21937375999999997,agent
22,sells,dealer,easily,This dealer sells easily.,-1.0617106,-0.44406348,agent,patient,-0.61764712,patient
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.9402962,-0.5232733,agent,patient,-0.4170229,agent
24,sells,toy,well,This toy sells well.,-1.0119443,-0.47377625,patient,patient,-0.5381680499999999,patient
