noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-2.36323727
actor,1,1.0,-0.5486145600000001
aircraft,3,1.0,-0.8959084700000001
album,3,1.0,-2.1016063866666665
animal,2,1.0,-2.401810535
announcer,2,1.0,-1.539899375
artisan,4,1.0,-0.34545952500000005
artist,4,1.0,-1.07153016
author,2,1.0,-0.19406581499999995
aviator,3,1.0,-0.2475332
backpack,2,1.0,-2.461567295
backpacker,2,1.0,-2.11912639
bag,2,1.0,-2.69318221
baker,6,1.0,-1.2282330483333332
barber,7,1.0,-0.7230257742857142
basket,2,1.0,-2.436527625
beard,3,1.0,-2.011504136666667
bedding,5,1.0,-2.7357471070000003
bike,4,1.0,-1.7411067900000001
blanket,2,1.0,-2.195602
blogger,2,1.0,-1.196509835
board,4,1.0,-2.091088755
book,3,1.0,-2.1360047666666664
bottle,2,1.0,-2.027354795
bowl,2,1.0,-2.002892745
bread,3,1.0,-2.1839119833333336
broadcaster,2,1.0,-1.40237414
building,2,1.0,-1.8715035800000002
bus,3,1.0,-1.6651891166666666
busboy,5,1.0,-1.7269819599999998
businessman,3,1.0,-1.4566289433333335
businesswoman,3,1.0,-1.4255431066666666
butcher,4,1.0,-0.436540795
cake,3,1.0,-2.211975263333333
cameraman,2,1.0,-1.26153258
camper,2,1.0,-2.26471953
canvas,4,1.0,-2.21090975
captain,3,1.0,-0.7878451766666666
car,12,1.0,-1.496514324166667
cardboard,4,1.0,-1.8511764474999999
carpet,3,1.0,-2.059322193333333
carver,7,0.8571428571428571,-0.09389044714285713
caterer,3,1.0,-1.7503725533333334
cd,3,1.0,-2.397888813333333
cellist,2,1.0,-1.2144375950000001
cello,2,1.0,-1.404284135
chauffeur,3,1.0,-0.6218835333333333
chef,10,1.0,-0.7735657639999999
choreography,1,1.0,-1.82285718
clarinet,2,1.0,-1.11900296
clarinetist,2,1.0,-0.81016134
clay,6,1.0,-2.3782096408333335
cleaner,5,1.0,-0.528395108
clerk,2,1.0,-1.54710593
cloth,8,1.0,-2.1149641225
coat,2,1.0,-2.334797155
code,2,1.0,-1.57476087
comedian,1,1.0,-0.5631867
concerto,1,1.0,-0.96226193
confectioner,3,1.0,-1.30233272
container,2,1.0,-1.92831029
convertible,3,1.0,-1.4758765333333332
cook,6,1.0,-1.2289275683333332
cotton,4,1.0,-2.0494247875
countertop,3,1.0,-2.1597179433333333
crate,2,1.0,-2.478922995
cushion,4,1.0,-2.69068585625
cut,4,1.0,-2.3726157325
dancer,1,1.0,-1.09189282
dealer,3,1.0,-1.2397426666666667
dish,2,1.0,-2.06303927
doctor,2,1.0,-0.852330775
dough,3,1.0,-2.716449592
dressmaker,4,1.0,-0.7182742349999999
driver,7,1.0,-0.6956173328571429
drug,3,1.0,-1.8572515633333333
drummer,2,1.0,-0.7428736899999999
duffle,2,1.0,-2.60554151
essay,4,1.0,-2.0638096375
essayist,2,1.0,-0.278619945
fabric,20,1.0,-2.5360756202
fillet,3,1.0,-2.4122839153333335
fish,3,1.0,-2.3754189233333336
floor,3,1.0,-2.03358835
flute,2,1.0,-1.7172037600000003
flutist,2,1.0,-0.91424435
food,2,1.0,-2.183665695
gem,4,1.0,-1.9518099800000002
glass,4,1.0,-2.1016780324999997
hairdresser,7,1.0,-1.081226512857143
handle,4,1.0,-0.9038285075000001
hat,3,1.0,-2.29865158
herb,3,1.0,-2.22612832
hiker,2,1.0,-2.5571382700000003
housekeeper,3,1.0,-1.0107880400000002
