id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,Something sells this toy easily.,-1.3044453,-0.32786372,patient,patient,-0.97658158
1,sells,book,easily,Something sells this book easily.,-1.3977023,-0.3019662,patient,patient,-1.0957360999999999
2,sells,novel,easily,Something sells this novel easily.,-1.5411115,-0.25159684,patient,patient,-1.28951466
3,sells,magazine,easily,Something sells this magazine easily.,-1.2507442,-0.34941015,patient,patient,-0.90133405
4,sells,hat,easily,Something sells this hat easily.,-0.525977,-0.9166553,patient,agent,0.3906782999999999
5,sells,lotion,easily,Something sells this lotion easily.,-1.5728906,-0.23842192,patient,patient,-1.33446868
6,sells,album,easily,Something sells this album easily.,-1.522477,-0.25169304,patient,patient,-1.2707839600000002
7,sells,car,easily,Something sells this car easily.,-1.5667802,-0.25223497,patient,patient,-1.31454523
8,sells,suv,easily,Something sells this SUV easily.,-1.2403036,-0.35723987,patient,patient,-0.88306373
9,sells,product,easily,Something sells this product easily.,-1.5147744,-0.27041286,patient,patient,-1.24436154
10,sells,make,easily,Something sells this make easily.,-0.73259246,-0.67168516,patient,patient,-0.0609073
11,sells,item,easily,Something sells this item easily.,-1.2633729,-0.35401002,patient,patient,-0.90936288
12,sells,cd,easily,Something sells this CD easily.,-1.2077124,-0.37128666,patient,patient,-0.8364257399999999
13,sells,drug,easily,Something sells this drug easily.,-1.0181979,-0.45969754,patient,patient,-0.55850036
14,sells,snack,easily,Something sells this snack easily.,-1.8963746,-0.17083429,patient,patient,-1.72554031
15,sells,salesman,easily,Something sells this salesman easily.,-1.1165726,-0.42046374,patient,patient,-0.69610886
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-1.5189123,-0.26537433,patient,patient,-1.25353797
17,sells,businessman,easily,Something sells this businessman easily.,-2.1728683,-0.12734999,patient,patient,-2.0455183100000003
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-2.4020317,-0.10599598,patient,patient,-2.2960357200000003
19,sells,trader,easily,Something sells this trader easily.,-2.1590188,-0.13236938,patient,patient,-2.02664942
20,sells,peddler,easily,Something sells this peddler easily.,-1.660658,-0.22454461,patient,patient,-1.43611339
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.9815769,-0.48626134,patient,patient,-0.49531556
22,sells,dealer,easily,Something sells this dealer easily.,-1.6385539,-0.22630532,patient,patient,-1.41224858
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-2.7804272,-0.07603414,patient,patient,-2.70439306
24,sells,toy,well,Something sells this toy well.,-1.1359158,-0.39965045,patient,patient,-0.73626535
25,sells,book,well,Something sells this book well.,-1.0789065,-0.4325785,patient,patient,-0.646328
26,sells,novel,well,Something sells this novel well.,-1.3114319,-0.32604977,patient,patient,-0.9853821300000001
27,sells,magazine,well,Something sells this magazine well.,-1.105085,-0.42097828,patient,patient,-0.6841067200000002
28,sells,hat,well,Something sells this hat well.,-0.38304603,-1.1772333,patient,agent,0.7941872699999999
29,sells,lotion,well,Something sells this lotion well.,-1.4932119,-0.26724464,patient,patient,-1.22596726
30,sells,album,well,Something sells this album well.,-1.2796499,-0.33598348,patient,patient,-0.9436664199999999
31,sells,car,well,Something sells this car well.,-1.4279,-0.28637865,patient,patient,-1.1415213499999999
32,sells,suv,well,Something sells this SUV well.,-1.1349707,-0.4053431,patient,patient,-0.7296275999999999
33,sells,product,well,Something sells this product well.,-1.2713642,-0.35608098,patient,patient,-0.9152832200000001
34,sells,make,well,Something sells this make well.,-0.6886244,-0.6987021,patient,agent,0.010077699999999967
35,sells,item,well,Something sells this item well.,-1.0909673,-0.43716878,patient,patient,-0.65379852
36,sells,cd,well,Something sells this CD well.,-1.0667393,-0.438842,patient,patient,-0.6278973000000001
37,sells,drug,well,Something sells this drug well.,-0.904203,-0.5313126,patient,patient,-0.37289039999999996
38,sells,snack,well,Something sells this snack well.,-1.6527885,-0.2248843,patient,patient,-1.4279042
39,sells,salesman,well,Something sells this salesman well.,-1.0354236,-0.4529022,patient,patient,-0.5825214000000001
40,sells,saleswoman,well,Something sells this saleswoman well.,-1.2786899,-0.34623286,patient,patient,-0.9324570400000001
41,sells,businessman,well,Something sells this businessman well.,-1.8876195,-0.17813608,patient,patient,-1.70948342
42,sells,businesswoman,well,Something sells this businesswoman well.,-2.1047308,-0.14198318,patient,patient,-1.96274762
43,sells,trader,well,Something sells this trader well.,-1.9465201,-0.16442332,patient,patient,-1.78209678
44,sells,peddler,well,Something sells this peddler well.,-1.4373577,-0.28561857,patient,patient,-1.15173913
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.70461154,-0.7119569,patient,agent,0.0073453599999999675
46,sells,dealer,well,Something sells this dealer well.,-1.4991214,-0.2628677,patient,patient,-1.2362537
