id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-1.16015625,-0.410400390625,patient,patient,-0.749755859375,patient
1,sells,book,easily,This book sells easily.,-1.525390625,-0.275634765625,patient,patient,-1.249755859375,patient
2,sells,novel,easily,This novel sells easily.,-0.59814453125,-0.84814453125,patient,agent,0.25,agent
3,sells,magazine,easily,This magazine sells easily.,-1.0029296875,-0.5029296875,patient,patient,-0.5,agent
4,sells,hat,easily,This hat sells easily.,-0.84765625,-0.59765625,patient,patient,-0.25,agent
5,sells,lotion,easily,This lotion sells easily.,-1.158203125,-0.407958984375,patient,patient,-0.750244140625,patient
6,sells,album,easily,This album sells easily.,-1.34765625,-0.347412109375,patient,patient,-1.000244140625,patient
7,sells,car,easily,This car sells easily.,-0.6279296875,-0.8779296875,patient,agent,0.25,agent
8,sells,suv,easily,This SUV sells easily.,-0.8564453125,-0.6064453125,patient,patient,-0.25,agent
9,sells,product,easily,This product sells easily.,-0.81103515625,-0.81103515625,patient,agent,0.0,agent
10,sells,make,easily,This make sells easily.,-0.7255859375,-0.7255859375,patient,agent,0.0,agent
11,sells,item,easily,This item sells easily.,-1.0078125,-0.50732421875,patient,patient,-0.50048828125,agent
12,sells,cd,easily,This CD sells easily.,-1.17578125,-0.426025390625,patient,patient,-0.749755859375,patient
13,sells,drug,easily,This drug sells easily.,-1.220703125,-0.470458984375,patient,patient,-0.750244140625,patient
14,sells,snack,easily,This snack sells easily.,-1.5234375,-0.273193359375,patient,patient,-1.250244140625,patient
15,sells,salesman,easily,This salesman sells easily.,-0.497314453125,-0.99755859375,agent,agent,0.500244140625,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.5009765625,-1.0009765625,agent,agent,0.5,agent
17,sells,businessman,easily,This businessman sells easily.,-0.71923828125,-0.71923828125,agent,agent,0.0,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-1.166015625,-0.416259765625,agent,patient,-0.749755859375,patient
19,sells,trader,easily,This trader sells easily.,-0.84912109375,-0.59912109375,agent,patient,-0.25,agent
20,sells,peddler,easily,This peddler sells easily.,-0.99755859375,-0.497802734375,agent,patient,-0.499755859375,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.99853515625,-0.498291015625,agent,patient,-0.500244140625,agent
22,sells,dealer,easily,This dealer sells easily.,-0.5009765625,-1.0009765625,agent,agent,0.5,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-1.1708984375,-0.421142578125,agent,patient,-0.749755859375,patient
24,sells,toy,well,This toy sells well.,-1.1611328125,-0.411376953125,patient,patient,-0.749755859375,patient
25,sells,book,well,This book sells well.,-1.1630859375,-0.413330078125,patient,patient,-0.749755859375,patient
