verb,overall_acc,avg_LL_delta
bakes,0.8809523809523809,0.7953680906267393
carves,0.9166666666666666,0.9178933358440796
cleans,1.0,1.3470537347926035
cooks,1.0,1.2202106518877878
cuts,0.6,0.12801423221826552
drives,0.9722222222222222,0.9291859484381146
embroiders,0.5357142857142857,0.0790945046714374
flies,0.9166666666666666,0.5621836992601553
knits,0.6571428571428571,0.16888406745025092
packs,0.775,0.441635799407959
paints,0.8333333333333334,0.4508622099334995
performs,1.0,1.2936404324494875
photographs,0.6666666666666666,0.19638336698214212
plays,0.2692307692307692,-0.22681059974890488
reads,0.5882352941176471,0.23873544834992466
sculpts,0.9,0.5702057113250096
sells,1.0,1.6356655408938725
sews,0.8,0.4698471501469612
shaves,1.0,0.8047648211320241
stitches,0.6875,0.26430725678801537
turns,0.8181818181818182,0.7774898585948077
washes,1.0,1.6016832876663942
writes,0.9705882352941176,0.8926782117170446
