model,corr_noun_LL,corr_human,corr_subj
bloom-560m,0.48332247386457444,0.017167745442499154,-0.05240413725416807
bloom-1b1,0.6189626553825881,-0.13496441356895475,-0.12594094134088896
bloom-1b7,0.1595129545654901,-0.203869802486084,-0.2753303637636152
bloom-3b,0.18516945936881,-0.20086953957744383,-0.2394485888325292
bloom-7b1,0.4288336133465771,0.03767384583794612,0.00974957427092342
gpt2-small,0.13938058223032787,-0.23873646155579872,-0.22762123824700323
gpt2-medium,0.5365308238168816,0.31011185439666134,0.3587797400315366
gpt2-large,0.19012455263437625,-0.05573677030356656,-0.029644093693966273
gpt2-xl,0.47139726444645413,0.22601627826311113,0.1721534412725309
gpt3-ada,0.5653417612706662,0.13804028451956715,0.23604690556118021
gpt3-babbage,0.5653193324429812,0.5722303313973224,0.4649098805557314
gpt3-curie,0.3653515115298644,-0.36828638294901384,-0.3086569907092986
gpt3-davinci,0.6478701374184982,0.758169703421445,0.5332029592796288
text-ada-001,0.5228439208103007,0.33671785868021714,0.2972656473778026
text-babbage-001,0.21747391326147522,-0.287693431229217,-0.27653303279781527
text-curie-001,0.2962091251212822,-0.08374583144717342,-0.1044019113632846
text-davinci-001,0.4704491440982322,0.48441496390280336,0.4141672379589922
text-davinci-003,0.7356415706065704,0.7311149857747927,0.5669071612981029
