noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-0.4283089339733124,-1.392284870147705,patient,agent,0.9639759361743927,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.4443531036376953,-1.371903419494629,agent,agent,0.9275503158569336,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-0.5764419436454773,-1.344844102859497,patient,agent,0.7684021592140198,0.5512745470387167,0.58333333325,1.176470588
album,-0.6346123814582825,-0.9870741963386536,patient,agent,0.3524618148803711,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-0.4758972525596618,-1.3987641334533691,patient,agent,0.9228668808937073,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.4708499014377594,-1.429834246635437,agent,agent,0.9589843451976776,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.430274099111557,-1.4015284776687622,agent,agent,0.9712543785572052,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.4684880375862121,-1.4095680713653564,agent,agent,0.9410800337791443,0.8388102441595283,0.9305555555,0.2124183007
author,-0.4160796403884887,-1.6100455522537231,agent,agent,1.1939659118652344,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.393048346042633,-1.5744237899780271,agent,agent,1.181375443935394,0.6835275033180946,0.9444444445,0.1830065359
backpack,-0.4156104028224945,-1.2930852174758911,patient,agent,0.8774748146533966,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-0.3840131163597107,-1.4414405822753906,agent,agent,1.05742746591568,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-0.4928642511367798,-1.1703945398330688,patient,agent,0.6775302886962891,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.4208205938339233,-1.3458293676376345,agent,agent,0.9250087738037112,0.8327493152398071,0.875,0.7352941176
barber,-0.3343416452407837,-1.7365528345108032,agent,agent,1.4022111892700195,0.7248762775364598,0.9305555555,0.2124183007
basket,-0.5382946729660034,-1.0988529920578003,patient,agent,0.5605583190917969,0.2088464198880839,0.19444444449999998,1.006535948
