id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.2549712061882019,-1.5704963207244873,agent,agent,1.3155251145362854,agent
1,sells,book,easily,This book sells something easily.,-0.2035893499851226,-1.766661524772644,agent,agent,1.5630721747875214,agent
2,sells,novel,easily,This novel sells something easily.,-0.1843742579221725,-1.8546451330184937,agent,agent,1.670270875096321,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.3125103116035461,-1.3800485134124756,agent,agent,1.0675382018089294,agent
4,sells,hat,easily,This hat sells something easily.,-0.3237675130367279,-1.346471667289734,agent,agent,1.0227041542530062,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.3158923387527466,-1.357472538948059,agent,agent,1.0415802001953125,agent
6,sells,album,easily,This album sells something easily.,-0.3309664726257324,-1.334036350250244,agent,agent,1.0030698776245115,agent
7,sells,car,easily,This car sells something easily.,-0.3248679041862488,-1.356403112411499,agent,agent,1.0315352082252502,agent
8,sells,suv,easily,This SUV sells something easily.,-0.4509894847869873,-1.0872361660003662,agent,agent,0.6362466812133789,agent
9,sells,product,easily,This product sells something easily.,-0.2251110523939132,-1.7257843017578125,agent,agent,1.5006732493638992,agent
10,sells,make,easily,This make sells something easily.,-0.3604629337787628,-1.248131513595581,agent,agent,0.8876685798168182,agent
11,sells,item,easily,This item sells something easily.,-0.3347230851650238,-1.3639246225357056,agent,agent,1.0292015373706818,agent
12,sells,cd,easily,This CD sells something easily.,-0.2679456770420074,-1.5081781148910522,agent,agent,1.2402324378490448,agent
13,sells,drug,easily,This drug sells something easily.,-0.2622847259044647,-1.6036343574523926,agent,agent,1.3413496315479279,agent
14,sells,snack,easily,This snack sells something easily.,-0.3078876733779907,-1.3926492929458618,agent,agent,1.084761619567871,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.1913268268108368,-1.827538251876831,agent,agent,1.6362114250659943,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.2469924837350845,-1.6114228963851929,agent,agent,1.3644304126501083,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.2713848948478699,-1.5055158138275146,agent,agent,1.2341309189796448,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.286693125963211,-1.481558322906494,agent,agent,1.1948651969432829,agent
19,sells,trader,easily,This trader sells something easily.,-0.1526554673910141,-2.0477683544158936,agent,agent,1.8951128870248795,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.2831754088401794,-1.475844383239746,agent,agent,1.1926689743995667,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.2973294556140899,-1.424427509307861,agent,agent,1.1270980536937711,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.1913094073534011,-1.870357036590576,agent,agent,1.6790476292371748,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.2686449587345123,-1.5466381311416626,agent,agent,1.2779931724071503,agent
24,sells,toy,well,This toy sells something well.,-0.2906596660614013,-1.457834005355835,agent,agent,1.1671743392944336,agent
25,sells,book,well,This book sells something well.,-0.2230887115001678,-1.6854796409606934,agent,agent,1.4623909294605255,agent
26,sells,novel,well,This novel sells something well.,-0.211323469877243,-1.7302167415618896,agent,agent,1.5188932716846466,agent
27,sells,magazine,well,This magazine sells something well.,-0.3547004163265228,-1.2713769674301147,agent,agent,0.9166765511035919,agent
28,sells,hat,well,This hat sells something well.,-0.3870749473571777,-1.199150562286377,agent,agent,0.8120756149291992,agent
29,sells,lotion,well,This lotion sells something well.,-0.3905298113822937,-1.1841270923614502,agent,agent,0.7935972809791565,agent
30,sells,album,well,This album sells something well.,-0.3683177232742309,-1.2439223527908323,agent,agent,0.8756046295166013,agent
31,sells,car,well,This car sells something well.,-0.3865633010864258,-1.210796356201172,agent,agent,0.8242330551147463,agent
32,sells,suv,well,This SUV sells something well.,-0.5457667708396912,-0.940675675868988,agent,agent,0.3949089050292969,agent
33,sells,product,well,This product sells something well.,-0.2705442905426025,-1.5600340366363523,agent,agent,1.2894897460937498,agent
34,sells,make,well,This make sells something well.,-0.4495596885681152,-1.0678772926330566,agent,agent,0.6183176040649414,agent
35,sells,item,well,This item sells something well.,-0.3981481194496155,-1.214001178741455,agent,agent,0.8158530592918396,agent
36,sells,cd,well,This CD sells something well.,-0.3217810094356537,-1.3483723402023315,agent,agent,1.0265913307666779,agent
37,sells,drug,well,This drug sells something well.,-0.2950910031795501,-1.4989532232284546,agent,agent,1.2038622200489044,agent
38,sells,snack,well,This snack sells something well.,-0.3715265095233917,-1.2327373027801514,agent,agent,0.8612107932567596,agent
39,sells,salesman,well,This salesman sells something well.,-0.2318512052297592,-1.651863694190979,agent,agent,1.4200124889612198,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.301928699016571,-1.4342005252838137,agent,agent,1.1322718262672427,agent
41,sells,businessman,well,This businessman sells something well.,-0.3155244290828705,-1.3727821111679075,agent,agent,1.057257682085037,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-0.3365026116371155,-1.3423466682434082,agent,agent,1.0058440566062927,agent
43,sells,trader,well,This trader sells something well.,-0.1859642565250396,-1.8636833429336548,agent,agent,1.6777190864086151,agent
44,sells,peddler,well,This peddler sells something well.,-0.3427985310554504,-1.3156769275665283,agent,agent,0.9728783965110779,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-0.3471589982509613,-1.2903295755386353,agent,agent,0.943170577287674,agent
46,sells,dealer,well,This dealer sells something well.,-0.2441730350255966,-1.649810791015625,agent,agent,1.4056377559900284,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.3252125084400177,-1.377364158630371,agent,agent,1.0521516501903534,agent
48,sells,toy,quickly,This toy sells something quickly.,-0.280754953622818,-1.4867018461227417,agent,agent,1.2059468924999237,agent
49,sells,book,quickly,This book sells something quickly.,-0.2215733379125595,-1.689591884613037,agent,agent,1.4680185467004776,agent
50,sells,novel,quickly,This novel sells something quickly.,-0.2019204050302505,-1.7722033262252808,agent,agent,1.5702829211950302,agent
51,sells,magazine,quickly,This magazine sells something quickly.,-0.3327808380126953,-1.3287830352783203,agent,agent,0.996002197265625,agent
52,sells,hat,quickly,This hat sells something quickly.,-0.344731330871582,-1.2980232238769531,agent,agent,0.9532918930053711,agent
53,sells,lotion,quickly,This lotion sells something quickly.,-0.3294350206851959,-1.3278175592422483,agent,agent,0.9983825385570524,agent
54,sells,album,quickly,This album sells something quickly.,-0.3618794679641723,-1.259366154670715,agent,agent,0.8974866867065427,agent
55,sells,car,quickly,This car sells something quickly.,-0.352677583694458,-1.2900049686431885,agent,agent,0.9373273849487305,agent
56,sells,suv,quickly,This SUV sells something quickly.,-0.5037921667098999,-1.0030626058578491,agent,agent,0.4992704391479492,agent
57,sells,product,quickly,This product sells something quickly.,-0.2492373138666153,-1.6361019611358645,agent,agent,1.3868646472692492,agent
58,sells,make,quickly,This make sells something quickly.,-0.3848667740821838,-1.1972017288208008,agent,agent,0.8123349547386169,agent
59,sells,item,quickly,This item sells something quickly.,-0.3488768637180328,-1.3295048475265503,agent,agent,0.9806279838085175,agent
60,sells,cd,quickly,This CD sells something quickly.,-0.295868843793869,-1.4240779876708984,agent,agent,1.1282091438770294,agent
61,sells,drug,quickly,This drug sells something quickly.,-0.2693676650524139,-1.5941357612609863,agent,agent,1.3247680962085724,agent
62,sells,snack,quickly,This snack sells something quickly.,-0.3362986743450165,-1.3198134899139404,agent,agent,0.983514815568924,agent
63,sells,salesman,quickly,This salesman sells something quickly.,-0.2176435887813568,-1.7123230695724487,agent,agent,1.494679480791092,agent
64,sells,saleswoman,quickly,This saleswoman sells something quickly.,-0.2794146239757538,-1.5064330101013184,agent,agent,1.2270183861255646,agent
65,sells,businessman,quickly,This businessman sells something quickly.,-0.3082076013088226,-1.393574833869934,agent,agent,1.0853672325611115,agent
66,sells,businesswoman,quickly,This businesswoman sells something quickly.,-0.3244992196559906,-1.3769360780715942,agent,agent,1.0524368584156036,agent
67,sells,trader,quickly,This trader sells something quickly.,-0.1751725524663925,-1.9194085597991943,agent,agent,1.7442360073328018,agent
68,sells,peddler,quickly,This peddler sells something quickly.,-0.3187472522258758,-1.3787763118743896,agent,agent,1.0600290596485138,agent
69,sells,telemarketer,quickly,This telemarketer sells something quickly.,-0.3334326148033142,-1.325934886932373,agent,agent,0.9925022721290588,agent
70,sells,dealer,quickly,This dealer sells something quickly.,-0.2185294479131698,-1.752842664718628,agent,agent,1.534313216805458,agent
71,sells,shopkeeper,quickly,This shopkeeper sells something quickly.,-0.3000198304653168,-1.4524837732315063,agent,agent,1.1524639427661896,agent
72,drives,car,nicely,This car drives something nicely.,-0.4623694717884063,-1.0782456398010254,agent,agent,0.615876168012619,agent
73,drives,suv,nicely,This SUV drives something nicely.,-0.6938576698303223,-0.7732644081115723,agent,agent,0.07940673828125,agent
74,drives,truck,nicely,This truck drives something nicely.,-0.5033733248710632,-1.0457003116607666,agent,agent,0.5423269867897034,agent
75,drives,convertible,nicely,This convertible drives something nicely.,-0.5320897698402405,-0.9880977272987366,agent,agent,0.4560079574584961,agent
76,drives,vehicle,nicely,This vehicle drives something nicely.,-0.6115428805351257,-0.8869230151176453,agent,agent,0.27538013458251953,agent
77,drives,tank,nicely,This tank drives something nicely.,-0.5241295099258423,-1.00625479221344,agent,agent,0.48212528228759766,agent
78,drives,bus,nicely,This bus drives something nicely.,-0.5133983492851257,-0.9985801577568054,agent,agent,0.4851818084716797,agent
79,drives,tractor,nicely,This tractor drives something nicely.,-0.5741971135139465,-0.9014599919319152,agent,agent,0.32726287841796864,agent
80,drives,van,nicely,This van drives something nicely.,-0.5799586176872253,-0.9253575205802916,agent,agent,0.3453989028930663,agent
81,drives,driver,nicely,This driver drives something nicely.,-0.4928314089775085,-1.055314302444458,agent,agent,0.5624828934669495,agent
82,drives,person,nicely,This person drives something nicely.,-0.2469614744186401,-1.617740511894226,agent,agent,1.370779037475586,agent
83,drives,chauffeur,nicely,This chauffeur drives something nicely.,-0.4027483761310577,-1.1899044513702393,agent,agent,0.7871560752391815,agent
84,drives,car,smoothly,This car drives something smoothly.,-0.4742669463157654,-1.0673351287841797,agent,agent,0.5930681824684143,agent
85,drives,suv,smoothly,This SUV drives something smoothly.,-0.7211561799049377,-0.7547960877418518,agent,agent,0.03363990783691406,agent
86,drives,truck,smoothly,This truck drives something smoothly.,-0.5094738602638245,-1.0513286590576172,agent,agent,0.5418547987937927,agent
87,drives,convertible,smoothly,This convertible drives something smoothly.,-0.5648655891418457,-0.9556727409362792,agent,agent,0.3908071517944335,agent
