noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-0.8434486389160156
actor,1,1.0,-0.4256134033203125
aircraft,3,1.0,-0.8776881198088328
album,3,1.0,-0.6301155090332031
animal,2,1.0,-0.9746551513671874
announcer,2,1.0,-0.7374420166015625
artisan,4,1.0,-0.7828130647540092
artist,4,1.0,-1.2203788757324219
author,2,0.0,0.45648956298828125
aviator,3,1.0,-0.9691733916600546
backpack,2,1.0,-1.1891441196203232
backpacker,2,1.0,-0.9971199184656143
bag,2,1.0,-1.2622566223144531
baker,6,1.0,-0.7608604530493418
barber,7,1.0,-0.6851119824818203
basket,2,1.0,-1.0023117512464523
beard,3,1.0,-0.5917968352635702
bedding,5,1.0,-0.37545778751373293
bike,4,1.0,-0.5964250862598419
blanket,2,1.0,-0.058135986328124944
blogger,2,1.0,-0.055074691772460896
board,4,1.0,-0.7200794070959091
book,3,0.0,0.250732421875
bottle,2,1.0,-0.7080650329589844
bowl,2,1.0,-0.4962157905101776
bread,3,1.0,-1.0873693029085796
broadcaster,2,1.0,-0.5201759338378906
building,2,0.5,0.03593537211418155
bus,3,1.0,-1.2656618754069011
busboy,5,1.0,-0.8934417724609375
businessman,3,1.0,-0.3692677617073059
businesswoman,3,1.0,-0.6219291488329569
butcher,4,1.0,-0.5797214508056641
cake,3,1.0,-1.0260950624942777
cameraman,2,1.0,-0.9208183288574219
camper,2,1.0,-0.492649108171463
canvas,4,1.0,-0.9537782520055771
captain,3,1.0,-0.5297215978304545
car,12,1.0,-0.7704820583264033
cardboard,4,1.0,-0.8641834408044815
carpet,3,1.0,-0.35136159261067706
carver,7,1.0,-0.7742832601070404
caterer,3,1.0,-1.1540400286515553
cd,3,1.0,-1.3573799232641857
cellist,2,1.0,-0.5873794555664062
cello,2,1.0,-0.5960731506347656
chauffeur,3,1.0,-0.21184539794921864
chef,10,1.0,-0.4824409484863281
choreography,1,0.0,0.9778099060058594
clarinet,2,1.0,-0.8384666442871094
clarinetist,2,1.0,-0.5199776291847229
clay,6,1.0,-0.8275661617517471
cleaner,5,1.0,-0.35823898315429686
clerk,2,0.0,0.077850341796875
cloth,8,1.0,-0.3295111581683159
coat,2,1.0,-0.7869567275047302
code,2,1.0,-0.2519836425781251
comedian,1,1.0,-0.1348228454589843
concerto,1,1.0,-0.203907012939453
confectioner,3,1.0,-0.8322080175081888
container,2,1.0,-0.48149871826171875
convertible,3,1.0,-1.2055155436197917
cook,6,1.0,-0.31093472242355347
cotton,4,1.0,-0.6012878715991974
countertop,3,1.0,-0.7901382048924764
crate,2,1.0,-0.6333733201026918
cushion,4,1.0,-0.8195247948169708
cut,4,0.25,0.09575271606445312
dancer,1,0.0,0.2599563598632811
dealer,3,1.0,-0.41446942090988176
dish,2,1.0,-0.41215893626213074
doctor,2,0.0,0.09428024291992185
dough,3,1.0,-0.9264106849829356
dressmaker,4,1.0,-0.17275427281856537
driver,7,1.0,-0.39372037989752634
drug,3,1.0,-0.4303004145622255
drummer,2,1.0,-0.6835327595472336
duffle,2,1.0,-0.8238296508789062
essay,4,0.0,0.16296195983886713
essayist,2,1.0,-0.00977897644042965
fabric,20,1.0,-0.5283792585134506
fillet,3,1.0,-1.042378733555476
fish,3,1.0,-0.9667714536190033
floor,3,1.0,-0.16770426432291663
flute,2,1.0,-1.154720351099968
flutist,2,1.0,-0.8399028927087784
food,2,1.0,-0.9607925266027451
gem,4,1.0,-1.2890300750732422
glass,4,1.0,-0.6257037967443466
hairdresser,7,1.0,-0.717061732496534
handle,4,1.0,-0.26250648498535156
hat,3,1.0,-0.5043818155924479
herb,3,1.0,-0.5231246749560038
hiker,2,1.0,-0.5969066023826599
housekeeper,3,1.0,-0.5110091765721639
ice,7,1.0,-0.4717842936515808
illustrator,4,1.0,-0.6461925432085991
ingredient,3,1.0,-0.5903396606445312
instrument,2,1.0,-0.61669921875
item,3,0.3333333333333333,0.028437296549479168
jacket,2,1.0,-0.8322982937097549
janitor,3,0.0,0.1097997029622396
jet,3,1.0,-0.08887736002604163
jeweler,4,1.0,-0.7164440304040909
jewelry,3,1.0,-1.0406366686026256
journalist,2,0.0,0.2139930725097656
kite,3,1.0,-0.5360768437385559
knob,4,1.0,-0.32434654235839844
lady,5,1.0,-0.3062873840332031
lake,2,1.0,-0.4055290222167969
landscape,2,0.0,0.0293922424316405
letter,2,1.0,-0.1342277526855469
line,2,1.0,-0.171142578125
lotion,3,1.0,-0.2148005167643229
lunchbox,2,1.0,-1.3367538452148438
machine,8,0.5,0.09867572784423828
magazine,3,1.0,-0.31107330322265625
maid,5,1.0,-0.3707198977470398
make,3,1.0,-0.3040568033854167
man,5,1.0,-0.2691009521484375
marble,3,1.0,-0.7235005696614584
mason,3,1.0,-0.8381830553213755
material,4,1.0,-0.2326726913452148
meat,7,1.0,-0.7764516387666974
mirror,3,1.0,-0.2712682286898294
model,2,1.0,-0.5340995490550995
motorcycle,4,1.0,-0.7346954494714736
motorist,4,1.0,-0.4937849044799803
mountain,2,1.0,-0.6918925940990448
mover,2,1.0,-0.7386932373046876
mushroom,3,1.0,-0.3506316939989724
musician,3,1.0,-0.7688089907169342
narrator,2,1.0,-0.5733604431152343
notetaker,2,1.0,-0.7732543796300888
novel,3,0.0,0.7611916760603586
novelist,2,0.0,0.2262516021728515
orator,2,1.0,-0.8422775119543076
packaging,4,1.0,-0.9945612475275993
painter,4,1.0,-0.9837836995720863
panel,4,1.0,-0.49485015869140625
paper,4,1.0,-0.7111701965332031
passage,6,0.0,0.4261067410310108
pastry,3,1.0,-1.0078989664713542
patissier,3,1.0,-0.8160705268383026
pattern,5,0.0,0.5620727419853211
peddler,3,1.0,-0.37506995598475124
pepper,3,1.0,-0.6942316691080728
person,30,0.4,0.030564375718434636
photographer,2,1.0,-0.5398406982421875
pianist,2,1.0,-0.39636608958244324
piano,2,1.0,-0.751216858625412
pie,3,1.0,-1.3180490930875142
pilot,7,1.0,-0.7086677551269531
pizza,3,1.0,-1.0770721435546875
plane,3,1.0,-0.501177450021108
poem,2,1.0,-0.32729148864746094
poet,2,1.0,-0.26525115966796875
portraitist,4,1.0,-0.42786695063114166
pot,3,1.0,-0.8696060180664062
potato,3,1.0,-1.2358576953411102
potter,3,1.0,-0.5457890629768373
product,3,0.0,0.14650980631510416
professor,2,1.0,-0.1958923339843749
proposal,2,0.0,0.5429229438304901
pumpkin,4,1.0,-1.0501670837402344
quilt,4,1.0,-0.4982166141271591
racer,4,1.0,-0.39601039886474615
report,2,0.0,0.1607284545898437
roadtripper,2,1.0,-0.20904541015625
routine,1,0.0,0.7818145751953125
salesman,3,1.0,-0.2280985514322916
saleswoman,3,0.0,0.20746612548828125
salmon,3,1.0,-1.0283660689989726
scene,1,0.0,0.9555397629737856
screw,4,1.0,-0.5215091705322266
scribe,2,1.0,-0.5035191178321838
script,2,1.0,-0.2106952667236328
sculptor,7,1.0,-0.8582948914596013
seamster,8,1.0,-0.8146214224398136
seamstress,4,1.0,-0.7883758470416069
section,2,0.0,0.16521835327148435
shirt,2,1.0,-0.3334083557128906
shopkeeper,3,0.6666666666666666,-0.0022684733072916683
sideburn,3,1.0,-1.005828857421875
silk,4,1.0,-0.3976879119873047
silverware,3,1.0,-0.7777786254882812
singer,1,1.0,-0.2907180786132812
snack,3,1.0,-0.43232981363932277
soloist,1,0.0,0.2108078002929687
sonata,1,1.0,-0.0811004638671875
song,1,1.0,-0.0520095825195312
steak,7,1.0,-0.46950747285570416
stone,7,1.0,-0.47527151448386046
stubble,3,1.0,-0.40355680386225384
student,4,0.5,0.09515190124511717
suitcase,2,1.0,-0.7741241157054901
surface,7,0.8571428571428571,-0.09392002650669641
surgeon,4,0.25,0.0828227996826172
suv,6,1.0,-1.6253229677677155
tailor,12,1.0,-0.39626630147298175
tank,3,1.0,-0.8915659288565317
teacher,2,1.0,-0.28483963012695324
telemarketer,3,1.0,-0.2773996988932291
tent,2,1.0,-0.7689094692468643
thread,4,1.0,-0.20106172561645508
toy,3,1.0,-0.7920595407485962
tractor,3,1.0,-0.8477045595645905
trader,3,1.0,-0.23264312744140625
traveller,2,1.0,-0.1394500732421875
truck,3,1.0,-1.0380121370156605
tub,2,0.0,0.042144775390625
tuna,3,1.0,-1.2601395050684612
