id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-1.0322265625,-0.5322265625,patient,patient,-0.5,patient
1,sells,book,easily,Something sells this book easily.,-1.18359375,-0.433349609375,patient,patient,-0.750244140625,patient
2,sells,novel,easily,Something sells this novel easily.,-0.7236328125,-0.7236328125,patient,agent,0.0,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.8828125,-0.6328125,patient,patient,-0.25,patient
4,sells,hat,easily,Something sells this hat easily.,-0.865234375,-0.615234375,patient,patient,-0.25,patient
5,sells,lotion,easily,Something sells this lotion easily.,-1.005859375,-0.50634765625,patient,patient,-0.49951171875,patient
6,sells,album,easily,Something sells this album easily.,-1.2138671875,-0.463623046875,patient,patient,-0.750244140625,patient
7,sells,car,easily,Something sells this car easily.,-0.85986328125,-0.85986328125,patient,agent,0.0,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.8955078125,-0.6455078125,patient,patient,-0.25,patient
9,sells,product,easily,Something sells this product easily.,-0.96923828125,-0.71923828125,patient,patient,-0.25,patient
10,sells,make,easily,Something sells this make easily.,-0.88037109375,-0.63037109375,patient,patient,-0.25,patient
11,sells,item,easily,Something sells this item easily.,-1.03515625,-0.53515625,patient,patient,-0.5,patient
12,sells,cd,easily,Something sells this CD easily.,-1.56640625,-0.316650390625,patient,patient,-1.249755859375,patient
13,sells,drug,easily,Something sells this drug easily.,-1.5947265625,-0.34521484375,patient,patient,-1.24951171875,patient
14,sells,snack,easily,Something sells this snack easily.,-1.345703125,-0.345703125,patient,patient,-1.0,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.73193359375,-0.73193359375,patient,agent,0.0,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.73388671875,-0.73388671875,patient,agent,0.0,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.5224609375,-1.0224609375,patient,agent,0.5,agent
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.015625,-0.51513671875,patient,patient,-0.50048828125,patient
19,sells,trader,easily,Something sells this trader easily.,-0.8837890625,-0.6337890625,patient,patient,-0.25,patient
20,sells,peddler,easily,Something sells this peddler easily.,-1.01171875,-0.51171875,patient,patient,-0.5,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-1.529296875,-0.27880859375,patient,patient,-1.25048828125,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.6650390625,-0.9150390625,patient,agent,0.25,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-1.380859375,-0.380859375,patient,patient,-1.0,patient
24,sells,toy,well,Something sells this toy well.,-1.0361328125,-0.5361328125,patient,patient,-0.5,patient
25,sells,book,well,Something sells this book well.,-1.3544921875,-0.35498046875,patient,patient,-0.99951171875,patient
26,sells,novel,well,Something sells this novel well.,-0.50048828125,-1.0009765625,patient,agent,0.50048828125,agent
