noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-7.172174,-0.003439458,patient,patient,-7.168734542,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-4.7838035,-0.607431,agent,patient,-4.1763725,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-5.01274,-0.0653488,patient,patient,-4.9473912,0.5512745470387167,0.58333333325,1.176470588
album,-11.332877,-0.0006388203,patient,patient,-11.3322381797,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-9.216101,-4.444246,patient,patient,-4.771855,0.6993929901941651,0.72222222225,1.281045752
announcer,-8.189887,-8.016109,agent,patient,-0.17377800000000043,0.9088548566583649,0.9444444445,0.1830065359
artisan,-4.1229563,-2.735605,agent,patient,-1.3873513000000002,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-7.6061153,-2.6409085,agent,patient,-4.9652068,0.8388102441595283,0.9305555555,0.2124183007
author,-4.1816144,-1.9982696,agent,patient,-2.1833448,0.9103466492053656,0.888888889,0.4967320261
aviator,-3.0774043,-0.24532455,agent,patient,-2.83207975,0.6835275033180946,0.9444444445,0.1830065359
backpack,-6.598243,-0.0026606128,patient,patient,-6.5955823872,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-8.438985,-1.8712457,agent,patient,-6.5677393,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-9.197181,-0.008758304,patient,patient,-9.188422696,0.14003512108607,0.23611111099999998,0.7614379085
baker,-9.149311,-0.01045038,agent,patient,-9.13886062,0.8327493152398071,0.875,0.7352941176
barber,-8.823177,-0.0023586105,agent,patient,-8.8208183895,0.7248762775364598,0.9305555555,0.2124183007
basket,-11.547263,-0.00023500233,patient,patient,-11.54702799767,0.2088464198880839,0.19444444449999998,1.006535948
beard,-10.837005,-0.0011820747,patient,patient,-10.835822925299999,0.3522682168119178,0.15277777775,0.4869281046
bedding,-10.012238,-0.14475906,patient,patient,-9.86747894,0.3901065107242925,0.15277777775,0.839869281
bike,-8.128846,-0.001834599,patient,patient,-8.127011400999999,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-9.569792,-0.29548088,patient,patient,-9.27431112,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-7.2882404,-0.0061263368,agent,patient,-7.2821140632,0.8292682926829268,0.861111111,0.614379085
board,-5.7591076,-0.009907786,patient,patient,-5.749199814,0.7414235775059675,0.18055555550000002,0.5653594771
book,-8.903403,-0.017892541,patient,patient,-8.885510459,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-9.751613,-0.12317588,patient,patient,-9.628437120000001,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-12.444748,-0.00017317903,patient,patient,-12.44457482097,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-12.382822,-0.00041196714,patient,patient,-12.382410032860001,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-4.7980213,-0.7338527,agent,patient,-4.0641686,0.8976559616094499,0.888888889,0.3790849673
building,-7.5218806,-0.075250536,patient,patient,-7.446630064,0.5989896090029184,0.22222222225,0.9281045752
bus,-8.390102,-0.036954723,patient,patient,-8.353147277000001,0.3936552556306598,0.54166666675,1.205882353
busboy,-4.7198367,-0.034754094,agent,patient,-4.685082606,0.7171145685997171,0.8194444445,0.5653594771
businessman,-4.355915,-5.3717556,agent,agent,1.0158405999999998,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-5.281574,-2.6245303,agent,patient,-2.6570437,0.7570036540803897,0.9305555555,0.3300653595
butcher,-8.535036,-0.015076375,agent,patient,-8.519959625,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-14.446536,-0.0006419216,patient,patient,-14.4458940784,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-3.671443,-0.039220776,agent,patient,-3.632222224,0.705324074074074,0.875,0.6176470588
camper,-4.4437523,-0.060230345,agent,patient,-4.383521955,0.7956975142651014,0.8194444445,1.153594771
canvas,-13.975696,-0.00018617464,patient,patient,-13.97550982536,0.3871303934847232,0.125,0.3823529412
captain,-2.9497807,-0.1767732,agent,patient,-2.7730075,0.7774360758884372,0.9027777777499999,0.3692810458
car,-7.386582,-0.0071312357,patient,patient,-7.3794507643,0.3570064841756182,0.52777777775,1.163398693
cardboard,-10.303054,-0.0014838377,patient,patient,-10.301570162299999,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-12.413277,-0.00032860556,patient,patient,-12.41294839444,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-7.289992,-0.008627472,agent,patient,-7.281364528,0.8386251851851851,0.888888889,0.3790849673
caterer,-10.6050625,-0.006040044,agent,patient,-10.599022456,0.5684324715241367,0.875,0.5
cd,-7.1427736,-0.15498325,patient,patient,-6.98779035,0.6047404328075499,0.25,0.8235294118
cellist,-11.607039,-0.0014093436,agent,patient,-11.6056296564,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-10.167988,-0.0015071799,patient,patient,-10.166480820099999,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-4.985791,-1.4648793,agent,patient,-3.5209117,0.7000186396947015,0.8194444445,0.9183006536
chef,-5.7710443,-0.31571662,agent,patient,-5.45532768,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-5.6742654,-0.3115158,patient,patient,-5.362749600000001,0.661941251596424,0.3194444445,0.9183006536
clarinet,-10.975456,-0.05495099,patient,patient,-10.92050501,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-9.912715,-0.03235914,agent,patient,-9.88035586,0.7790178571428571,0.875,0.9705882353
clay,-10.773671,-0.00024346802,patient,patient,-10.77342753198,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-9.487741,-0.007745301,agent,patient,-9.479995699,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-3.9409437,-0.060624123,agent,patient,-3.880319577,0.7568317979152734,0.8194444445,0.5653594771
cloth,-12.903275,-0.0007086653,patient,patient,-12.902566334700001,0.2985090774863912,0.15277777775,0.9575163399
coat,-8.774788,-0.0057912185,patient,patient,-8.768996781499999,0.2074233122822833,0.18055555550000002,0.6830065359
code,-10.059014,-1.9064714,patient,patient,-8.1525426,0.4440540805082204,0.47222222225,1.751633987
comedian,-6.9614778,-5.7591677,agent,patient,-1.2023101,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-8.474902,-0.009226936,patient,patient,-8.465675064000001,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-10.34573,-0.02343069,agent,patient,-10.32229931,0.788134135855546,0.888888889,0.3790849673
container,-9.181349,-3.3813844,patient,patient,-5.799964600000001,0.4130819652046067,0.3055555555,0.8888888889
convertible,-6.11031,-0.048964534,patient,patient,-6.061345466000001,0.333927888903045,0.40277777775,1.075163399
cook,-7.722118,-0.009117697,agent,patient,-7.713000303,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-8.812999,-0.0016310546,patient,patient,-8.811367945399999,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-7.4404325,-0.006965865,patient,patient,-7.433466635,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-9.027878,-0.003775593,patient,patient,-9.024102406999999,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-12.276877,-0.00027327676,patient,patient,-12.276603723240001,0.2348091623636633,0.125,0.3823529412
cut,-8.417192,-0.025109088,patient,patient,-8.392082912,0.37019957940763,0.25,0.8235294118
dancer,-5.369596,-0.036010493,agent,patient,-5.333585507,0.7019863911947872,0.875,0.2647058824
dealer,-5.0265126,-0.09025258,agent,patient,-4.936260020000001,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-9.748614,-0.0032245263,patient,patient,-9.7453894737,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-4.167697,-0.08075531,agent,patient,-4.086941690000001,0.727197186722784,0.9166666667500001,0.3529411765
dough,-6.7832146,-0.023395851,patient,patient,-6.759818749,0.2847394090753257,0.22222222225,1.045751634
dressmaker,-10.018815,-0.0049800472,agent,patient,-10.0138349528,0.7181686791925032,0.888888889,0.614379085
driver,-3.0331647,-2.0697756,agent,patient,-0.9633891000000001,0.7163646518408429,0.875,0.2647058824
drug,-8.69814,-0.0053626588,patient,patient,-8.692777341200001,0.6016625445473285,0.41666666674999997,1.411764706
drummer,-4.3465843,-0.08807866,agent,patient,-4.25850564,0.6652377441314151,0.888888889,0.3790849673
duffle,-6.0574913,-0.016068332,patient,patient,-6.041422968,0.5681492109038737,0.125,0.3823529412
essay,-8.268502,-0.091369025,patient,patient,-8.177132975,0.4579251467157587,0.29166666674999997,0.9705882353
essayist,-3.2473443,-0.4767633,agent,patient,-2.770581,0.83241330502477,0.9166666667500001,0.3529411765
fabric,-8.726378,-0.02933816,patient,patient,-8.69703984,0.4367859577448622,0.08333333324999997,0.4705882353
fillet,-8.49773,-0.0017468832,patient,patient,-8.495983116800002,0.4050479800016128,0.06944444449999998,0.4477124183
fish,-9.987334,-0.003310876,patient,patient,-9.984023124,0.466691092091373,0.5694444445,0.8006535948
floor,-7.845218,-0.0014144769,patient,patient,-7.8438035231,0.3981600225925663,0.09722222224999999,0.3692810458
flute,-12.8441925,-0.00042711227,patient,patient,-12.84376538773,0.2487283060154625,0.29166666674999997,0.9705882353
flutist,-10.679177,-0.0019835383,agent,patient,-10.6771934617,0.5428265524625268,0.9027777777499999,0.3692810458
food,-11.617635,-1.7277062,patient,patient,-9.8899288,0.279496251612914,0.26388888899999996,0.8790849673
gem,-9.196137,-0.01639825,patient,patient,-9.17973875,0.5298536940509476,0.11111111099999998,0.3790849673
glass,-10.02747,-0.00022576131,patient,patient,-10.027244238689999,0.2116331277533039,0.27777777775,0.9281045752
hairdresser,-9.827935,-0.0011233556,agent,patient,-9.8268116444,0.7012600969305331,0.8472222222500001,1.075163399
handle,-9.406108,-0.003431503,patient,patient,-9.402676497,0.1769893706564569,0.125,0.3823529412
hat,-10.376874,-0.00022421066,patient,patient,-10.37664978934,0.1611221420146439,0.13888888900000002,0.614379085
herb,-11.531604,-0.000999844,patient,patient,-11.530604155999999,0.4867927073263943,0.29166666674999997,1.088235294
hiker,-6.80787,-0.13553552,agent,patient,-6.67233448,0.7838630806845965,0.9027777777499999,0.3692810458
housekeeper,-4.562525,-0.017090002,agent,patient,-4.545434998,0.650714095426448,0.8472222222500001,0.4869281046
