verb,overall_acc,avg_LL_delta
bakes,0.0,-5.899726780345238
carves,0.0,-5.129242645983332
cleans,0.0,-4.528891674398147
cooks,0.0,-5.876501035933334
cuts,0.0,-4.871284763074999
drives,0.0,-4.740219702736111
embroiders,0.0,-4.879738309125001
flies,0.0,-4.620973400291668
knits,0.0,-5.494060011457145
packs,0.0,-4.771650080275001
paints,0.0,-4.820619472041668
performs,0.0,-4.146904832538461
photographs,0.0,-5.101569726666666
plays,0.0,-7.146727151719233
reads,0.0,-3.79703562267647
sculpts,0.0,-4.8876822458
sells,0.0,-3.456623152027777
sews,0.0,-4.59010094155
shaves,0.0,-5.056039316233333
stitches,0.0,-5.287374790708333
turns,0.0,-4.936472469454546
washes,0.0,-4.561740550730769
writes,0.0,-3.9187116062941176
