id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-1.9447283744812007,-0.1641145199537277,patient,patient,-1.780613854527473,agent
1,sells,book,easily,This book sells easily.,-1.710447907447815,-0.2088180482387542,patient,patient,-1.5016298592090607,agent
2,sells,novel,easily,This novel sells easily.,-1.7315268516540527,-0.2054495811462402,patient,patient,-1.5260772705078125,agent
3,sells,magazine,easily,This magazine sells easily.,-2.134429931640625,-0.133458212018013,patient,patient,-2.000971719622612,patient
4,sells,hat,easily,This hat sells easily.,-2.271120071411133,-0.1169967949390411,patient,patient,-2.1541232764720917,patient
5,sells,lotion,easily,This lotion sells easily.,-2.181560516357422,-0.1286858767271042,patient,patient,-2.0528746396303177,patient
6,sells,album,easily,This album sells easily.,-2.1718664169311523,-0.1300048232078552,patient,patient,-2.041861593723297,patient
7,sells,car,easily,This car sells easily.,-2.009049892425537,-0.1531242430210113,patient,patient,-1.8559256494045258,agent
8,sells,suv,easily,This SUV sells easily.,-2.251625061035156,-0.1204262003302574,patient,patient,-2.1311988607048984,patient
9,sells,product,easily,This product sells easily.,-2.038225650787353,-0.1504789441823959,patient,patient,-1.8877467066049571,patient
10,sells,make,easily,This make sells easily.,-2.7074978351593018,-0.0773831903934478,patient,patient,-2.630114644765854,patient
11,sells,item,easily,This item sells easily.,-2.0605621337890625,-0.147341787815094,patient,patient,-1.9132203459739685,patient
12,sells,cd,easily,This CD sells easily.,-1.9992471933364868,-0.1543403714895248,patient,patient,-1.844906821846962,agent
13,sells,drug,easily,This drug sells easily.,-2.1385443210601807,-0.1375924497842788,patient,patient,-2.000951871275902,patient
14,sells,snack,easily,This snack sells easily.,-2.546983003616333,-0.0894330665469169,patient,patient,-2.457549937069416,patient
15,sells,salesman,easily,This salesman sells easily.,-1.805514097213745,-0.1888368725776672,agent,patient,-1.6166772246360777,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-1.7916200160980225,-0.1944969296455383,agent,patient,-1.5971230864524841,agent
17,sells,businessman,easily,This businessman sells easily.,-1.6146763563156128,-0.2310923188924789,agent,patient,-1.3835840374231339,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-1.677939534187317,-0.2201406061649322,agent,patient,-1.4577989280223846,agent
19,sells,trader,easily,This trader sells easily.,-1.6582717895507812,-0.2210874110460281,agent,patient,-1.4371843785047531,agent
20,sells,peddler,easily,This peddler sells easily.,-2.3360157012939453,-0.1109742000699043,agent,patient,-2.225041501224041,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-1.7445873022079468,-0.2026303857564926,agent,patient,-1.5419569164514542,agent
22,sells,dealer,easily,This dealer sells easily.,-2.0482337474823,-0.1467665284872055,agent,patient,-1.9014672189950943,patient
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-2.186002492904663,-0.1299140751361847,agent,patient,-2.0560884177684784,patient
24,sells,toy,well,This toy sells well.,-1.9073070287704468,-0.1717752665281295,patient,patient,-1.7355317622423172,agent
25,sells,book,well,This book sells well.,-1.6403796672821045,-0.2261893302202224,patient,patient,-1.414190337061882,agent
26,sells,novel,well,This novel sells well.,-1.6903765201568604,-0.2155525535345077,patient,patient,-1.4748239666223526,agent
27,sells,magazine,well,This magazine sells well.,-2.023160696029663,-0.1506850570440292,patient,patient,-1.8724756389856339,agent
28,sells,hat,well,This hat sells well.,-2.262018918991089,-0.1195570975542068,patient,patient,-2.142461821436882,patient
29,sells,lotion,well,This lotion sells well.,-2.05754828453064,-0.1472375690937042,patient,patient,-1.9103107154369359,patient
30,sells,album,well,This album sells well.,-2.0960702896118164,-0.1413260698318481,patient,patient,-1.9547442197799683,patient
31,sells,car,well,This car sells well.,-2.005244970321656,-0.155132919549942,patient,patient,-1.8501120507717141,agent
32,sells,suv,well,This SUV sells well.,-2.204964637756348,-0.1273966580629348,patient,patient,-2.0775679796934132,patient
33,sells,product,well,This product sells well.,-2.038590669631958,-0.1516421735286712,patient,patient,-1.8869484961032867,patient
34,sells,make,well,This make sells well.,-2.720786571502685,-0.0772901773452758,patient,patient,-2.6434963941574092,patient
35,sells,item,well,This item sells well.,-2.0617687702178955,-0.1486703902482986,patient,patient,-1.9130983799695969,patient
36,sells,cd,well,This CD sells well.,-1.954521894454956,-0.1626336723566055,patient,patient,-1.7918882220983505,agent
37,sells,drug,well,This drug sells well.,-2.08278226852417,-0.1468729674816131,patient,patient,-1.9359093010425568,patient
38,sells,snack,well,This snack sells well.,-2.4689109325408936,-0.0974919497966766,patient,patient,-2.371418982744217,patient
39,sells,salesman,well,This salesman sells well.,-1.7901012897491455,-0.1926596462726593,agent,patient,-1.5974416434764862,agent
40,sells,saleswoman,well,This saleswoman sells well.,-1.8472388982772827,-0.1846851110458374,agent,patient,-1.6625537872314453,agent
41,sells,businessman,well,This businessman sells well.,-1.651459813117981,-0.2226573526859283,agent,patient,-1.4288024604320526,agent
42,sells,businesswoman,well,This businesswoman sells well.,-1.7064839601516724,-0.2149230390787124,agent,patient,-1.49156092107296,agent
43,sells,trader,well,This trader sells well.,-1.6210514307022097,-0.231027215719223,agent,patient,-1.3900242149829867,agent
44,sells,peddler,well,This peddler sells well.,-2.3364288806915283,-0.1117307543754577,agent,patient,-2.2246981263160706,patient
45,sells,telemarketer,well,This telemarketer sells well.,-1.6699659824371338,-0.2202246785163879,agent,patient,-1.4497413039207458,agent
46,sells,dealer,well,This dealer sells well.,-1.996458411216736,-0.1555913537740707,agent,patient,-1.8408670574426653,agent
